"Team","Value","Rank"
"Air Force",3.25,62.5
"Akron",4.33333333333333,110.5
"Alabama",1.5,6
"Appalachian State",1.875,8
"Arizona",4.375,112
"Arizona State",4.55555555555556,115
"Arkansas",3.875,95.5
"Arkansas State",3,47.5
"Army",2,11
"Auburn",1.625,7
"Ball State",3,47.5
"Baylor",2.42857142857143,25
"Boise State",2.375,22
"Boston College",3,47.5
"Bowling Green State",5.875,129
"Brigham Young",3.125,56
"Buffalo",3.875,95.5
"California",5.125,124
"Central Florida",3,47.5
"Central Michigan",3.66666666666667,88
"Charlotte",4.625,117
"Cincinnati",2.75,35
"Clemson",2,11
"Colorado",2.125,14.5
"Colorado State",3.5,74.5
"Connecticut",3.22222222222222,59.5
"Duke",3,47.5
"East Carolina",3.5,74.5
"Eastern Michigan",3.66666666666667,88
"Florida",1.42857142857143,5
"Florida Atlantic",5,121
"Florida International",3.88888888888889,100.5
"Florida State",3.875,95.5
"Fresno State",4.33333333333333,110.5
"Georgia",3.125,56
"Georgia Southern",2.875,39.5
"Georgia State",2.625,32
"Georgia Tech",2.75,35
"Hawaii",4.22222222222222,108.5
"Houston",2.55555555555556,30
"Idaho",4,102.5
"Illinois",3.625,82.5
"Indiana",3,47.5
"Iowa",2.375,22
"Iowa State",4.125,105.5
"Kansas",4.625,117
"Kansas State",2.75,35
"Kent State",3,47.5
"Kentucky",3.5,74.5
"Louisiana",3.14285714285714,58
"Louisiana State",1.14285714285714,1
"Louisiana Tech",4,102.5
"Louisiana-Monroe",5,121
"Louisville",2.875,39.5
"Marshall",4.125,105.5
"Maryland",3,47.5
"Massachusetts",3.55555555555556,78
"Memphis",3.375,67.5
"Miami (FL)",2,11
"Miami (OH)",3.22222222222222,59.5
"Michigan",1.375,3
"Michigan State",3.625,82.5
"Middle Tennessee State",3.875,95.5
"Minnesota",2.5,27.5
"Mississippi",3.5,74.5
"Mississippi State",3.625,82.5
"Missouri",3.625,82.5
"Navy",3.42857142857143,71
"Nebraska",2.25,16.5
"Nevada",3.5,74.5
"Nevada-Las Vegas",3.88888888888889,100.5
"New Mexico",4.125,105.5
"New Mexico State",5.5,126
"Non-Major",5.59223300970874,127
"North Carolina",3.375,67.5
"North Carolina State",2.625,32
"North Texas",3.25,62.5
"Northern Illinois",4.5,113.5
"Northwestern",2.5,27.5
"Notre Dame",3.375,67.5
"Ohio",3.11111111111111,53.5
"Ohio State",1.375,3
"Oklahoma",3.75,90.5
"Oklahoma State",3.375,67.5
"Old Dominion",3.875,95.5
"Oregon",5.75,128
"Oregon State",3.75,90.5
"Penn State",3.125,56
"Pittsburgh",3.875,95.5
"Purdue",4.625,117
"Rice",5.125,124
"Rutgers",4.875,119
"San Diego State",2,11
"San Jose State",4.22222222222222,108.5
"South Alabama",2.5,27.5
"South Carolina",2.625,32
"South Florida",3.66666666666667,88
"Southern California",2.875,39.5
"Southern Methodist",3.5,74.5
"Southern Mississippi",3.625,82.5
"Stanford",2.25,16.5
"Syracuse",3.875,95.5
"Temple",2.77777777777778,37
"Tennessee",3.625,82.5
"Texas",4.125,105.5
"Texas A&M",2.125,14.5
"Texas Christian",3.375,67.5
"Texas State",5,121
"Texas Tech",5.125,124
"Texas-El Paso",4.5,113.5
"Texas-San Antonio",3.375,67.5
"Toledo",2.875,39.5
"Troy",2.28571428571429,18.5
"Tulane",3.25,62.5
"Tulsa",3.625,82.5
"UCLA",3,47.5
"Utah",2.88888888888889,42
"Utah State",3,47.5
"Vanderbilt",2.375,22
"Virginia",3.875,95.5
"Virginia Tech",2.5,27.5
"Wake Forest",2.375,22
"Washington",2,11
"Washington State",3.25,62.5
"West Virginia",2.28571428571429,18.5
"Western Kentucky",3.11111111111111,53.5
"Western Michigan",2.375,22
"Wisconsin",1.375,3
"Wyoming",3.625,82.5
