"Team","Value","Rank"
"Air Force",472.233921905687,51
"Akron",664.416993147165,129
"Alabama",318.254747621042,2
"Appalachian State",434.01660086674,27
"Arizona",544.859610821128,102
"Arizona State",501.370755347647,73
"Arkansas",476.98869743449,57
"Arkansas State",527.279290815345,86
"Army",412.956054241022,16
"Auburn",360.99152507974,8
"Ball State",582.400247125807,118
"Baylor",459.883432222028,40
"Boise State",481.670454256254,59
"Boston College",371.505106359491,10
"Bowling Green State",570.590944031817,113
"Brigham Young",465.491247251847,45
"Buffalo",592.466553523148,122
"California",580.737185351108,117
"Central Florida",467.133220551918,47
"Central Michigan",431.636466411575,25
"Charlotte",566.232480129886,112
"Cincinnati",544.334854493208,101
"Clemson",340.598166840489,4
"Colorado",398.566095990055,14
"Colorado State",484.077471856671,60
"Connecticut",429.802899811118,24
"Duke",472.78492227699,52
"East Carolina",560.132767077547,107
"Eastern Michigan",518.65204466752,83
"Florida",289.974920427039,1
"Florida Atlantic",583.753026652797,119
"Florida International",514.133635697807,81
"Florida State",434.87237689063,28
"Fresno State",500.573671829062,71
"Georgia",428.225767552875,23
"Georgia Southern",474.52360657754,53
"Georgia State",502.413865816816,76
"Georgia Tech",439.009723060762,29
"Hawaii",554.728137165739,105
"Houston",380.109292390839,12
"Idaho",541.632810459986,98
"Illinois",498.412708983409,69
"Indiana",486.438318445448,63
"Iowa",456.226266856316,38
"Iowa State",502.481251913092,77
"Kansas",449.48776226997,33
"Kansas State",418.655298502901,18
"Kent State",488.107286326623,64
"Kentucky",500.137365885321,70
"Louisiana",489.808687186859,66
"Louisiana State",358.048683463639,6
"Louisiana Tech",532.224833278859,94
"Louisiana-Monroe",610.553026522497,126
"Louisville",454.022578158671,36
"Marshall",512.471356973125,80
"Maryland",515.252420500465,82
"Massachusetts",592.077677721097,121
"Memphis",488.40823451786,65
"Miami (FL)",422.830351478979,20
"Miami (OH)",465.016629065777,43
"Michigan",353.749537380568,5
"Michigan State",461.416234450351,42
"Middle Tennessee State",531.803305134234,93
"Minnesota",459.18629393891,39
"Mississippi",546.045741595952,103
"Mississippi State",528.894702630262,88
"Missouri",541.573560553149,97
"Navy",543.772399213965,99
"Nebraska",420.871834873947,19
"Nevada",550.803245668766,104
"Nevada-Las Vegas",556.960621363135,106
"New Mexico",450.662526611532,34
"New Mexico State",629.237943798465,127
"Non-Major",570.875441433158,114
"North Carolina",475.618837968462,55
"North Carolina State",415.564388488302,17
"North Texas",505.50181941089,79
"Northern Illinois",587.515332729906,120
"Northwestern",485.160849529241,62
"Notre Dame",484.764931119264,61
"Ohio",530.180870430984,90
"Ohio State",360.936635358925,7
"Oklahoma",497.819016830976,68
"Oklahoma State",531.049201147814,92
"Old Dominion",529.588574248282,89
"Oregon",574.194954370634,115
"Oregon State",478.467031944816,58
"Penn State",466.732956860699,46
"Pittsburgh",537.222348277624,96
"Purdue",575.889340405822,116
"Rice",600.551556395589,124
"Rutgers",561.678788141408,108
"San Diego State",401.893528782297,15
"San Jose State",504.379244978882,78
"South Alabama",501.713558162916,74
"South Carolina",440.647947070505,31
"South Florida",598.391696924238,123
"Southern California",397.225974063197,13
"Southern Methodist",533.389699508172,95
"Southern Mississippi",467.158230501618,48
"Stanford",367.838930240891,9
"Syracuse",562.111567855997,109
"Temple",447.364394215996,32
"Tennessee",474.627673507683,54
"Texas",520.381668470529,85
"Texas A&M",476.08644631176,56
"Texas Christian",471.213441848405,50
"Texas State",648.864046433083,128
"Texas Tech",605.896729630778,125
"Texas-El Paso",469.740001433654,49
"Texas-San Antonio",527.930955308692,87
"Toledo",543.815705303676,100
"Troy",490.386556317702,67
"Tulane",439.306669047956,30
"Tulsa",562.464500026751,110
"UCLA",454.281563390187,37
"Utah",427.792695956895,22
"Utah State",451.654412815217,35
"Vanderbilt",461.025066824823,41
"Virginia",530.486774026366,91
"Virginia Tech",329.265398327306,3
"Wake Forest",432.32619410038,26
"Washington",424.120706070882,21
"Washington State",501.30806479441,72
"West Virginia",465.369029900443,44
"Western Kentucky",502.239689851339,75
"Western Michigan",520.255190744249,84
"Wisconsin",373.563920844061,11
"Wyoming",564.764673245729,111
