"Team","Value","Rank"
"Air Force",25.2857142857143,64
"Akron",30.875,99.5
"Alabama",7.375,1
"Appalachian State",18,24
"Arizona",32.7142857142857,109
"Arizona State",33.625,112
"Arkansas",27.625,81
"Arkansas State",28.5,87
"Army",15.2857142857143,12
"Auburn",13.2857142857143,7
"Ball State",23.875,56
"Baylor",15.1666666666667,11
"Boise State",17,18.5
"Boston College",23.4285714285714,53
"Bowling Green State",41.875,127
"Brigham Young",22.5,45
"Buffalo",32.5714285714286,107.5
"California",38.4285714285714,124
"Central Florida",22.8571428571429,48
"Central Michigan",25.625,65
"Charlotte",34.625,114
"Cincinnati",20.7142857142857,33.5
"Clemson",12.7142857142857,6
"Colorado",15.625,14
"Colorado State",27.125,74
"Connecticut",22.875,50
"Duke",21,36.5
"East Carolina",31,101
"Eastern Michigan",27.375,78.5
"Florida",10,4
"Florida Atlantic",34.8571428571429,115.5
"Florida International",30.625,98
"Florida State",28.5714285714286,88.5
"Fresno State",34.125,113
"Georgia",23,51
"Georgia Southern",22,41.5
"Georgia State",22.7142857142857,46
"Georgia Tech",19.8571428571429,28.5
"Hawaii",35.125,118
"Houston",17.375,20.5
"Idaho",32.125,104
"Illinois",27.4285714285714,80
"Indiana",21.7142857142857,40
"Iowa",17.375,20.5
"Iowa State",32.2857142857143,106
"Kansas",34.8571428571429,115.5
"Kansas State",19.8571428571429,28.5
"Kent State",23.75,55
"Kentucky",28.8571428571429,90.5
"Louisiana",26.1428571428571,67
"Louisiana State",14.1428571428571,9
"Louisiana Tech",30.875,99.5
"Louisiana-Monroe",38.2857142857143,123
"Louisville",21,36.5
"Marshall",30.1428571428571,96.5
"Maryland",18.8571428571429,25
"Massachusetts",31.875,103
"Memphis",19.1428571428571,27
"Miami (FL)",15.5714285714286,13
"Miami (OH)",26.25,68.5
"Michigan",7.42857142857143,2
"Michigan State",27.7142857142857,82
"Middle Tennessee State",28.8571428571429,90.5
"Minnesota",20.8571428571429,35
"Mississippi",27.1428571428571,75.5
"Mississippi State",25,62
"Missouri",27.1428571428571,75.5
"Navy",22,41.5
"Nebraska",15.7142857142857,15
"Nevada",26.5,70
"Nevada-Las Vegas",29,92
"New Mexico",32.1428571428571,105
"New Mexico State",39,125
"Non-Major",41.4158415841584,126
"North Carolina",26.25,68.5
"North Carolina State",22.8571428571429,48
"North Texas",24.2857142857143,57.5
"Northern Illinois",33.5,110.5
"Northwestern",20.7142857142857,33.5
"Notre Dame",26.5714285714286,71.5
"Ohio",23.5,54
"Ohio State",9.28571428571429,3
"Oklahoma",35,117
"Oklahoma State",24.8571428571429,60.5
"Old Dominion",29.4285714285714,93
"Oregon",43,129
"Oregon State",28.5714285714286,88.5
"Penn State",24.5714285714286,59
"Pittsburgh",28,84
"Purdue",31.5714285714286,102
"Rice",36.7142857142857,120.5
"Rutgers",35.75,119
"San Diego State",15,10
"San Jose State",33.5,110.5
"South Alabama",22.4285714285714,43.5
"South Carolina",21.2857142857143,38
"South Florida",27.375,78.5
"Southern California",23.1428571428571,52
"Southern Methodist",26.5714285714286,71.5
"Southern Mississippi",27.8571428571429,83
"Stanford",17.7142857142857,22
"Syracuse",30.125,95
"Temple",21.625,39
"Tennessee",27.2857142857143,77
"Texas",32.5714285714286,107.5
"Texas A&M",20.2857142857143,31
"Texas Christian",29.7142857142857,94
"Texas State",38.1428571428571,122
"Texas Tech",42.4285714285714,128
"Texas-El Paso",36.7142857142857,120.5
"Texas-San Antonio",28.2857142857143,86
"Toledo",22.4285714285714,43.5
"Troy",19,26
"Tulane",24.8571428571429,60.5
"Tulsa",27,73
"UCLA",26,66
"Utah",20.125,30
"Utah State",24.2857142857143,57.5
"Vanderbilt",20.625,32
"Virginia",30.1428571428571,96.5
"Virginia Tech",17,18.5
"Wake Forest",15.8571428571429,16
"Washington",13.7142857142857,8
"Washington State",22.8571428571429,48
"West Virginia",16.8333333333333,17
"Western Kentucky",28.25,85
"Western Michigan",17.75,23
"Wisconsin",12.5714285714286,5
"Wyoming",25.1428571428571,63
