"Team","Value","Rank"
"Air Force",3.81029227371253,91
"Akron",4.6109356158865,112
"Alabama",-0.319744634535232,1
"Appalachian State",2.20422152386899,17
"Arizona",4.3284137922226,106
"Arizona State",3.51327090059401,68
"Arkansas",2.87009510333391,42
"Arkansas State",3.32319661568646,61
"Army",2.89627858406156,45
"Auburn",1.2217702785137,9
"Ball State",3.7021982543119,81
"Baylor",2.71786122358143,32
"Boise State",2.24643297407699,18
"Boston College",3.62195774782754,74
"Bowling Green State",5.80798652387992,129
"Brigham Young",2.73208551173533,33
"Buffalo",5.1704082287574,122
"California",4.88508254282645,119
"Central Florida",2.92412034197801,47
"Central Michigan",3.25176058321491,59
"Charlotte",4.63577253618596,113
"Cincinnati",2.88687468203319,43
"Clemson",0.718110060854506,4
"Colorado",1.48654288914123,11
"Colorado State",3.79967802298657,89
"Connecticut",3.04637264035668,54
"Duke",2.56034644292076,26
"East Carolina",4.09995189499539,102
"Eastern Michigan",3.54290145797266,69
"Florida",0.963018885202374,7
"Florida Atlantic",5.43022795243607,126
"Florida International",4.25116834447725,104
"Florida State",3.00320784442698,51
"Fresno State",4.80703229685078,117
"Georgia",2.55158167030062,25
"Georgia Southern",3.23850200514398,58
"Georgia State",2.8871056379966,44
"Georgia Tech",2.74210159765176,34
"Hawaii",4.40715699119392,108
"Houston",2.48210682209678,23
"Idaho",3.85678650252636,94
"Illinois",2.80080117730972,36
"Indiana",2.80243603458084,37
"Iowa",3.12501626223572,56
"Iowa State",4.0737385441739,100
"Kansas",3.64127000859151,78
"Kansas State",2.28466824226211,19
"Kent State",3.70123297614918,80
"Kentucky",3.59275846398467,73
"Louisiana",3.83521023179813,93
"Louisiana State",0.537418282625375,3
"Louisiana Tech",4.08348849726175,101
"Louisiana-Monroe",4.79387899932928,116
"Louisville",2.94731843687013,48
"Marshall",3.74943433826079,86
"Maryland",2.97316537664306,49
"Massachusetts",4.31513663883294,105
"Memphis",2.67854178983214,31
"Miami (FL)",1.6984674970953,12
"Miami (OH)",3.98130673515817,96
"Michigan",1.11351950271131,8
"Michigan State",3.77061597447794,87
"Middle Tennessee State",3.70084797613676,79
"Minnesota",3.03644352007092,52
"Mississippi",2.8553096583964,41
"Mississippi State",3.28042590814784,60
"Missouri",3.5558132434413,70
"Navy",3.03936439602243,53
"Nebraska",2.13262641156805,15
"Nevada",4.40835926513224,109
"Nevada-Las Vegas",4.49261735231548,110
"New Mexico",4.8935549943063,121
"New Mexico State",5.42013930328554,125
"Non-Major",5.41033898926829,124
"North Carolina",3.47428589240161,67
"North Carolina State",2.16286376466642,16
"North Texas",3.38665893583335,64
"Northern Illinois",4.87959774178578,118
"Northwestern",2.74520821456463,35
"Notre Dame",4.02312361704077,98
"Ohio",4.05369799844565,99
"Ohio State",0.750680796825558,5
"Oklahoma",3.39064274335879,65
"Oklahoma State",3.58410462912932,72
"Old Dominion",4.34606133098532,107
"Oregon",5.32976840551126,123
"Oregon State",3.06015737248655,55
"Penn State",2.30410722940322,20
"Pittsburgh",3.72838252228122,84
"Purdue",4.75547079415981,114
"Rice",4.60631151977744,111
"Rutgers",4.13346137483385,103
"San Diego State",2.59888322064776,27
"San Jose State",4.88580040656885,120
"South Alabama",3.38447389739603,63
"South Carolina",2.6445677712301,29
"South Florida",3.70503562884007,82
"Southern California",2.8407701416031,40
"Southern Methodist",2.83098099838312,39
"Southern Mississippi",3.80453368472072,90
"Stanford",0.937352639018325,6
"Syracuse",3.63337792472179,76
"Temple",2.90675678316422,46
"Tennessee",3.36260675587303,62
"Texas",3.82064361177938,92
"Texas A&M",1.96724669824148,13
"Texas Christian",3.87930887981069,95
"Texas State",5.5073401433415,127
"Texas Tech",5.60793278314399,128
"Texas-El Paso",4.77725991879235,115
"Texas-San Antonio",4.02105148990382,97
"Toledo",3.77183273532506,88
"Troy",3.00218696049568,50
"Tulane",3.47330467684605,66
"Tulsa",3.70820280916072,83
"UCLA",2.8232649717463,38
"Utah",2.67385158937251,30
"Utah State",3.56568464374711,71
"Vanderbilt",2.43041702613686,22
"Virginia",3.74416355825288,85
"Virginia Tech",2.08117511487669,14
"Wake Forest",2.35964525304597,21
"Washington",2.52189365534381,24
"Washington State",3.1887731535009,57
"West Virginia",1.25074978971306,10
"Western Kentucky",3.64012054207575,77
"Western Michigan",2.61878385013219,28
"Wisconsin",0.343291781855129,2
"Wyoming",3.62409533913176,75
