"Team","Value","Rank"
"Air Force",25.3076923076923,53
"Akron",32.9166666666667,100.5
"Alabama",12.6,1
"Appalachian State",17.3846153846154,9
"Arizona",37.6666666666667,121
"Arizona State",39.3333333333333,124
"Arkansas",29.6923076923077,83
"Arkansas State",20.8461538461538,20
"Army",19.3846153846154,17
"Auburn",16.6153846153846,7
"Ball State",28.5833333333333,77
"Baylor",28.3846153846154,74
"Boise State",22.2307692307692,26
"Boston College",24.5384615384615,46
"Bowling Green State",36.6666666666667,118
"Brigham Young",18.6153846153846,14
"Buffalo",30.8333333333333,90
"California",41.4166666666667,127
"Central Florida",24.1538461538462,44
"Central Michigan",29.3846153846154,81
"Charlotte",34.0833333333333,107
"Cincinnati",25.25,52
"Clemson",17.6,11
"Colorado",21.1428571428571,21
"Colorado State",29.9230769230769,84
"Connecticut",26.0833333333333,59
"Duke",27.1666666666667,64.5
"East Carolina",34.25,108
"Eastern Michigan",28.4615384615385,76
"Florida",15.8461538461538,6
"Florida Atlantic",39.25,123
"Florida International",31.6666666666667,96
"Florida State",23.9230769230769,41
"Fresno State",30.4166666666667,87
"Georgia",23.0769230769231,34.5
"Georgia Southern",26,57.5
"Georgia State",25.9166666666667,56
"Georgia Tech",23.3846153846154,36
"Hawaii",34.7142857142857,111
"Houston",22.3846153846154,28
"Idaho",29.4615384615385,82
"Illinois",31.75,97
"Indiana",25.2307692307692,50.5
"Iowa",17.9230769230769,12
"Iowa State",31.1666666666667,92
"Kansas",35.1666666666667,113
"Kansas State",22,25
"Kent State",27.1666666666667,64.5
"Kentucky",29,80
"Louisiana",24.8461538461538,47
"Louisiana State",15.75,5
"Louisiana Tech",33.1428571428571,102
"Louisiana-Monroe",36.4166666666667,116
"Louisville",22.5384615384615,29
"Marshall",33.25,105
"Maryland",28.6153846153846,78
"Massachusetts",33.8333333333333,106
"Memphis",28.3846153846154,74
"Miami (FL)",18.5384615384615,13
"Miami (OH)",22.8461538461538,32.5
"Michigan",13,2
"Michigan State",27.0833333333333,63
"Middle Tennessee State",35.1538461538462,112
"Minnesota",21.4615384615385,22
"Mississippi",32.5,99
"Mississippi State",30.8461538461538,91
"Missouri",30,85
"Navy",30.5714285714286,89
"Nebraska",22.8461538461538,32.5
"Nevada",28.8333333333333,79
"Nevada-Las Vegas",35.5833333333333,114
"New Mexico",31.4615384615385,94.5
"New Mexico State",38.3333333333333,122
"Non-Major",42.1769911504425,129
"North Carolina",24,42
"North Carolina State",22.7692307692308,31
"North Texas",32,98
"Northern Illinois",30.3333333333333,86
"Northwestern",21.6153846153846,24
"Notre Dame",26.1666666666667,60
"Ohio",22.6428571428571,30
"Ohio State",14.5384615384615,3
"Oklahoma",27.9230769230769,69
"Oklahoma State",25.6153846153846,55
"Old Dominion",26.7692307692308,62
"Oregon",40.75,126
"Oregon State",28.3333333333333,72
"Penn State",24.4285714285714,45
"Pittsburgh",34.3076923076923,109
"Purdue",37.25,120
"Rice",36.1666666666667,115
"Rutgers",36.5,117
"San Diego State",19.3571428571429,15.5
"San Jose State",33.1666666666667,103
"South Alabama",25.1538461538462,49
"South Carolina",26,57.5
"South Florida",31.4615384615385,94.5
"Southern California",23.7692307692308,40
"Southern Methodist",34.5833333333333,110
"Southern Mississippi",28.3076923076923,71
"Stanford",20.3846153846154,18
"Syracuse",37.0833333333333,119
"Temple",17.5714285714286,10
"Tennessee",28.3846153846154,74
"Texas",30.5,88
"Texas A&M",24.0769230769231,43
"Texas Christian",27.5384615384615,67
"Texas State",40.4166666666667,125
"Texas Tech",42.1666666666667,128
"Texas-El Paso",32.9166666666667,100.5
"Texas-San Antonio",27.4615384615385,66
"Toledo",25.2307692307692,50.5
"Troy",20.6923076923077,19
"Tulane",25,48
"Tulsa",28,70
"UCLA",26.5,61
"Utah",23.4615384615385,37
"Utah State",27.8333333333333,68
"Vanderbilt",23.0769230769231,34.5
"Virginia",31.25,93
"Virginia Tech",22.3571428571429,27
"Wake Forest",21.5384615384615,23
"Washington",17.1428571428571,8
"Washington State",25.4615384615385,54
"West Virginia",23.5384615384615,38
"Western Kentucky",23.7142857142857,39
"Western Michigan",19.3571428571429,15.5
"Wisconsin",15.1428571428571,4
"Wyoming",33.2142857142857,104
