"Team","Value","Rank"
"Air Force",24.3846153846154,50
"Akron",31.4166666666667,101
"Alabama",8.2,1
"Appalachian State",16.4615384615385,10
"Arizona",37.6666666666667,122
"Arizona State",38.3333333333333,123
"Arkansas",27.8461538461538,78
"Arkansas State",19,19
"Army",18.9230769230769,18
"Auburn",16.1538461538462,7
"Ball State",28.5833333333333,83
"Baylor",27.4615384615385,75
"Boise State",21.3076923076923,26
"Boston College",23.6153846153846,45
"Bowling Green State",35.6666666666667,116.5
"Brigham Young",16.7692307692308,11
"Buffalo",30.3333333333333,90.5
"California",40.9166666666667,127
"Central Florida",21.8461538461538,31.5
"Central Michigan",27.5384615384615,76
"Charlotte",32.0833333333333,104
"Cincinnati",24.75,55
"Clemson",16.4,9
"Colorado",19.4285714285714,20
"Colorado State",29.4615384615385,87
"Connecticut",25.5833333333333,58
"Duke",26.6666666666667,66
"East Carolina",34.25,112
"Eastern Michigan",28,79
"Florida",13.5384615384615,4
"Florida Atlantic",38.75,124
"Florida International",31.1666666666667,99
"Florida State",23.9230769230769,46
"Fresno State",30.4166666666667,92
"Georgia",21.6923076923077,30
"Georgia Southern",25.5,57
"Georgia State",24.4166666666667,51
"Georgia Tech",22.4615384615385,37
"Hawaii",34.2857142857143,113
"Houston",20.0769230769231,21
"Idaho",29,84.5
"Illinois",31.25,100
"Indiana",24.3076923076923,49
"Iowa",17.4615384615385,15
"Iowa State",30.6666666666667,94
"Kansas",34.6666666666667,114
"Kansas State",20.6153846153846,23
"Kent State",25.6666666666667,59
"Kentucky",28.5384615384615,82
"Louisiana",23,39
"Louisiana State",15.25,6
"Louisiana Tech",31.8571428571429,103
"Louisiana-Monroe",36.4166666666667,118
"Louisville",22.0769230769231,35
"Marshall",31.75,102
"Maryland",28.1538461538462,80
"Massachusetts",33.8333333333333,109
"Memphis",27,68.5
"Miami (FL)",17.1538461538462,13
"Miami (OH)",21.9230769230769,33.5
"Michigan",11.6153846153846,3
"Michigan State",26.0833333333333,63
"Middle Tennessee State",34.2307692307692,111
"Minnesota",21,25
"Mississippi",31,96
"Mississippi State",29,84.5
"Missouri",28.5,81
"Navy",29.2857142857143,86
"Nebraska",21.9230769230769,33.5
"Nevada",27.3333333333333,72.5
"Nevada-Las Vegas",34.0833333333333,110
"New Mexico",30.0769230769231,88.5
"New Mexico State",36.8333333333333,121
"Non-Major",41.4867256637168,128
"North Carolina",23.5384615384615,44
"North Carolina State",21.8461538461538,31.5
"North Texas",31.0769230769231,98
"Northern Illinois",30.3333333333333,90.5
"Northwestern",21.6153846153846,28.5
"Notre Dame",26.1666666666667,65
"Ohio",22.2142857142857,36
"Ohio State",11.3076923076923,2
"Oklahoma",27,68.5
"Oklahoma State",24.6923076923077,54
"Old Dominion",25.8461538461538,60
"Oregon",40.75,126
"Oregon State",27.3333333333333,72.5
"Penn State",23.1428571428571,41
"Pittsburgh",32.4615384615385,106
"Purdue",36.75,120
"Rice",35.6666666666667,116.5
"Rutgers",35.5,115
"San Diego State",17.2142857142857,14
"San Jose State",32.6666666666667,108
"South Alabama",24.2307692307692,48
"South Carolina",26,61.5
"South Florida",30.0769230769231,88.5
"Southern California",23.3076923076923,43
"Southern Methodist",32.5833333333333,107
"Southern Mississippi",27.3846153846154,74
"Stanford",18.5384615384615,17
"Syracuse",36.5833333333333,119
"Temple",17.1428571428571,12
"Tennessee",27,68.5
"Texas",30.5,93
"Texas A&M",24.0769230769231,47
"Texas Christian",27.0769230769231,71
"Texas State",39.4166666666667,125
"Texas Tech",41.6666666666667,129
"Texas-El Paso",32.4166666666667,105
"Texas-San Antonio",27,68.5
"Toledo",25.2307692307692,56
"Troy",20.6923076923077,24
"Tulane",24.5,52
"Tulsa",26.1538461538462,64
"UCLA",26,61.5
"Utah",21.6153846153846,28.5
"Utah State",27.8333333333333,77
"Vanderbilt",22.6153846153846,38
"Virginia",30.75,95
"Virginia Tech",21.5,27
"Wake Forest",20.1538461538462,22
"Washington",16.2857142857143,8
"Washington State",24.5384615384615,53
"West Virginia",23.0769230769231,40
"Western Kentucky",23.2857142857143,42
"Western Michigan",17.6428571428571,16
"Wisconsin",13.8571428571429,5
"Wyoming",31.0714285714286,97
