"Team","Value","Rank"
"Air Force",28.4982573519342,68
"Akron",37.0485610257454,114
"Alabama",3.8802118415844,1
"Appalachian State",18.6808423446497,15
"Arizona",37.4648267773282,116
"Arizona State",34.3365112350857,106
"Arkansas",25.4306071220363,55
"Arkansas State",24.2070323668559,45
"Army",24.0529153996236,44
"Auburn",13.8732104407449,8
"Ball State",33.2101649976897,102
"Baylor",26.072609258769,58
"Boise State",22.2175807866243,34
"Boston College",24.4726574556974,48
"Bowling Green State",38.4694482838183,119
"Brigham Young",18.4679683020409,14
"Buffalo",36.1391050975726,112
"California",38.5279258846405,120
"Central Florida",23.6550070970391,41
"Central Michigan",29.4709761729638,77
"Charlotte",34.6800132328229,107
"Cincinnati",25.7783769528058,56
"Clemson",13.7252072560324,7
"Colorado",15.930943787883,11
"Colorado State",31.8315622020543,92
"Connecticut",27.7843474705117,65
"Duke",24.4449310505799,47
"East Carolina",35.3303054455578,111
"Eastern Michigan",30.81927757822,86
"Florida",12.1830574311401,6
"Florida Atlantic",41.892887957615,128
"Florida International",32.62482110835,98
"Florida State",20.2870857928237,24
"Fresno State",32.2367473913621,96
"Georgia",21.6783939494939,31
"Georgia Southern",29.6085600912508,80
"Georgia State",29.3745443145165,76
"Georgia Tech",22.1298049349313,33
"Hawaii",35.3149197084094,110
"Houston",20.7674880740986,27
"Idaho",32.7247268535933,99
"Illinois",30.9804596509095,88
"Indiana",24.6268096565417,49
"Iowa",18.7029828344479,16
"Iowa State",28.8132014850469,72
"Kansas",30.9826859069573,89
"Kansas State",18.1287185005934,13
"Kent State",29.6189009323062,81
"Kentucky",27.8710314673025,66
"Louisiana",28.7609899786649,71
"Louisiana State",11.7506102645525,4
"Louisiana Tech",31.8467460022315,93
"Louisiana-Monroe",40.2615902009475,126
"Louisville",22.8191601132998,37
"Marshall",31.9468045304568,94
"Maryland",28.976928411846,73
"Massachusetts",37.3059655933746,115
"Memphis",26.9159312215369,62
"Miami (FL)",16.1610476787279,12
"Miami (OH)",27.5492374387378,63
"Michigan",10.9414882697695,3
"Michigan State",25.1120379917028,52
"Middle Tennessee State",38.3855930519564,118
"Minnesota",21.8979018730902,32
"Mississippi",28.7094020677871,70
"Mississippi State",29.481197928594,78
"Missouri",29.0825239125547,75
"Navy",28.6233257707296,69
"Nebraska",20.7954672937674,28
"Nevada",32.2050700736246,95
"Nevada-Las Vegas",38.6149098288555,121
"New Mexico",34.8933799545824,108
"New Mexico State",40.1821194335937,125
"Non-Major",40.8263350655859,127
"North Carolina",24.2754186774904,46
"North Carolina State",19.8860208652343,20
"North Texas",33.295542756639,103
"Northern Illinois",33.0809832143784,101
"Northwestern",21.1099216061842,29
"Notre Dame",25.294766109731,54
"Ohio",26.9041523366514,61
"Ohio State",7.51171542177725,2
"Oklahoma",23.9258349526038,42
"Oklahoma State",22.2485183771351,35
"Old Dominion",31.0276162272413,90
"Oregon",39.0601414339762,122
"Oregon State",24.9050007190443,50
"Penn State",21.4460589175461,30
"Pittsburgh",30.9608876615813,87
"Purdue",39.1806812125588,124
"Rice",37.9696636613814,117
"Rutgers",33.0789381892921,100
"San Diego State",20.1576456865185,23
"San Jose State",35.1239466677225,109
"South Alabama",29.8915368476951,83
"South Carolina",23.9509991458835,43
"South Florida",32.5624659291498,97
"Southern California",18.7912767082739,17
"Southern Methodist",30.5729499031819,85
"Southern Mississippi",31.4608913088725,91
"Stanford",14.1479200983518,9
"Syracuse",33.5187850966065,105
"Temple",19.6104871942254,19
"Tennessee",28.1002628072351,67
"Texas",26.3183883247781,59
"Texas A&M",23.3507993483626,40
"Texas Christian",25.2868147371187,53
"Texas State",44.7671895959224,129
"Texas Tech",39.0697168293972,123
"Texas-El Paso",36.4264302709474,113
"Texas-San Antonio",27.7158679111214,64
"Toledo",30.5401109013034,84
"Troy",25.9650048364487,57
"Tulane",26.7684033272934,60
"Tulsa",29.0785040760302,74
"UCLA",23.0827745545148,38
"Utah",20.1154724331864,21
"Utah State",29.7951392058615,82
"Vanderbilt",20.6722026513162,26
"Virginia",29.6043249777915,79
"Virginia Tech",19.6078262219665,18
"Wake Forest",20.1295873170905,22
"Washington",14.763623463403,10
"Washington State",23.0886451063095,39
"West Virginia",20.4227943308115,25
"Western Kentucky",25.0968501472317,51
"Western Michigan",22.4022832945002,36
"Wisconsin",11.9731803343893,5
"Wyoming",33.3154117608172,104
