"Team","Value","Rank"
"Air Force",471.588913553876,47
"Akron",622.575146322046,127
"Alabama",327.188844005421,1
"Appalachian State",414.84487558587,20
"Arizona",547.811297409517,102
"Arizona State",530.30277691391,91
"Arkansas",497.380324610523,75
"Arkansas State",489.773498280781,66
"Army",414.621697149964,18
"Auburn",370.162175059231,8
"Ball State",590.596340710172,121
"Baylor",488.487803224497,65
"Boise State",469.463944482341,43
"Boston College",372.969454626377,9
"Bowling Green State",543.086807510859,97
"Brigham Young",444.838117258206,31
"Buffalo",573.400963368577,114
"California",593.903459926574,122
"Central Florida",452.424464021046,34
"Central Michigan",473.153856239391,48
"Charlotte",561.220077888681,110
"Cincinnati",507.960808936076,81
"Clemson",378.118193067665,10
"Colorado",414.666823130642,19
"Colorado State",508.825155679275,83
"Connecticut",460.446495690466,38
"Duke",485.074999848158,60
"East Carolina",567.879804927526,111
"Eastern Michigan",536.173225158914,93
"Florida",333.932999686549,2
"Florida Atlantic",586.543067626246,120
"Florida International",526.579444289223,89
"Florida State",391.706949592325,13
"Fresno State",482.045603353234,54
"Georgia",414.14803267481,17
"Georgia Southern",476.20093590111,53
"Georgia State",525.109480040273,88
"Georgia Tech",446.242239637728,32
"Hawaii",558.008861471774,107
"Houston",405.038423857034,16
"Idaho",542.362010391452,94
"Illinois",508.382750952897,82
"Indiana",461.190902028708,39
"Iowa",431.267406271541,25
"Iowa State",486.377838841586,61
"Kansas",470.822799241592,45
"Kansas State",417.727275713716,22
"Kent State",507.75148152596,80
"Kentucky",514.821214384702,84
"Louisiana",490.735032296243,69
"Louisiana State",361.004258219252,6
"Louisiana Tech",548.034119676393,103
"Louisiana-Monroe",617.248082482178,126
"Louisville",473.768719274823,49
"Marshall",498.891101488352,76
"Maryland",535.945934499327,92
"Massachusetts",594.623752323477,123
"Memphis",491.73936115194,71
"Miami (FL)",401.630066650935,15
"Miami (OH)",470.304068592415,44
"Michigan",352.623804924302,4
"Michigan State",440.652551993932,30
"Middle Tennessee State",574.559310890284,115
"Minnesota",424.338573725774,23
"Mississippi",542.976457788723,96
"Mississippi State",545.053768607229,100
"Missouri",543.884582729405,99
"Navy",503.530693207941,78
"Nebraska",448.2177504427,33
"Nevada",552.354203144047,104
"Nevada-Las Vegas",581.35792321939,118
"New Mexico",471.103297631468,46
"New Mexico State",636.948228997947,129
"Non-Major",571.840242079051,113
"North Carolina",484.492207343049,56
"North Carolina State",415.582220109124,21
"North Texas",516.147398038289,86
"Northern Illinois",554.591634395699,106
"Northwestern",488.230064909898,64
"Notre Dame",465.543356202525,40
"Ohio",495.112906027254,72
"Ohio State",356.432278382539,5
"Oklahoma",491.381381499043,70
"Oklahoma State",489.839730681257,67
"Old Dominion",504.789426804827,79
"Oregon",559.74588238386,109
"Oregon State",474.999477735901,52
"Penn State",452.972527425327,35
"Pittsburgh",552.74125322272,105
"Purdue",547.248387231041,101
"Rice",584.797313862133,119
"Rutgers",559.103769023746,108
"San Diego State",433.640584511748,26
"San Jose State",496.899033303326,74
"South Alabama",523.889051350379,87
"South Carolina",484.499365352977,57
"South Florida",628.477276065558,128
"Southern California",398.321123043023,14
"Southern Methodist",542.692933458341,95
"Southern Mississippi",455.787917982594,37
"Stanford",380.963314206609,11
"Syracuse",571.717794263921,112
"Temple",424.566744697439,24
"Tennessee",527.956493782423,90
"Texas",484.922750297107,59
"Texas A&M",484.704906899443,58
"Texas Christian",473.870893199677,51
"Texas State",595.836295968286,124
"Texas Tech",602.975281653959,125
"Texas-El Paso",483.485625779338,55
"Texas-San Antonio",469.084362138975,42
"Toledo",543.328373435486,98
"Troy",486.532636747823,62
"Tulane",437.246618590191,28
"Tulsa",579.378468836409,117
"UCLA",453.697944393589,36
"Utah",438.12715659951,29
"Utah State",467.166672843145,41
"Vanderbilt",473.829713516999,50
"Virginia",515.282181839587,85
"Virginia Tech",346.103007537171,3
"Wake Forest",434.238176026644,27
"Washington",388.171865629715,12
"Washington State",490.525682114987,68
"West Virginia",487.529136269914,63
"Western Kentucky",496.068785582181,73
"Western Michigan",500.261455440269,77
"Wisconsin",369.160442346987,7
"Wyoming",579.041409393424,116
