"Team","Value","Rank"
"Air Force",3.65362626442573,76
"Akron",4.5265502732339,112
"Alabama",0.0666575762806709,1
"Appalachian State",2.26404609245059,15
"Arizona",5.19588114217564,124
"Arizona State",4.33070485211282,103
"Arkansas",3.21930208097286,58
"Arkansas State",2.71128896580711,36
"Army",2.87322779527354,42
"Auburn",1.27074673623786,6
"Ball State",4.08718287102629,95
"Baylor",3.13749993021843,54
"Boise State",2.57388019292661,29
"Boston College",3.24494959798429,60
"Bowling Green State",5.0543340155674,121
"Brigham Young",2.31062191058937,17
"Buffalo",4.52414508505877,111
"California",5.26603950111611,125
"Central Florida",2.81908938878865,40
"Central Michigan",3.67912915035852,78
"Charlotte",4.41211716471988,105
"Cincinnati",3.02131966809184,48
"Clemson",1.63292358251567,9
"Colorado",1.86468600127037,11
"Colorado State",4.43090451057137,106
"Connecticut",3.43787522760149,67
"Duke",2.93063478664846,45
"East Carolina",4.54056348014479,113
"Eastern Michigan",3.96603677387708,90
"Florida",1.25143227977894,5
"Florida Atlantic",5.36718128020649,127
"Florida International",4.08371914897871,94
"Florida State",2.45374575059552,22
"Fresno State",4.18176154703699,100
"Georgia",2.78784988356538,38
"Georgia Southern",3.58729669473464,74
"Georgia State",3.34130994613185,62
"Georgia Tech",2.70008161163028,35
"Hawaii",4.44754694451377,107
"Houston",2.34536779408652,19
"Idaho",4.09777106800486,96
"Illinois",3.74506245718292,83
"Indiana",2.80556544186204,39
"Iowa",2.40477001623234,20
"Iowa State",3.64329807712816,75
"Kansas",3.73460761297836,81
"Kansas State",2.32168358052761,18
"Kent State",3.77692135885785,85
"Kentucky",3.18548606467916,57
"Louisiana",3.38749570903428,63
"Louisiana State",0.744585846560913,3
"Louisiana Tech",4.0177642989922,92
"Louisiana-Monroe",5.02243331021389,120
"Louisville",2.58661966065372,31
"Marshall",3.97405367594285,91
"Maryland",3.95845015723247,89
"Massachusetts",4.60379673436868,115
"Memphis",3.45826670574653,70
"Miami (FL)",1.82567909039994,10
"Miami (OH)",3.42084413551315,65
"Michigan",1.39458208748611,7
"Michigan State",3.11129210023722,52
"Middle Tennessee State",4.9988769961659,118
"Minnesota",2.64940268472009,32
"Mississippi",3.39208034269914,64
"Mississippi State",3.77016119428785,84
"Missouri",3.66419993268663,77
"Navy",3.54640511552997,71
"Nebraska",2.67394001377804,34
"Nevada",4.14400707553995,98
"Nevada-Las Vegas",5.00012738285981,119
"New Mexico",4.58741103687657,114
"New Mexico State",5.07532678223771,122
"Non-Major",5.33028048101824,126
"North Carolina",3.04735876169448,49
"North Carolina State",2.13052552190418,13
"North Texas",4.17595380873597,99
"Northern Illinois",4.4668607684542,108
"Northwestern",2.50106672686231,24
"Notre Dame",3.29363323196669,61
"Ohio",3.15401686806905,55
"Ohio State",0.549275617866438,2
"Oklahoma",2.84807720636875,41
"Oklahoma State",2.90683624122081,44
"Old Dominion",4.12265733733754,97
"Oregon",5.57855529225757,128
"Oregon State",3.05750401083011,50
"Penn State",2.50268272466307,25
"Pittsburgh",3.82258612344899,86
"Purdue",4.78278801747495,116
"Rice",4.80446635743604,117
"Rutgers",4.3942777300914,104
"San Diego State",2.664630315757,33
"San Jose State",4.52007705407971,110
"South Alabama",3.70065286035159,80
"South Carolina",2.94026005891761,46
"South Florida",4.03241304866837,93
"Southern California",2.51689417626009,28
"Southern Methodist",3.7373435889675,82
"Southern Mississippi",3.83743884972012,87
"Stanford",1.59782896927494,8
"Syracuse",4.32667239879266,102
"Temple",2.51032493115021,27
"Tennessee",3.55991297098509,72
"Texas",3.11718082076246,53
"Texas A&M",2.74223426369883,37
"Texas Christian",2.87740597666907,43
"Texas State",5.65770920048102,129
"Texas Tech",5.12071222065278,123
"Texas-El Paso",4.47470633053053,109
"Texas-San Antonio",3.42482605176525,66
"Toledo",3.88344192513779,88
"Troy",3.2333260297589,59
"Tulane",3.44068355153914,68
"Tulsa",3.5623682284779,73
"UCLA",2.58044609070637,30
"Utah",2.48976324806503,23
"Utah State",3.68575126159458,79
"Vanderbilt",2.4406240694852,21
"Virginia",3.45372751147779,69
"Virginia Tech",2.28437984150157,16
"Wake Forest",2.50956738929302,26
"Washington",1.94157213197494,12
"Washington State",3.15775647159841,56
"West Virginia",2.24115004740976,14
"Western Kentucky",3.0795495992296,51
"Western Michigan",2.9566518555156,47
"Wisconsin",1.2123238547901,4
"Wyoming",4.18452614356228,101
