"Team","Value","Rank"
"Air Force",2.07155412278354,70
"Akron",3.54884689223632,113
"Alabama",-1.14028493724347,1
"Appalachian State",0.762122436639241,22
"Arizona",3.92828353073147,121
"Arizona State",2.90907975941058,96
"Arkansas",1.90228029105674,58
"Arkansas State",1.39808377188331,46
"Army",1.18867018811752,38
"Auburn",0.0396616289892717,8
"Ball State",3.00544557267235,98
"Baylor",1.66238661198506,55
"Boise State",1.93572570008108,61
"Boston College",1.38207202044485,43
"Bowling Green State",3.75254680135707,115
"Brigham Young",0.256043098567207,12
"Buffalo",3.71327333254381,114
"California",3.79957822999729,116
"Central Florida",1.13312715053226,37
"Central Michigan",2.51998336958127,85
"Charlotte",3.01587869298845,99
"Cincinnati",1.21374231767664,39
"Clemson",-0.0247319224152187,7
"Colorado",0.096159508993457,10
"Colorado State",3.31512953837531,112
"Connecticut",2.72132304528145,90
"Duke",1.42754525321146,47
"East Carolina",3.95747279209257,122
"Eastern Michigan",2.27348088650507,77
"Florida",-0.212355172552114,6
"Florida Atlantic",4.07409008963962,125
"Florida International",3.042422658611,100
"Florida State",0.628020277336752,18
"Fresno State",3.19754781703027,107
"Georgia",0.857690821443728,25
"Georgia Southern",1.961777973927,63
"Georgia State",2.05202366819876,68
"Georgia Tech",1.44971306568169,50
"Hawaii",3.15074694861663,103
"Houston",1.44476047110346,48
"Idaho",1.94905793123516,62
"Illinois",2.0563726342841,69
"Indiana",1.0763389870001,32
"Iowa",1.088850611915,34
"Iowa State",2.77508043031941,92
"Kansas",1.99317063429595,65
"Kansas State",0.867928932289261,26
"Kent State",2.19779967121792,75
"Kentucky",1.72269906041674,56
"Louisiana",2.40475939733866,83
"Louisiana State",-0.504639790940058,4
"Louisiana Tech",3.07792283279824,101
"Louisiana-Monroe",3.82062251926631,118
"Louisville",0.764270790804506,23
"Marshall",2.8185949376399,93
"Maryland",3.13364747589939,102
"Massachusetts",3.27654282359188,108
"Memphis",1.65840581909895,53
"Miami (FL)",0.698812025354224,21
"Miami (OH)",2.11761586257247,72
"Michigan",0.15595383162709,11
"Michigan State",2.04006606126184,67
"Middle Tennessee State",3.80293197159888,117
"Minnesota",0.657957904714574,20
"Mississippi",2.25382055202853,76
"Mississippi State",2.35609004085163,79
"Missouri",2.37735637604468,81
"Navy",2.54903991744773,86
"Nebraska",1.38333140955642,44
"Nevada",3.18397207722908,105
"Nevada-Las Vegas",4.02207797364159,123
"New Mexico",3.82225082897607,119
"New Mexico State",3.31089619613367,110
"Non-Major",4.05740441345434,124
"North Carolina",2.11646375377557,71
"North Carolina State",0.486793054379187,15
"North Texas",2.83065992422406,94
"Northern Illinois",3.18232672030649,104
"Northwestern",0.504174103860009,16
"Notre Dame",2.18587559483873,74
"Ohio",1.54768153061864,52
"Ohio State",-1.00397374783573,2
"Oklahoma",1.82861930059602,57
"Oklahoma State",1.34655206133644,41
"Old Dominion",2.65871071500364,88
"Oregon",4.43957293897572,128
"Oregon State",1.39339333758664,45
"Penn State",1.08413293912394,33
"Pittsburgh",2.60857995227948,87
"Purdue",3.2952950679638,109
"Rice",4.20109468004238,126
"Rutgers",3.19683681493736,106
"San Diego State",0.933238882618739,31
"San Jose State",2.90254407663952,95
"South Alabama",2.29307476073888,78
"South Carolina",0.919547763683322,30
"South Florida",2.37354768680695,80
"Southern California",0.850231690951917,24
"Southern Methodist",1.96241272867329,64
"Southern Mississippi",2.69465901584752,89
"Stanford",0.0733572161925071,9
"Syracuse",2.91657786610939,97
"Temple",0.884879815027988,28
"Tennessee",1.92844068572246,59
"Texas",1.44496530634339,49
"Texas A&M",0.882024147759548,27
"Texas Christian",1.93148934678517,60
"Texas State",4.9523031183607,129
"Texas Tech",4.31196745494016,127
"Texas-El Paso",3.91135199168988,120
"Texas-San Antonio",2.15521700674447,73
"Toledo",3.31376518013714,111
"Troy",1.11084932549005,35
"Tulane",1.33812432874117,40
"Tulsa",2.42510606761117,84
"UCLA",0.544396951553474,17
"Utah",0.366455992304773,13
"Utah State",2.76755721012996,91
"Vanderbilt",1.12970271233445,36
"Virginia",2.03934203940815,66
"Virginia Tech",0.636977402273235,19
"Wake Forest",0.919484226051699,29
"Washington",-0.435477009576329,5
"Washington State",1.35986640929322,42
"West Virginia",0.455176964800992,14
"Western Kentucky",1.66151804347058,54
"Western Michigan",1.54352440345398,51
"Wisconsin",-0.707734538311019,3
"Wyoming",2.38407637938207,82
