"Team","Value","Rank"
"Air Force",462.866976001598,68
"Akron",474.043396685538,61
"Alabama",592.384765184245,11
"Appalachian State",449.241879314451,75
"Arizona",480.51829286857,59
"Arizona State",485.738057998005,54
"Arkansas",440.358892787589,85
"Arkansas State",406.242115024764,107
"Army",449.023596971394,76
"Auburn",545.641955779608,26
"Ball State",438.85479469018,87
"Baylor",565.024671474937,21
"Boise State",505.819343856317,44
"Boston College",403.507477619215,111
"Bowling Green State",405.483461940904,110
"Brigham Young",446.167735784966,77
"Buffalo",372.97935008409,121
"California",641.075160207728,3
"Central Florida",459.489249594236,71
"Central Michigan",419.102511331588,96
"Charlotte",442.194283885658,83
"Cincinnati",424.258417085791,94
"Clemson",590.971498919214,13
"Colorado",571.929481113585,18
"Colorado State",437.466097183364,88
"Connecticut",372.161803926171,122
"Duke",498.447850538257,47
"East Carolina",562.437633737364,23
"Eastern Michigan",424.458127329528,93
"Florida",426.962004411807,92
"Florida Atlantic",410.009592489578,103
"Florida International",407.591760492859,105
"Florida State",574.35572559608,17
"Fresno State",418.417283193506,97
"Georgia",440.234673784281,86
"Georgia Southern",429.925697957223,91
"Georgia State",340.259442874028,128
"Georgia Tech",471.571737926141,64
"Hawaii",463.793062408233,67
"Houston",490.57413587587,53
"Idaho",394.944569236108,115
"Illinois",398.824206018823,114
"Indiana",552.139722806429,24
"Iowa",418.411974009589,98
"Iowa State",493.555385715712,51
"Kansas",324.982802068284,129
"Kansas State",412.481393281482,101
"Kent State",348.658434876239,127
"Kentucky",517.247627266643,39
"Louisiana",388.229063771155,117
"Louisiana State",481.462936637702,58
"Louisiana Tech",602.682391992653,9
"Louisiana-Monroe",406.05974396726,108
"Louisville",680.622394734984,1
"Marshall",406.427862356113,106
"Maryland",462.134146478053,69
"Massachusetts",460.868464394979,70
"Memphis",515.159409362442,40
"Miami (FL)",456.706661595864,72
"Miami (OH)",369.862478674196,123
"Michigan",544.991980417756,27
"Michigan State",472.259922108696,63
"Middle Tennessee State",532.167901976968,32
"Minnesota",443.291071509579,80
"Mississippi",582.38004289381,16
"Mississippi State",491.115085137765,52
"Missouri",591.691448311606,12
"Navy",529.293764576555,35
"Nebraska",470.753916348643,65
"Nevada",363.184280865689,125
"Nevada-Las Vegas",484.798481730621,57
"New Mexico",495.53861842189,49
"New Mexico State",441.977316629614,84
"Non-Major",368.843449962576,124
"North Carolina",530.65251442946,34
"North Carolina State",478.982518537522,60
"North Texas",405.716586511239,109
"Northern Illinois",508.080102147604,43
"Northwestern",472.892618849094,62
"Notre Dame",500.850727610323,46
"Ohio",442.984588154864,82
"Ohio State",527.42384084758,36
"Oklahoma",629.864754704258,5
"Oklahoma State",508.219001469614,42
"Old Dominion",485.626337653762,55
"Oregon",634.79584137279,4
"Oregon State",443.389690018909,79
"Penn State",497.900504860171,48
"Pittsburgh",530.702164248654,33
"Purdue",453.655926347665,74
"Rice",431.282310982273,90
"Rutgers",417.805589258641,99
"San Diego State",444.204259128986,78
"San Jose State",415.023145053782,100
"South Alabama",389.332143482837,116
"South Carolina",352.302241511472,126
"South Florida",545.818405562084,25
"Southern California",604.277646665788,8
"Southern Methodist",485.096712580029,56
"Southern Mississippi",571.103134165162,19
"Stanford",385.283731055848,118
"Syracuse",618.550410904037,6
"Temple",408.568161651573,104
"Tennessee",570.010785728254,20
"Texas",563.148275384697,22
"Texas A&M",611.885571268467,7
"Texas Christian",532.571239158668,31
"Texas State",411.580947521115,102
"Texas Tech",641.942309258322,2
"Texas-El Paso",402.674683313439,112
"Texas-San Antonio",421.872830728556,95
"Toledo",590.316819218167,14
"Troy",544.207716441002,28
"Tulane",379.815622289743,119
"Tulsa",601.110086230202,10
"UCLA",501.713561828237,45
"Utah",494.935018827289,50
"Utah State",434.601609396266,89
"Vanderbilt",401.300908993317,113
"Virginia",443.084928959744,81
"Virginia Tech",523.422644035543,37
"Wake Forest",378.188569060809,120
"Washington",518.14381803848,38
"Washington State",541.606080654495,30
"West Virginia",510.895660497823,41
"Western Kentucky",590.01450521682,15
"Western Michigan",541.623709371745,29
"Wisconsin",463.883581228453,66
"Wyoming",456.483234054232,73
