"Team","Value","Rank"
"Air Force",456.352329047952,77
"Akron",489.078109662671,59
"Alabama",618.352015822306,8
"Appalachian State",433.527380156033,96
"Arizona",476.168485866803,64
"Arizona State",466.110225491783,70
"Arkansas",440.54944616118,91
"Arkansas State",437.784969981718,93
"Army",454.36833701772,80
"Auburn",573.568213673145,22
"Ball State",434.307694807465,95
"Baylor",580.460302442033,18
"Boise State",537.334536032918,38
"Boston College",408.255780372444,113
"Bowling Green State",430.388682423672,98
"Brigham Young",481.000288562691,63
"Buffalo",366.071175983776,124
"California",652.766341328845,3
"Central Florida",502.89427213598,50
"Central Michigan",443.655878676802,87
"Charlotte",450.339448735446,82
"Cincinnati",442.809745746431,88
"Clemson",649.339771735462,4
"Colorado",600.651701890722,14
"Colorado State",444.213373729344,86
"Connecticut",358.08430748997,127
"Duke",470.103844209439,67
"East Carolina",559.56084187723,27
"Eastern Michigan",457.327122759388,76
"Florida",467.971858490803,68
"Florida Atlantic",420.832463329566,105
"Florida International",418.148700266983,108
"Florida State",566.160133415112,25
"Fresno State",429.075796938018,101
"Georgia",458.758420348785,75
"Georgia Southern",462.029160242791,73
"Georgia State",369.387702909047,122
"Georgia Tech",447.857662274531,83
"Hawaii",491.738848736104,58
"Houston",505.196549335135,49
"Idaho",410.33491541711,112
"Illinois",429.261329842576,100
"Indiana",543.071050329487,34
"Iowa",411.186106327511,111
"Iowa State",447.766286858681,84
"Kansas",395.935211157244,118
"Kansas State",432.005135450317,97
"Kent State",352.899095467926,128
"Kentucky",519.449464623791,43
"Louisiana",403.565308475095,114
"Louisiana State",520.837366019477,41
"Louisiana Tech",609.081243513587,10
"Louisiana-Monroe",428.626787049728,102
"Louisville",731.761643829079,1
"Marshall",428.018733560642,103
"Maryland",442.097569676258,90
"Massachusetts",460.9793306262,74
"Memphis",519.806581151908,42
"Miami (FL)",493.843477453529,56
"Miami (OH)",371.685112507817,121
"Michigan",586.338922730578,16
"Michigan State",472.954268335372,66
"Middle Tennessee State",573.305629959781,23
"Minnesota",488.690248614594,61
"Mississippi",574.049987412847,21
"Mississippi State",493.176956376712,57
"Missouri",640.495768611025,5
"Navy",512.41961574088,45
"Nebraska",473.417733869791,65
"Nevada",335.444256294902,129
"Nevada-Las Vegas",500.155489917758,52
"New Mexico",521.110734952056,40
"New Mexico State",466.447759749341,69
"Non-Major",362.708205141151,126
"North Carolina",540.649975006857,35
"North Carolina State",511.123935034614,47
"North Texas",419.307988579895,107
"Northern Illinois",498.079996954061,54
"Northwestern",463.360714204262,71
"Notre Dame",507.304808035486,48
"Ohio",435.04688792051,94
"Ohio State",576.432068536954,20
"Oklahoma",631.902881517386,7
"Oklahoma State",512.258695547543,46
"Old Dominion",497.299343117142,55
"Oregon",603.310437510245,13
"Oregon State",442.329396996314,89
"Penn State",517.253726817934,44
"Pittsburgh",502.491545939425,51
"Purdue",462.086603885448,72
"Rice",395.650799403796,119
"Rutgers",423.204328260839,104
"San Diego State",447.059176589501,85
"San Jose State",397.786209160958,117
"South Alabama",414.982211010636,109
"South Carolina",369.152024271643,123
"South Florida",540.576470760925,36
"Southern California",612.328636949098,9
"Southern Methodist",498.529206754949,53
"Southern Mississippi",565.191191203905,26
"Stanford",414.68958454869,110
"Syracuse",607.938853757208,11
"Temple",437.87737100652,92
"Tennessee",576.642131525046,19
"Texas",550.512630772037,30
"Texas A&M",634.941815012012,6
"Texas Christian",585.351170638979,17
"Texas State",399.708572210821,116
"Texas Tech",679.601741650927,2
"Texas-El Paso",419.722616780878,106
"Texas-San Antonio",430.131075999272,99
"Toledo",566.746247703311,24
"Troy",557.36448133357,28
"Tulane",362.758402538205,125
"Tulsa",595.731151220135,15
"UCLA",522.382842124371,39
"Utah",488.876288612502,60
"Utah State",451.618092478431,81
"Vanderbilt",403.292943839735,115
"Virginia",455.53187535335,79
"Virginia Tech",546.233840023503,32
"Wake Forest",374.959095220503,120
"Washington",544.759069057219,33
"Washington State",546.598593961653,31
"West Virginia",552.047546621403,29
"Western Kentucky",605.136364525394,12
"Western Michigan",539.249175133044,37
"Wisconsin",485.484840985387,62
"Wyoming",455.612270968649,78
