"Team","Value","Rank"
"Air Force",4.23076923076923,33
"Akron",3.41666666666667,68.5
"Alabama",4.2,36
"Appalachian State",3.53846153846154,61.5
"Arizona",3.25,79.5
"Arizona State",3.75,51.5
"Arkansas",3.61538461538462,58
"Arkansas State",3.23076923076923,82.5
"Army",4.07692307692308,40
"Auburn",3.46153846153846,65.5
"Ball State",3.33333333333333,73
"Baylor",4.46153846153846,25.5
"Boise State",4.38461538461539,29
"Boston College",2.38461538461538,116
"Bowling Green State",3.08333333333333,93.5
"Brigham Young",3.30769230769231,76
"Buffalo",1.91666666666667,126
"California",4.41666666666667,27
"Central Florida",3.15384615384615,89.5
"Central Michigan",3.15384615384615,89.5
"Charlotte",3,100.5
"Cincinnati",2.25,121
"Clemson",5,13
"Colorado",3.71428571428571,53
"Colorado State",4.61538461538461,21
"Connecticut",1.58333333333333,129
"Duke",3.16666666666667,86
"East Carolina",3.25,79.5
"Eastern Michigan",3.53846153846154,61.5
"Florida",2.30769230769231,119
"Florida Atlantic",3.33333333333333,73
"Florida International",2.91666666666667,105.5
"Florida State",4.38461538461539,29
"Fresno State",2,124.5
"Georgia",2.76923076923077,109.5
"Georgia Southern",3.08333333333333,93.5
"Georgia State",2.33333333333333,117.5
"Georgia Tech",3.38461538461538,70.5
"Hawaii",3.57142857142857,60
"Houston",4.15384615384615,38
"Idaho",3.46153846153846,65.5
"Illinois",2.25,121
"Indiana",3,100.5
"Iowa",3.15384615384615,89.5
"Iowa State",3.33333333333333,73
"Kansas",2.33333333333333,117.5
"Kansas State",3.92307692307692,46
"Kent State",2.16666666666667,123
"Kentucky",3.69230769230769,55
"Louisiana",2.53846153846154,114.5
"Louisiana State",3.58333333333333,59
"Louisiana Tech",5.42857142857143,5
"Louisiana-Monroe",3,100.5
"Louisville",5.38461538461539,6
"Marshall",3.41666666666667,68.5
"Maryland",3.30769230769231,76
"Massachusetts",3.08333333333333,93.5
"Memphis",4.61538461538461,21
"Miami (FL)",4,44
"Miami (OH)",2.76923076923077,109.5
"Michigan",4.84615384615385,16
"Michigan State",2.75,111
"Middle Tennessee State",5,13
"Minnesota",3.38461538461538,70.5
"Mississippi",3.66666666666667,57
"Mississippi State",3.69230769230769,55
"Missouri",4.16666666666667,37
"Navy",5,13
"Nebraska",3.23076923076923,82.5
"Nevada",3.16666666666667,86
"Nevada-Las Vegas",3.75,51.5
"New Mexico",4.61538461538461,21
"New Mexico State",2.91666666666667,105.5
"Non-Major",1.76106194690265,127
"North Carolina",4.07692307692308,40
"North Carolina State",3.46153846153846,65.5
"North Texas",3.07692307692308,96
"Northern Illinois",4,44
"Northwestern",3.46153846153846,65.5
"Notre Dame",3.91666666666667,47
"Ohio",2.78571428571429,108
"Ohio State",4.53846153846154,23
"Oklahoma",5.76923076923077,2
"Oklahoma State",4.69230769230769,18.5
"Old Dominion",4.46153846153846,25.5
"Oregon",4.83333333333333,17
"Oregon State",3.16666666666667,86
"Penn State",4.5,24
"Pittsburgh",5.23076923076923,8
"Purdue",3.08333333333333,93.5
"Rice",3.25,79.5
"Rutgers",1.75,128
"San Diego State",4.07142857142857,42
"San Jose State",2.83333333333333,107
"South Alabama",3.15384615384615,89.5
"South Carolina",2.53846153846154,114.5
"South Florida",5.69230769230769,4
"Southern California",4.23076923076923,33
"Southern Methodist",3,100.5
"Southern Mississippi",4.07692307692308,40
"Stanford",2.69230769230769,112.5
"Syracuse",3.25,79.5
"Temple",3.78571428571429,49
"Tennessee",4.69230769230769,18.5
"Texas",4,44
"Texas A&M",4.38461538461539,29
"Texas Christian",3.76923076923077,50
"Texas State",2.25,121
"Texas Tech",5.75,3
"Texas-El Paso",3.5,63
"Texas-San Antonio",3.69230769230769,55
"Toledo",5,13
"Troy",4.23076923076923,33
"Tulane",3,100.5
"Tulsa",5.07692307692308,9
"UCLA",3,100.5
"Utah",3.30769230769231,76
"Utah State",3,100.5
"Vanderbilt",2.69230769230769,112.5
"Virginia",3,100.5
"Virginia Tech",4.21428571428571,35
"Wake Forest",2,124.5
"Washington",5.35714285714286,7
"Washington State",5,13
"West Virginia",3.84615384615385,48
"Western Kentucky",5.78571428571429,1
"Western Michigan",5.07142857142857,10
"Wisconsin",3.21428571428571,84
"Wyoming",4.35714285714286,31
