"Team","Value","Rank"
"Air Force",473.395107833822,66
"Akron",454.381959607697,76
"Alabama",551.419829338724,22
"Appalachian State",452.636870164486,79
"Arizona",481.940928510877,61
"Arizona State",496.939214332531,53
"Arkansas",497.744316489527,51
"Arkansas State",406.868340017056,108
"Army",438.923117896943,86
"Auburn",497.274766202674,52
"Ball State",468.514060704739,68
"Baylor",555.256548525966,20
"Boise State",509.058660104715,46
"Boston College",370.674389223977,124
"Bowling Green State",418.448667367656,99
"Brigham Young",430.456919383344,91
"Buffalo",394.61910785096,115
"California",627.500784510516,3
"Central Florida",414.249812036359,105
"Central Michigan",416.692976792783,102
"Charlotte",417.137042649483,100
"Cincinnati",407.631477983491,107
"Clemson",610.660161054328,5
"Colorado",513.747999954685,41
"Colorado State",521.695574053956,36
"Connecticut",363.882763313714,127
"Duke",509.307693694885,45
"East Carolina",526.246810996223,32
"Eastern Michigan",468.657378579216,67
"Florida",416.767725776137,101
"Florida Atlantic",476.212471594095,64
"Florida International",393.166814847394,116
"Florida State",567.658256253472,17
"Fresno State",372.967527297498,123
"Georgia",445.221619239594,84
"Georgia Southern",446.263253520886,83
"Georgia State",364.696015261298,126
"Georgia Tech",466.847855466982,70
"Hawaii",450.860968362305,80
"Houston",482.733141779504,60
"Idaho",430.832115307373,89
"Illinois",394.858445908096,114
"Indiana",510.248152627815,44
"Iowa",432.315188797641,88
"Iowa State",516.550246216224,40
"Kansas",381.893747291112,122
"Kansas State",465.250381768819,72
"Kent State",349.494803230655,129
"Kentucky",502.347026703132,49
"Louisiana",386.388422927711,121
"Louisiana State",505.693328156813,47
"Louisiana Tech",588.396333587768,11
"Louisiana-Monroe",430.776858990392,90
"Louisville",637.817053491691,1
"Marshall",399.384105103325,112
"Maryland",487.03207262439,56
"Massachusetts",462.642687760266,73
"Memphis",546.657964332048,23
"Miami (FL)",485.691387766985,59
"Miami (OH)",386.559516345003,120
"Michigan",512.003244182549,42
"Michigan State",477.394102608355,62
"Middle Tennessee State",511.191568727404,43
"Minnesota",423.676404516255,97
"Mississippi",559.161972949289,18
"Mississippi State",521.067511141262,37
"Missouri",580.083393022449,13
"Navy",517.050556214023,39
"Nebraska",444.02508863336,85
"Nevada",405.1999628603,109
"Nevada-Las Vegas",476.485300585503,63
"New Mexico",487.021592125053,57
"New Mexico State",430.231384852605,92
"Non-Major",365.881576784974,125
"North Carolina",538.865751710349,26
"North Carolina State",503.579934430216,48
"North Texas",410.916744874713,106
"Northern Illinois",495.819943029109,54
"Northwestern",475.53235006949,65
"Notre Dame",527.894956274027,31
"Ohio",416.408386170233,103
"Ohio State",525.118703267721,33
"Oklahoma",630.714167479891,2
"Oklahoma State",538.31631496564,28
"Old Dominion",486.648177785293,58
"Oregon",612.769535313225,4
"Oregon State",447.37939858049,82
"Penn State",544.592033258834,25
"Pittsburgh",555.749368147912,19
"Purdue",452.690277909861,78
"Rice",424.039172136486,96
"Rutgers",387.339128056997,118
"San Diego State",453.391893661749,77
"San Jose State",424.115220510576,95
"South Alabama",400.644089138202,110
"South Carolina",396.905029073473,113
"South Florida",579.017860631302,14
"Southern California",599.905935054293,8
"Southern Methodist",466.220031582752,71
"Southern Mississippi",535.275290889601,29
"Stanford",419.677482058495,98
"Syracuse",588.928123921927,10
"Temple",447.569812559544,81
"Tennessee",585.731738798611,12
"Texas",545.7265282471,24
"Texas A&M",578.449342545692,15
"Texas Christian",538.780665889947,27
"Texas State",361.420139617714,128
"Texas Tech",604.80090544441,7
"Texas-El Paso",399.769727753642,111
"Texas-San Antonio",414.458886430085,104
"Toledo",569.342080929373,16
"Troy",467.408190880027,69
"Tulane",387.120141443515,119
"Tulsa",604.83609099638,6
"UCLA",461.788416577736,74
"Utah",502.021634072093,50
"Utah State",436.438996762725,87
"Vanderbilt",430.050693366753,93
"Virginia",429.158860266371,94
"Virginia Tech",533.39526615321,30
"Wake Forest",392.843798067292,117
"Washington",518.097709572539,38
"Washington State",553.786370457146,21
"West Virginia",522.49091047422,35
"Western Kentucky",594.484942224796,9
"Western Michigan",523.467292557441,34
"Wisconsin",456.04550166879,75
"Wyoming",489.079693400631,55
