"Team","Value","Rank"
"Air Force",3.62456231993278,58
"Akron",3.21084703144401,75
"Alabama",4.77454836781162,18
"Appalachian State",2.96115766574583,82
"Arizona",3.59419523107773,59
"Arizona State",3.50726702559171,63
"Arkansas",4.03020669366599,39
"Arkansas State",2.81348540725629,94
"Army",3.45644255769185,65
"Auburn",3.88821034401861,43
"Ball State",2.77566159322837,100
"Baylor",4.36333547201759,30
"Boise State",4.07626131421149,38
"Boston College",2.46870820747347,110
"Bowling Green State",2.66734023084646,106
"Brigham Young",2.94698224226285,85
"Buffalo",1.45101676541092,129
"California",4.63859887357933,23
"Central Florida",3.13921225105986,78
"Central Michigan",2.79203918739975,97
"Charlotte",2.33692784434899,113
"Cincinnati",1.90914424411919,124
"Clemson",5.67336305369346,4
"Colorado",3.71570806604402,53
"Colorado State",4.36455363406451,29
"Connecticut",1.48668042929948,128
"Duke",3.55354402637875,61
"East Carolina",3.48092407793823,64
"Eastern Michigan",2.81177214758717,95
"Florida",2.83250622326767,92
"Florida Atlantic",2.81738518005458,93
"Florida International",2.2774392304857,117
"Florida State",4.82471525837692,15
"Fresno State",1.51528082672507,127
"Georgia",3.01651061042283,80
"Georgia Southern",2.85669648543822,90
"Georgia State",2.07541414893725,122
"Georgia Tech",3.67916498217881,54
"Hawaii",2.8862893694623,89
"Houston",4.02891346762563,40
"Idaho",2.78278522457344,99
"Illinois",2.51490227645922,109
"Indiana",3.28687080878324,72
"Iowa",3.42552098892038,66
"Iowa State",3.39191164753987,68
"Kansas",2.38579605542601,111
"Kansas State",3.8272191888219,47
"Kent State",1.66787956851357,126
"Kentucky",3.85657927466729,46
"Louisiana",2.14632713508516,120
"Louisiana State",4.08633308044015,37
"Louisiana Tech",4.79783334469794,17
"Louisiana-Monroe",2.8951540279215,88
"Louisville",5.84903474550824,3
"Marshall",2.58175859949702,107
"Maryland",3.63509868236688,57
"Massachusetts",2.98015634953751,81
"Memphis",4.25215537183733,34
"Miami (FL)",4.27477218852531,33
"Miami (OH)",2.23785588317627,119
"Michigan",5.33405118126203,7
"Michigan State",3.27936108991339,73
"Middle Tennessee State",4.34721855815735,32
"Minnesota",3.27237353802372,74
"Mississippi",4.3475307470689,31
"Mississippi State",4.18594301284319,36
"Missouri",4.46884076460861,25
"Navy",4.79919360251692,16
"Nebraska",3.34319967530182,70
"Nevada",2.30883890710177,115
"Nevada-Las Vegas",3.31866331299946,71
"New Mexico",3.87947982745454,45
"New Mexico State",2.69924013910559,104
"Non-Major",1.87067503822314,125
"North Carolina",4.38117249237148,28
"North Carolina State",3.63866544686775,56
"North Texas",2.71190424999898,103
"Northern Illinois",3.36696922238379,69
"Northwestern",3.67200556454839,55
"Notre Dame",4.4090256421687,27
"Ohio",1.99157611358666,123
"Ohio State",4.93443023434828,14
"Oklahoma",6.22347031873447,1
"Oklahoma State",4.61809240642785,24
"Old Dominion",3.93327618181626,42
"Oregon",5.0954345112098,10
"Oregon State",3.14281190126198,76
"Penn State",4.97757671997786,13
"Pittsburgh",5.61226218805107,5
"Purdue",3.40600950622225,67
"Rice",2.94158704438684,86
"Rutgers",2.24058449368389,118
"San Diego State",3.14262508988441,77
"San Jose State",2.3273903343992,114
"South Alabama",2.55458594316726,108
"South Carolina",2.37583855383796,112
"South Florida",5.48342431628777,6
"Southern California",4.41695387245791,26
"Southern Methodist",2.75200354501826,102
"Southern Mississippi",3.75819657304229,50
"Stanford",2.68629868202762,105
"Syracuse",3.58063411182417,60
"Temple",3.52732868765237,62
"Tennessee",5.31333208758667,8
"Texas",3.88540443936316,44
"Texas A&M",4.69865339009122,21
"Texas Christian",3.76644152372103,49
"Texas State",2.14263109059012,121
"Texas Tech",5.86296262769254,2
"Texas-El Paso",2.78875752989545,98
"Texas-San Antonio",2.77524554931121,101
"Toledo",4.71527421805261,20
"Troy",3.72056337541746,51
"Tulane",2.79243448445508,96
"Tulsa",4.98425913112877,12
"UCLA",2.96025341433341,83
"Utah",2.95985026924484,84
"Utah State",2.83681513373601,91
"Vanderbilt",2.93153597681,87
"Virginia",3.10609193285313,79
"Virginia Tech",4.20418122144286,35
"Wake Forest",2.28677135342445,116
"Washington",4.99962042780905,11
"Washington State",4.7448946704318,19
"West Virginia",3.80747654158769,48
"Western Kentucky",5.25821880107218,9
"Western Michigan",4.65914044186276,22
"Wisconsin",3.71970888397049,52
"Wyoming",3.96771483653058,41
