"Team","Value","Rank"
"Air Force",33.2857142857143,108
"Akron",25.625,67
"Alabama",8.75,1
"Alabama-Birmingham",28.1428571428571,87.5
"Appalachian State",20.7142857142857,39
"Arizona",28.1428571428571,87.5
"Arizona State",28.4285714285714,90
"Arkansas",33.1428571428571,107
"Arkansas State",22.1666666666667,47
"Army",20.5,37
"Auburn",14.875,12
"Ball State",31.2857142857143,101
"Baylor",38,123
"Boise State",19,28.5
"Boston College",26.5,76
"Bowling Green State",34.75,113
"Brigham Young",26.25,73
"Buffalo",25.125,62
"California",28.375,89
"Central Florida",17.5,20
"Central Michigan",26,70.5
"Charlotte",28.125,86
"Cincinnati",30.25,98
"Clemson",13.5714285714286,7
"Coastal Carolina",37.7142857142857,121
"Colorado",23.875,57
"Colorado State",24.5,60
"Connecticut",36.5714285714286,117
"Duke",19.375,32
"East Carolina",44.375,131
"Eastern Michigan",19,28.5
"Florida",22.3333333333333,49
"Florida Atlantic",26.5714285714286,77
"Florida International",25.3333333333333,64
"Florida State",22.5,51
"Fresno State",17.5714285714286,21
"Georgia",12.5714285714286,6
"Georgia Southern",40.3333333333333,128
"Georgia State",27.5,83
"Georgia Tech",20.8333333333333,40
"Hawaii",34.7142857142857,111.5
"Houston",23.1428571428571,52
"Idaho",31.7142857142857,102
"Illinois",27.8571428571429,85
"Indiana",23.7142857142857,55
"Iowa",18.1428571428571,23.5
"Iowa State",20.4285714285714,36
"Kansas",42.8571428571429,130
"Kansas State",24,58
"Kent State",32.125,103.5
"Kentucky",23.8571428571429,56
"Louisiana",38.7142857142857,124
"Louisiana State",19.75,35
"Louisiana Tech",26.7142857142857,78.5
"Louisiana-Monroe",37.8571428571429,122
"Louisville",26.375,75
"Marshall",14.2857142857143,8.5
"Maryland",32.4285714285714,106
"Massachusetts",31,100
"Memphis",34.1428571428571,110
"Miami (FL)",18.6666666666667,27
"Miami (OH)",22.25,48
"Michigan",16.8571428571429,17
"Michigan State",14.2857142857143,8.5
"Middle Tennessee State",25.25,63
"Minnesota",18.1428571428571,23.5
"Mississippi",35.7142857142857,115
"Mississippi State",17,18.5
"Missouri",39.1428571428571,126
"Navy",27.5714285714286,84
"Nebraska",27.1428571428571,82
"Nevada",36,116
"Nevada-Las Vegas",35,114
"New Mexico",26.8571428571429,80
"New Mexico State",29.7142857142857,94.5
"Non-Major",39.0659340659341,125
"North Carolina",32.125,103.5
"North Carolina State",22.4285714285714,50
"North Texas",37.5714285714286,120
"Northern Illinois",15.8571428571429,13
"Northwestern",22.1428571428571,45.5
"Notre Dame",16.4285714285714,15
"Ohio",24.375,59
"Ohio State",14.5714285714286,10
"Oklahoma",25,61
"Oklahoma State",19.7142857142857,33.5
"Old Dominion",33.8571428571429,109
"Oregon",30.375,99
"Oregon State",42,129
"Penn State",9.57142857142857,3
"Pittsburgh",28.625,91
"Purdue",18.4285714285714,26
"Rice",32.2857142857143,105
"Rutgers",23.5714285714286,53
"San Diego State",21,41.5
"San Jose State",39.875,127
"South Alabama",25.5714285714286,66
"South Carolina",19.2857142857143,31
"South Florida",17.8571428571429,22
"Southern California",25.375,65
"Southern Methodist",29.7142857142857,94.5
"Southern Mississippi",18.2857142857143,25
"Stanford",22,44
"Syracuse",23.625,54
"Temple",26.125,72
"Tennessee",26,70.5
"Texas",22.1428571428571,45.5
"Texas A&M",26.2857142857143,74
"Texas Christian",14.8571428571429,11
"Texas State",29.4285714285714,93
"Texas Tech",30,96.5
"Texas-El Paso",37,119
"Texas-San Antonio",17,18.5
"Toledo",25.7142857142857,68
"Troy",16.2857142857143,14
"Tulane",26.7142857142857,78.5
"Tulsa",36.875,118
"UCLA",34.7142857142857,111.5
"Utah",20.5714285714286,38
"Utah State",25.875,69
"Vanderbilt",30,96.5
"Virginia",21,41.5
"Virginia Tech",11.8571428571429,4
"Wake Forest",19.7142857142857,33.5
"Washington",8.85714285714286,2
"Washington State",16.75,16
"West Virginia",29,92
"Western Kentucky",19.1428571428571,30
"Western Michigan",26.875,81
"Wisconsin",12.4285714285714,5
"Wyoming",21.5714285714286,43
