"Team","Value","Rank"
"Air Force",4.1239181063236,102
"Akron",3.24909651447535,66
"Alabama",0.770437204578761,2
"Alabama-Birmingham",3.98181866803064,100
"Appalachian State",2.71809453772951,40
"Arizona",4.57184819064059,114
"Arizona State",3.23831464116479,65
"Arkansas",3.793564370982,91
"Arkansas State",3.64638737213319,87
"Army",3.06002219616806,60
"Auburn",1.19041762953242,6
"Ball State",5.59458748254146,128
"Baylor",3.47663935715071,82
"Boise State",2.64939447656681,39
"Boston College",1.99491413281212,24
"Bowling Green State",5.08633164974932,125
"Brigham Young",2.93737977323779,54
"Buffalo",3.67643751944373,89
"California",2.54735328726625,36
"Central Florida",2.89077549426431,49
"Central Michigan",3.42788508906157,75
"Charlotte",4.41864559710017,110
"Cincinnati",3.66613629773342,88
"Clemson",0.845678233071784,3
"Coastal Carolina",4.88765525743227,124
"Colorado",3.21564006922542,64
"Colorado State",3.95903498663641,96
"Connecticut",4.71725484937131,117
"Duke",2.08377742149556,26
"East Carolina",5.91201974315479,130
"Eastern Michigan",2.90101462651906,51
"Florida",2.38450861770469,32
"Florida Atlantic",3.4355236117712,76
"Florida International",4.23130532931039,104
"Florida State",1.65118301773393,14
"Fresno State",2.29228438066412,29
"Georgia",1.23573516075696,7
"Georgia Southern",4.58263265091382,115
"Georgia State",3.89364897886321,94
"Georgia Tech",2.76055134592717,43
"Hawaii",4.87301249426319,123
"Houston",2.11067239528256,27
"Idaho",3.46237239615044,78
"Illinois",3.53602939229953,84
"Indiana",2.80038395390718,46
"Iowa",1.4665512521671,11
"Iowa State",1.72201888464218,16
"Kansas",4.74026816010996,119
"Kansas State",2.48879631733178,35
"Kent State",4.3783289365911,109
"Kentucky",3.1318116856331,62
"Louisiana",5.78409090074104,129
"Louisiana State",1.99050512678933,23
"Louisiana Tech",3.38935290557402,72
"Louisiana-Monroe",5.91718773261364,131
"Louisville",3.05226316890971,59
"Marshall",2.90861738550899,52
"Maryland",3.63917716670707,86
"Massachusetts",4.51922867910226,112
"Memphis",3.89210864509397,93
"Miami (FL)",1.86598589462521,21
"Miami (OH)",3.46468387095697,79
"Michigan",1.5776751091351,13
"Michigan State",1.44464548280597,10
"Middle Tennessee State",3.36492124672312,71
"Minnesota",2.76793798434057,44
"Mississippi",3.96193659277659,98
"Mississippi State",1.84212851149175,20
"Missouri",3.90747311507708,95
"Navy",2.72352353078988,41
"Nebraska",3.76499606075744,90
"Nevada",4.22836089891206,103
"Nevada-Las Vegas",4.56189757368722,113
"New Mexico",4.25207831204817,105
"New Mexico State",4.50326796184547,111
"Non-Major",5.11092279504034,126
"North Carolina",3.49431882655623,83
"North Carolina State",2.45346324421276,34
"North Texas",4.72135288574797,118
"Northern Illinois",2.57306925623354,37
"Northwestern",2.0250411074732,25
"Notre Dame",1.80511060993218,19
"Ohio",3.3454066146289,70
"Ohio State",1.46867367703342,12
"Oklahoma",2.62175292456881,38
"Oklahoma State",2.86790671589249,48
"Old Dominion",4.7815418411575,120
"Oregon",3.10580837841755,61
"Oregon State",4.814094510085,122
"Penn State",1.74289143957951,17
"Pittsburgh",2.84525794687551,47
"Purdue",1.69197027058456,15
"Rice",4.7819168361744,121
"Rutgers",2.92187996821641,53
"San Diego State",2.72960188235239,42
"San Jose State",5.44154980524301,127
"South Alabama",3.28154209866336,67
"South Carolina",1.76672349270301,18
"South Florida",3.42411609372767,74
"Southern California",2.31300093337997,30
"Southern Methodist",4.31294096902916,107
"Southern Mississippi",3.47332152243656,80
"Stanford",2.35057810443533,31
"Syracuse",3.4540430064211,77
"Temple",3.00053339839617,58
"Tennessee",3.30452249284467,69
"Texas",1.10140923573122,4
"Texas A&M",3.57175646909608,85
"Texas Christian",1.10407337854937,5
"Texas State",4.35008952419129,108
"Texas Tech",2.99118436999777,57
"Texas-El Paso",4.63352569491931,116
"Texas-San Antonio",2.78719792809607,45
"Toledo",3.82011913352708,92
"Troy",2.94229457225618,55
"Tulane",3.47604477517592,81
"Tulsa",4.287222839895,106
"UCLA",3.4089248172127,73
"Utah",1.95867983763267,22
"Utah State",2.94335031564985,56
"Vanderbilt",3.95998039208739,97
"Virginia",3.19066729109268,63
"Virginia Tech",1.27811635472328,8
"Wake Forest",2.89829051955086,50
"Washington",1.34315796354388,9
"Washington State",2.38906807579317,33
"West Virginia",3.29153450182162,68
"Western Kentucky",3.97064397614047,99
"Western Michigan",4.07048599891418,101
"Wisconsin",0.598323184940422,1
"Wyoming",2.24293467922933,28
