"Team","Value","Rank"
"Air Force",42.2494184766177,127
"Akron",27.5177581643179,72
"Alabama",10.6334634331997,1
"Alabama-Birmingham",35.4434494500503,106
"Appalachian State",25.5909069862561,55
"Arizona",35.458491184979,107
"Arizona State",29.0507264581884,87
"Arkansas",31.9806658706985,98
"Arkansas State",24.548145495177,49
"Army",35.9840221004615,109
"Auburn",14.0545215610297,10
"Ball State",44.5680893066541,131
"Baylor",27.5635696927515,73
"Boise State",23.3208020964602,42
"Boston College",22.4558134959398,38
"Bowling Green State",37.2980641886002,114
"Brigham Young",23.9374143576437,46
"Buffalo",28.3802719405727,82
"California",21.2742260193552,32
"Central Florida",22.6623102440194,40
"Central Michigan",25.9591641069511,61
"Charlotte",37.5662765866114,117
"Cincinnati",31.8967195122957,97
"Clemson",10.8723526905223,2
"Coastal Carolina",39.9524839387618,121
"Colorado",27.4326681423944,69
"Colorado State",30.5390384814537,92
"Connecticut",37.1508882709287,112
"Duke",19.7060221154246,25
"East Carolina",42.0251198266583,126
"Eastern Michigan",23.8577401479201,45
"Florida",23.6255280602332,44
"Florida Atlantic",28.3723260988637,81
"Florida International",34.1108504389579,104
"Florida State",17.0500367980307,20
"Fresno State",21.466877754551,33
"Georgia",14.1933645746825,12
"Georgia Southern",42.9829058829776,130
"Georgia State",31.7032335866686,96
"Georgia Tech",31.6830050264415,95
"Hawaii",37.3117134025777,115
"Houston",22.6422518735518,39
"Idaho",29.9382050057828,90
"Illinois",26.9829634708983,67
"Indiana",21.5768576557477,34
"Iowa",15.6816951034962,15
"Iowa State",16.2282643663562,18
"Kansas",34.6924445324076,105
"Kansas State",23.6222373711242,43
"Kent State",37.5857033286124,118
"Kentucky",27.5072133066321,71
"Louisiana",42.6857140178749,129
"Louisiana State",20.6896275299536,28
"Louisiana Tech",30.1653393842147,91
"Louisiana-Monroe",42.4398069323787,128
"Louisville",21.0967235455602,30
"Marshall",24.1639209676783,47
"Maryland",31.2209331610349,93
"Massachusetts",33.5289072413523,101
"Memphis",26.3572389216372,63
"Miami (FL)",15.3614736521235,14
"Miami (OH)",27.6865459543188,75
"Michigan",15.9457507946543,16
"Michigan State",16.0338895480729,17
"Middle Tennessee State",25.8504580784901,59
"Minnesota",25.6103305297136,56
"Mississippi",28.8476950968011,86
"Mississippi State",19.7306420197346,27
"Missouri",28.7192322317482,85
"Navy",33.813595435857,103
"Nebraska",28.0909102719506,78
"Nevada",31.6050513510234,94
"Nevada-Las Vegas",37.2091153767716,113
"New Mexico",36.3119893495793,111
"New Mexico State",27.571241654965,74
"Non-Major",41.7584535353579,125
"North Carolina",26.368202809555,64
"North Carolina State",22.153822853808,35
"North Texas",33.5433806330539,102
"Northern Illinois",25.0228862647494,53
"Northwestern",16.7352609455889,19
"Notre Dame",17.5846905935113,21
"Ohio",27.3219739933285,68
"Ohio State",11.9339007217879,4
"Oklahoma",21.1531806063321,31
"Oklahoma State",20.9392731234524,29
"Old Dominion",36.1344363065857,110
"Oregon",28.2277090047794,80
"Oregon State",38.286960861026,120
"Penn State",10.9481517270778,3
"Pittsburgh",24.7138151870893,50
"Purdue",13.7417297090113,8
"Rice",41.0506968919896,122
"Rutgers",27.4722945756036,70
"San Diego State",25.4326603173765,54
"San Jose State",41.3153683950783,124
"South Alabama",28.115974585122,79
"South Carolina",18.2975438967413,22
"South Florida",29.0851884473282,88
"Southern California",18.5256818348791,23
"Southern Methodist",33.0566175275382,100
"Southern Mississippi",29.238309186899,89
"Stanford",19.7284884393851,26
"Syracuse",25.8082355324217,58
"Temple",25.8634907570574,60
"Tennessee",28.0253147224714,77
"Texas",14.0123717896059,9
"Texas A&M",26.8640155282657,65
"Texas Christian",13.0189839717767,6
"Texas State",38.247706555119,119
"Texas Tech",24.7398859500318,51
"Texas-El Paso",37.3777661358046,116
"Texas-San Antonio",25.6321449454867,57
"Toledo",28.5185105640239,83
"Troy",22.3218300115701,36
"Tulane",33.0275464230271,99
"Tulsa",41.2653934639836,123
"UCLA",26.9112894908449,66
"Utah",18.6164803899304,24
"Utah State",26.243078141783,62
"Vanderbilt",27.9554576358291,76
"Virginia",22.9521275841082,41
"Virginia Tech",15.3478662562521,13
"Wake Forest",24.7664017411621,52
"Washington",14.0821525930275,11
"Washington State",13.3874637783789,7
"West Virginia",24.4131935918141,48
"Western Kentucky",28.5771685833825,84
"Western Michigan",35.8532814453452,108
"Wisconsin",12.2525086902966,5
"Wyoming",22.4387019000492,37
