"Team","Value","Rank"
"Air Force",4.23763877826691,103
"Akron",3.52964131222334,75
"Alabama",1.04415136493143,2
"Alabama-Birmingham",4.02882437813592,96
"Appalachian State",2.76725964117917,36
"Arizona",4.68368305359688,117
"Arizona State",3.54413409704181,76
"Arkansas",4.07008719849781,99
"Arkansas State",3.69422962589526,81
"Army",3.31546028263636,59
"Auburn",1.31550244849717,4
"Ball State",5.56506154848237,128
"Baylor",3.59544335410053,79
"Boise State",3.16412390825208,54
"Boston College",2.27024214948569,26
"Bowling Green State",5.14383104026954,124
"Brigham Young",2.84232901101255,40
"Buffalo",3.72199213641537,84
"California",2.73233456167058,35
"Central Florida",3.30815225902474,58
"Central Michigan",3.48732499014578,72
"Charlotte",4.41602843148958,108
"Cincinnati",3.76172085524691,87
"Clemson",1.25310224401798,3
"Coastal Carolina",4.97299585137337,123
"Colorado",3.35525355260489,63
"Colorado State",4.02981666490898,97
"Connecticut",4.78044661416234,120
"Duke",2.4070014710567,27
"East Carolina",5.95792286707678,130
"Eastern Michigan",2.9536238137292,46
"Florida",2.7073137621177,33
"Florida Atlantic",3.50762768604392,73
"Florida International",4.18088266832485,101
"Florida State",2.04289159846122,18
"Fresno State",2.56830953724988,32
"Georgia",1.37205617013186,5
"Georgia Southern",4.62065098089946,112
"Georgia State",3.82307868498475,89
"Georgia Tech",2.91278658956063,43
"Hawaii",5.16040879722775,125
"Houston",2.2245737743897,24
"Idaho",3.44498185393966,69
"Illinois",3.54674108534977,77
"Indiana",3.03082067637049,51
"Iowa",1.84450912164972,13
"Iowa State",2.1776789651936,23
"Kansas",4.73151140719017,119
"Kansas State",2.78277249542254,37
"Kent State",4.24260938492861,104
"Kentucky",3.28730865508398,57
"Louisiana",5.75073050189917,129
"Louisiana State",2.08442149247407,20
"Louisiana Tech",3.83088962637987,90
"Louisiana-Monroe",5.98538789131509,131
"Louisville",3.21664760962011,55
"Marshall",2.99270345672618,48
"Maryland",4.00531275943775,95
"Massachusetts",4.64978353096715,113
"Memphis",4.20067203135461,102
"Miami (FL)",2.03458441307517,17
"Miami (OH)",3.43250624594692,67
"Michigan",1.85057645029789,14
"Michigan State",1.55001441535369,7
"Middle Tennessee State",3.3306223966437,61
"Minnesota",2.88708552082833,41
"Mississippi",3.99529808949944,94
"Mississippi State",2.11342836518494,21
"Missouri",3.92144700357375,92
"Navy",2.82236626367614,38
"Nebraska",4.04082305218575,98
"Nevada",4.29127676238247,105
"Nevada-Las Vegas",4.65644067324181,114
"New Mexico",4.1431614530405,100
"New Mexico State",4.38872187273847,107
"Non-Major",5.18953672842381,126
"North Carolina",3.59222559852264,78
"North Carolina State",2.72296305216985,34
"North Texas",4.73031734194788,118
"Northern Illinois",2.82353970683225,39
"Northwestern",2.25460241989697,25
"Notre Dame",2.13131754398756,22
"Ohio",3.41205955979026,66
"Ohio State",1.72268855502557,10
"Oklahoma",2.99688125270724,49
"Oklahoma State",3.26438967106798,56
"Old Dominion",4.60588957463399,110
"Oregon",3.34505073518316,62
"Oregon State",4.78183196908418,121
"Penn State",1.91387690704204,15
"Pittsburgh",2.93310749871042,45
"Purdue",1.80723197508576,12
"Rice",4.67736768545426,115
"Rutgers",2.96570503765013,47
"San Diego State",2.89390546138236,42
"San Jose State",5.33596579609133,127
"South Alabama",3.36657885635801,65
"South Carolina",1.99785029408571,16
"South Florida",3.62639742964904,80
"Southern California",2.49898640442921,28
"Southern Methodist",4.60942734321923,111
"Southern Mississippi",3.69631455909903,82
"Stanford",2.52820149323598,29
"Syracuse",3.52653062442689,74
"Temple",3.02437830406671,50
"Tennessee",3.45751019386972,70
"Texas",1.74470954331164,11
"Texas A&M",3.72986367143068,85
"Texas Christian",1.51731818786682,6
"Texas State",4.30258917899906,106
"Texas Tech",3.43631012063213,68
"Texas-El Paso",4.81014887299934,122
"Texas-San Antonio",2.91876539055687,44
"Toledo",3.81836556656964,88
"Troy",3.03709250459027,52
"Tulane",3.70519958888056,83
"Tulsa",4.68309951948905,116
"UCLA",3.73537178742467,86
"Utah",2.04840932488108,19
"Utah State",3.36131579886668,64
"Vanderbilt",3.97787894471339,93
"Virginia",3.33033487672489,60
"Virginia Tech",1.60969117708387,8
"Wake Forest",3.08310819270871,53
"Washington",1.70706314735243,9
"Washington State",2.53883548212778,30
"West Virginia",3.47333879267791,71
"Western Kentucky",3.87447939110119,91
"Western Michigan",4.47020565051909,109
"Wisconsin",0.974771684712646,1
"Wyoming",2.54724681079914,31
