"Team","Value","Rank"
"Air Force",3.31345518086834,22
"Akron",0.790311231304055,97
"Alabama",4.45689710731692,5
"Alabama-Birmingham",0.64166391296446,100
"Appalachian State",1.67483682431315,67
"Arizona",4.21194397858084,8
"Arizona State",3.44979624487731,19
"Arkansas",2.94737128114462,31
"Arkansas State",1.55602757803093,71
"Army",2.7122295717138,43
"Auburn",1.88032158227304,62
"Ball State",-0.164696443309762,114
"Baylor",1.422471315595,77
"Boise State",2.72797022180238,40
"Boston College",2.02526345388344,60
"Bowling Green State",-0.286925371142517,119
"Brigham Young",-0.871734998822843,127
"Buffalo",2.19558575530897,56
"California",1.05960742611348,91
"Central Florida",4.25125537527852,7
"Central Michigan",0.0214715186392747,110
"Charlotte",-0.643926715349278,124
"Cincinnati",1.26741648044055,85
"Clemson",3.93574578061326,11
"Coastal Carolina",0.0153930680417051,111
"Colorado",1.55973266376181,69
"Colorado State",2.47733275071488,48
"Connecticut",1.01591739354912,93
"Duke",1.51271429048969,72
"East Carolina",0.921950146179059,95
"Eastern Michigan",-0.29134239659901,120
"Florida",1.25186244472983,86
"Florida Atlantic",3.09755422587714,28
"Florida International",-0.402181239941183,121
"Florida State",1.0732451160832,90
"Fresno State",2.93574852851416,32
"Georgia",2.9918271645891,29
"Georgia Southern",-1.01484355896581,129
"Georgia State",-0.54239913422122,123
"Georgia Tech",3.16115088259647,24
"Hawaii",1.49443917495186,73
"Houston",0.513289887452761,103
"Idaho",-0.199932670062658,115
"Illinois",-0.259322665922234,118
"Indiana",1.81855942163257,63
"Iowa",2.29639877587207,54
"Iowa State",3.15665319165047,25
"Kansas",0.757320510229414,98
"Kansas State",2.19130222825149,57
"Kent State",-0.753811473476203,125
"Kentucky",1.72913521409409,66
"Louisiana",1.55629008819005,70
"Louisiana State",2.71620911331228,42
"Louisiana Tech",1.19768133020723,88
"Louisiana-Monroe",2.55869054393103,46
"Louisville",3.33118589070506,21
"Marshall",1.31473196243025,83
"Maryland",3.75656571065144,15
"Massachusetts",1.33195739120013,81
"Memphis",2.76986085384559,38
"Miami (FL)",3.24987014189968,23
"Miami (OH)",1.01426038153308,94
"Michigan",1.16356033118057,89
"Michigan State",1.48037336210435,74
"Middle Tennessee State",-0.247749617438232,117
"Minnesota",1.30867360801002,84
"Mississippi",2.93235989556347,33
"Mississippi State",3.10368079740427,27
"Missouri",2.85812954431556,35
"Navy",2.22321921550347,55
"Nebraska",2.46307565146981,49
"Nevada",1.31705303739689,82
"Nevada-Las Vegas",1.40067056160027,78
"New Mexico",0.254949770455512,108
"New Mexico State",1.36834548500382,80
"Non-Major",-0.140021685659004,113
"North Carolina",1.43721000391483,76
"North Carolina State",4.3633313364194,6
"North Texas",2.44889899335017,51
"Northern Illinois",0.475481702587645,105
"Northwestern",2.00511006152224,61
"Notre Dame",4.96873644061408,2
"Ohio",2.87227736001681,34
"Ohio State",5.02647262514179,1
"Oklahoma",4.65159364607464,3
"Oklahoma State",3.79787681470582,13
"Old Dominion",-0.470763563338811,122
"Oregon",3.10442216106071,26
"Oregon State",0.519879922974991,102
"Penn State",4.47948026050462,4
"Pittsburgh",1.75688821551538,64
"Purdue",1.02390164108516,92
"Rice",-1.43778570349748,130
"Rutgers",2.07048788184499,59
"San Diego State",2.17265718127778,58
"San Jose State",-1.48040842817522,131
"South Alabama",0.438838442093177,107
"South Carolina",1.38590558880791,79
"South Florida",2.75950237593285,39
"Southern California",2.45982122451505,50
"Southern Methodist",3.77834467223119,14
"Southern Mississippi",-0.232030703406509,116
"Stanford",3.8308089121255,12
"Syracuse",1.66352750082014,68
"Temple",-0.124450328276053,112
"Tennessee",1.43804777489853,75
"Texas",2.540643165815,47
"Texas A&M",2.39252545329178,53
"Texas Christian",3.58265359391735,18
"Texas State",-0.972119241154247,128
"Texas Tech",3.67964525869244,17
"Texas-El Paso",-0.781767760352914,126
"Texas-San Antonio",0.627969987021295,101
"Toledo",3.7512960338181,16
"Troy",0.504396823244133,104
"Tulane",2.44569678340543,52
"Tulsa",2.8053262277363,37
"UCLA",2.72652176082999,41
"Utah",0.0827919772497985,109
"Utah State",0.904203332347481,96
"Vanderbilt",2.85585049504268,36
"Virginia",1.75393219048497,65
"Virginia Tech",2.60862082730306,45
"Wake Forest",3.43100893575489,20
"Washington",3.93740634197088,10
"Washington State",1.23885668675075,87
"West Virginia",4.04579878825089,9
"Western Kentucky",0.724973948614218,99
"Western Michigan",2.9512971274968,30
"Wisconsin",2.69846327440161,44
"Wyoming",0.468441495465405,106
