"Team","Value","Rank"
"Air Force",29.9166666666667,39
"Akron",20.4285714285714,108
"Alabama",35.7857142857143,13
"Alabama-Birmingham",26.2307692307692,64
"Appalachian State",32.8461538461538,23
"Arizona",39.9230769230769,7
"Arizona State",29.8461538461538,40
"Arkansas",25.25,75
"Arkansas State",35.1666666666667,14
"Army",28.8461538461538,46
"Auburn",32.1428571428571,27
"Ball State",14.9166666666667,124
"Baylor",22.1666666666667,101
"Boise State",28.5,47
"Boston College",23.8461538461538,88
"Bowling Green State",22.3333333333333,100
"Brigham Young",15.2307692307692,123
"Buffalo",28,49.5
"California",25.75,69.5
"Central Florida",45.3076923076923,1
"Central Michigan",25.0769230769231,77
"Charlotte",10.6666666666667,129
"Cincinnati",18.9166666666667,114
"Clemson",31.1428571428571,31
"Coastal Carolina",21.6666666666667,102
"Colorado",24.9166666666667,79
"Colorado State",32.4615384615385,25
"Connecticut",22.4166666666667,97.5
"Duke",24.0769230769231,86
"East Carolina",22.9166666666667,92.5
"Eastern Michigan",23.5833333333333,89
"Florida",18.2727272727273,118
"Florida Atlantic",40.1428571428571,6
"Florida International",24.5384615384615,80
"Florida State",25.3846153846154,74
"Fresno State",25,78
"Georgia",34.6,18
"Georgia Southern",18.6666666666667,115
"Georgia State",19.3333333333333,113
"Georgia Tech",27,61
"Hawaii",20.5833333333333,106.5
"Houston",26.0833333333333,66
"Idaho",20.9166666666667,105
"Illinois",12.9166666666667,127
"Indiana",25.6666666666667,71
"Iowa",25.7692307692308,68
"Iowa State",27.8461538461538,52
"Kansas",17.1666666666667,120
"Kansas State",30.9230769230769,33
"Kent State",10.0833333333333,130
"Kentucky",24.1538461538462,83.5
"Louisiana",27.1666666666667,59
"Louisiana State",27.2307692307692,57.5
"Louisiana Tech",27.2307692307692,57.5
"Louisiana-Monroe",32.25,26
"Louisville",34.8461538461538,16
"Marshall",24.2307692307692,82
"Maryland",20.0833333333333,110
"Massachusetts",28.9166666666667,45
"Memphis",44.1538461538462,2
"Miami (FL)",28.1538461538462,48
"Miami (OH)",22.4166666666667,97.5
"Michigan",22.7692307692308,94
"Michigan State",22.6923076923077,95
"Middle Tennessee State",23.5384615384615,90
"Minnesota",20.5833333333333,106.5
"Mississippi",30.6666666666667,35
"Mississippi State",28,49.5
"Missouri",36.1538461538462,11
"Navy",29.6923076923077,41.5
"Nebraska",22.5833333333333,96
"Nevada",26.6666666666667,62
"Nevada-Las Vegas",27.8333333333333,53
"New Mexico",19.6666666666667,112
"New Mexico State",27.9230769230769,51
"Non-Major",12.1632653061224,128
"North Carolina",24,87
"North Carolina State",30.8461538461538,34
"North Texas",33.7857142857143,20
"Northern Illinois",26.1538461538462,65
"Northwestern",27.3846153846154,55
"Notre Dame",32.6923076923077,24
"Ohio",36.9230769230769,9
"Ohio State",38.4285714285714,8
"Oklahoma",43.8571428571429,3
"Oklahoma State",41.3076923076923,4
"Old Dominion",20.1666666666667,109
"Oregon",33.6923076923077,21
"Oregon State",18.5,116
"Penn State",40.3076923076923,5
"Pittsburgh",22.9166666666667,92.5
"Purdue",24.3076923076923,81
"Rice",13.75,125
"Rutgers",17,121
"San Diego State",29.3846153846154,44
"San Jose State",13.0769230769231,126
"South Alabama",18.1666666666667,119
"South Carolina",22.3846153846154,99
"South Florida",36.75,10
"Southern California",30,38
"Southern Methodist",34.9230769230769,15
"Southern Mississippi",25.9230769230769,67
"Stanford",31.9285714285714,28
"Syracuse",25.75,69.5
"Temple",24.1538461538462,83.5
"Tennessee",18.3333333333333,117
"Texas",25.1538461538462,76
"Texas A&M",31.1538461538462,30
"Texas Christian",31.4285714285714,29
"Texas State",15.25,122
"Texas Tech",31.0769230769231,32
"Texas-El Paso",8.75,131
"Texas-San Antonio",21.3636363636364,104
"Toledo",35.9285714285714,12
"Troy",29.6923076923077,41.5
"Tulane",25.5,73
"Tulsa",27.3333333333333,56
"UCLA",30.1538461538462,37
"Utah",27.6923076923077,54
"Utah State",25.5384615384615,72
"Vanderbilt",24.0833333333333,85
"Virginia",20.0769230769231,111
"Virginia Tech",26.3076923076923,63
"Wake Forest",34.6923076923077,17
"Washington",33.9230769230769,19
"Washington State",27.0769230769231,60
"West Virginia",33.1538461538462,22
"Western Kentucky",23.1538461538462,91
"Western Michigan",30.4166666666667,36
"Wisconsin",29.6428571428571,43
"Wyoming",21.4615384615385,103
