"Team","Value","Rank"
"Air Force",30.5356675748664,41
"Akron",16.8854400625788,113
"Alabama",37.7505427909822,12
"Alabama-Birmingham",20.9546885308709,96
"Appalachian State",24.5377629474362,77
"Arizona",39.5060225550839,5
"Arizona State",30.8535550959177,38
"Arkansas",27.181052146274,58
"Arkansas State",26.7904101003667,63
"Army",27.5146279729317,55
"Auburn",33.6717260920225,18
"Ball State",12.7840142366317,125
"Baylor",26.2772556118146,64
"Boise State",28.512949111989,51
"Boston College",28.3015279243816,52
"Bowling Green State",21.4593634479516,93
"Brigham Young",13.5192592352823,122
"Buffalo",24.7374431874361,74
"California",23.8661192880265,80
"Central Florida",39.3285790849347,6
"Central Michigan",21.3409922808036,94
"Charlotte",8.46553606770716,130
"Cincinnati",17.1609132956439,112
"Clemson",36.5543312191571,14
"Coastal Carolina",16.5112619495585,114
"Colorado",23.836666374807,81
"Colorado State",29.5996925749517,45
"Connecticut",18.7998058992233,107
"Duke",27.2240724581762,57
"East Carolina",22.6665473448249,86
"Eastern Michigan",20.7269373266087,100
"Florida",20.9196976501903,97
"Florida Atlantic",36.1003691271929,15
"Florida International",20.9774788416494,95
"Florida State",29.2991669535309,46
"Fresno State",24.7442394406252,73
"Georgia",38.5247599328335,9
"Georgia Southern",14.9651099655332,118
"Georgia State",13.9430207882616,120
"Georgia Tech",32.4158202679064,24
"Hawaii",17.4858960761324,111
"Houston",20.8747743330726,98
"Idaho",13.0077676361083,124
"Illinois",16.1902107897764,115
"Indiana",31.3720466706224,35
"Iowa",31.7564071310319,33
"Iowa State",29.0940898716244,49
"Kansas",20.6287031199097,102
"Kansas State",30.2405771986496,44
"Kent State",8.93462167985837,129
"Kentucky",25.3218523073799,69
"Louisiana",20.7765867115088,99
"Louisiana State",29.2911228572648,47
"Louisiana Tech",22.9510035882169,85
"Louisiana-Monroe",30.5694967067889,40
"Louisville",37.4017634314111,13
"Marshall",21.9933583040476,91
"Maryland",27.3969000034036,56
"Massachusetts",25.3705695292101,68
"Memphis",38.2318801400204,10
"Miami (FL)",31.2270096887771,36
"Miami (OH)",18.7215209097208,108
"Michigan",28.950427603101,50
"Michigan State",26.150799486472,65
"Middle Tennessee State",20.6894163208931,101
"Minnesota",24.6491457856747,76
"Mississippi",31.7597921093384,32
"Mississippi State",29.0977272654845,48
"Missouri",38.5465516586719,8
"Navy",28.2958132993944,53
"Nebraska",30.4439369120337,42
"Nevada",23.6844894290094,82
"Nevada-Las Vegas",24.5227927899142,78
"New Mexico",17.4933969463974,110
"New Mexico State",23.0101151142664,84
"Non-Major",12.5661584945919,126
"North Carolina",27.0469952892921,60
"North Carolina State",34.1026398948819,17
"North Texas",31.8467488286473,30
"Northern Illinois",23.468330140498,83
"Northwestern",30.3951561784075,43
"Notre Dame",37.7515951559438,11
"Ohio",33.2824988833187,23
"Ohio State",42.4613626802519,4
"Oklahoma",48.6002792392956,1
"Oklahoma State",43.8767191043096,3
"Old Dominion",16.089647106275,116
"Oregon",33.5136562159095,19
"Oregon State",19.7186390019592,106
"Penn State",44.3474753829933,2
"Pittsburgh",24.994450312374,72
"Purdue",27.0441283403709,62
"Rice",13.9114564837801,121
"Rutgers",22.3209997834463,89
"San Diego State",25.2628569258969,70
"San Jose State",13.4629776137145,123
"South Alabama",11.3000988465024,128
"South Carolina",21.845810544703,92
"South Florida",31.0840578020418,37
"Southern California",31.8827413750886,28
"Southern Methodist",32.016559118427,27
"Southern Mississippi",22.5889699393441,87
"Stanford",33.4414784241965,21
"Syracuse",30.7565066915934,39
"Temple",20.3299852847089,103
"Tennessee",19.8378867090564,105
"Texas",25.2443723614838,71
"Texas A&M",31.688676191155,34
"Texas Christian",31.8796417421624,29
"Texas State",11.8167188625695,127
"Texas Tech",31.8463391093595,31
"Texas-El Paso",6.26729030950432,131
"Texas-San Antonio",14.2898189235201,119
"Toledo",32.1207144114668,26
"Troy",24.0599171081303,79
"Tulane",20.0845495006169,104
"Tulsa",24.7150253884945,75
"UCLA",32.1455586755871,25
"Utah",26.0369060140593,66
"Utah State",22.0590636102848,90
"Vanderbilt",26.0286559739294,67
"Virginia",22.5126727499669,88
"Virginia Tech",27.1301522015872,59
"Wake Forest",38.5907875196106,7
"Washington",33.5132915002559,20
"Washington State",27.0441811860897,61
"West Virginia",35.329553694009,16
"Western Kentucky",18.3707542433329,109
"Western Michigan",27.8954824129381,54
"Wisconsin",33.4028571292799,22
"Wyoming",15.5937797452018,117
