"Team","Value","Rank"
"Air Force",27.6611648037959,69
"Akron",27.1368040659837,64
"Alabama",12.4835856262642,5
"Alabama-Birmingham",20.8923364077509,28
"Appalachian State",20.0303234827159,26
"Arizona",27.9844825811394,71
"Arizona State",26.1479912813377,58
"Arkansas",31.4942428453988,90
"Arkansas State",32.3547989751373,96
"Army",17.54364094058,14
"Auburn",15.955784738615,12
"Ball State",33.3811938674504,103
"Baylor",33.1159186318301,101
"Boise State",29.6028688223528,81
"Boston College",25.0561180011436,52
"Bowling Green State",43.5627432509206,127
"Brigham Young",22.9104670110435,42
"Buffalo",24.5107523031045,50
"California",20.0254603665796,25
"Central Florida",22.4493078232917,37
"Central Michigan",29.3203494256796,79
"Charlotte",30.665423506433,86
"Cincinnati",18.4448922011172,21
"Clemson",12.0907225943672,4
"Coastal Carolina",34.8586229285226,109
"Colorado",23.8626818888926,46
"Colorado State",40.2650589528771,124
"Connecticut",45.1682853446356,131
"Duke",22.700834910426,41
"East Carolina",30.3671078247145,84
"Eastern Michigan",26.6585643309148,60
"Florida",17.8702093995286,15
"Florida Atlantic",35.0183967927028,110
"Florida International",26.9630116431612,62
"Florida State",27.7072015163412,70
"Fresno State",15.7160974655765,11
"Georgia",14.3589753292669,7
"Georgia Southern",21.8919574259102,32
"Georgia State",37.4203199446538,113
"Georgia Tech",28.5443749483802,76
"Hawaii",39.6886400657345,122
"Houston",35.0394720990598,111
"Illinois",38.7370439734251,118
"Indiana",28.3019119162207,74
"Iowa",15.403688510121,9
"Iowa State",14.4791227770997,8
"Kansas",28.3465122580286,75
"Kansas State",23.9757935175056,47
"Kent State",34.7700665489778,108
"Kentucky",10.8010934913058,1
"Liberty",38.6925774024352,117
"Louisiana",37.5386590260516,114
"Louisiana State",11.579103301939,2
"Louisiana Tech",27.1797135337754,65
"Louisiana-Monroe",38.5173259111316,116
"Louisville",34.3838212758184,106
"Marshall",27.2904482988223,67
"Maryland",23.4325791290372,43
"Massachusetts",40.25026617528,123
"Memphis",32.1072913734222,94
"Miami (FL)",18.3306784439208,20
"Miami (OH)",27.0142002598683,63
"Michigan",11.7921264527059,3
"Michigan State",15.6872088128533,10
"Middle Tennessee State",29.6545942601297,82
"Minnesota",25.8684585490608,56
"Mississippi",32.8637204054344,99
"Mississippi State",12.6786311886649,6
"Missouri",24.4714821742865,49
"Navy",32.8832242559136,100
"Nebraska",32.2544703911468,95
"Nevada",29.2614720738233,78
"Nevada-Las Vegas",42.7301759328319,126
"New Mexico",34.6112821006895,107
"New Mexico State",44.8675313116115,129
"Non-Major",44.9311820741926,130
"North Carolina",30.9926297185716,88
"North Carolina State",23.7147478544504,44
"North Texas",25.1503010220168,53
"Northern Illinois",22.0263474402029,34
"Northwestern",20.9811808642812,30
"Notre Dame",19.8128753904364,24
"Ohio",33.9176882517793,104
"Ohio State",21.9265755405347,33
"Oklahoma",26.2020129851657,59
"Oklahoma State",29.8296171980926,83
"Old Dominion",44.0067770821951,128
"Oregon",31.6747798329157,91
"Oregon State",42.4751941515896,125
"Penn State",19.7593319854203,23
"Pittsburgh",28.1323775426081,72
"Purdue",18.5577688157102,22
"Rice",38.7627625247437,119
"Rutgers",31.836176085237,92
"San Diego State",21.1468553212429,31
"San Jose State",37.6001882413874,115
"South Alabama",39.3105277901982,120
"South Carolina",20.9537056380872,29
"South Florida",33.3503832251447,102
"Southern California",26.6676041281795,61
"Southern Methodist",32.1035874753286,93
"Southern Mississippi",25.2520637921531,54
"Stanford",22.6203004031818,38
"Syracuse",29.5865768975871,80
"Temple",24.2312654958086,48
"Tennessee",25.6163287017969,55
"Texas",22.6577899475966,39
"Texas A&M",17.8899152648494,17
"Texas Christian",18.2667968339864,18
"Texas State",30.9654120244549,87
"Texas Tech",22.6737046197685,40
"Texas-El Paso",32.7866226643993,97
"Texas-San Antonio",35.6547365058817,112
"Toledo",32.7888302842953,98
"Troy",24.5644886443699,51
"Tulane",27.4567068266357,68
"Tulsa",25.8929559950175,57
"UCLA",30.4011971267228,85
"Utah",17.8855201815504,16
"Utah State",27.2359076488341,66
"Vanderbilt",23.8202534782888,45
"Virginia",18.2926937703035,19
"Virginia Tech",28.1973611564233,73
"Wake Forest",39.5777347082103,121
"Washington",16.5705995009608,13
"Washington State",28.9375345162742,77
"West Virginia",20.3451075423657,27
"Western Kentucky",34.3027152945205,105
"Western Michigan",31.2406894736478,89
"Wisconsin",22.2135624415649,36
"Wyoming",22.1098954935831,35
