"Team","Value","Rank"
"Air Force",27.6627684745617,69
"Akron",27.1385886937178,64
"Alabama",12.4830166576609,5
"Alabama-Birmingham",20.9078494447281,28
"Appalachian State",20.033988692865,26
"Arizona",27.9868903091264,71
"Arizona State",26.1541739737966,58
"Arkansas",31.5021545150595,90
"Arkansas State",32.3526435625547,96
"Army",17.5446625350907,14
"Auburn",15.956550181354,12
"Ball State",33.3821218820782,103
"Baylor",33.1238534410879,101
"Boise State",29.603244403144,81
"Boston College",25.0563227034592,52
"Bowling Green State",43.5638691597631,127
"Brigham Young",22.9121619096467,42
"Buffalo",24.5113713188481,50
"California",20.0275438185273,25
"Central Florida",22.4504047737491,37
"Central Michigan",29.3213216072608,79
"Charlotte",30.667081211816,86
"Cincinnati",18.4470761676656,21
"Clemson",12.0911275227008,4
"Coastal Carolina",34.8273952417209,109
"Colorado",23.8644284458552,46
"Colorado State",40.2653066273512,124
"Connecticut",45.16810496035,131
"Duke",22.7035569055256,41
"East Carolina",30.3690642580704,84
"Eastern Michigan",26.6598292034933,60
"Florida",17.8713955533507,16
"Florida Atlantic",35.0215635009982,110
"Florida International",26.9688368422259,62
"Florida State",27.708278163181,70
"Fresno State",15.7178401649262,11
"Georgia",14.3598067697342,7
"Georgia Southern",21.8902412623975,32
"Georgia State",37.3894102204793,113
"Georgia Tech",28.5454639184616,76
"Hawaii",39.6939308266084,122
"Houston",35.0394648762031,111
"Illinois",38.7370515891279,118
"Indiana",28.3023139985575,74
"Iowa",15.4058346095184,9
"Iowa State",14.4727971316155,8
"Kansas",28.3422329196323,75
"Kansas State",23.9819676472717,47
"Kent State",34.7716917145582,108
"Kentucky",10.800526047237,1
"Liberty",38.6984062342026,117
"Louisiana",37.5367165587087,114
"Louisiana State",11.5846866876743,2
"Louisiana Tech",27.1898937100155,65
"Louisiana-Monroe",38.5164180512874,116
"Louisville",34.3841771628628,106
"Marshall",27.2924262872835,67
"Maryland",23.4324445293321,43
"Massachusetts",40.255321660645,123
"Memphis",32.1068658937904,93
"Miami (FL)",18.3321970138407,20
"Miami (OH)",27.0144956513667,63
"Michigan",11.7917637111668,3
"Michigan State",15.6879325048332,10
"Middle Tennessee State",29.6627052854086,82
"Minnesota",25.8681145924784,56
"Mississippi",32.83169586701,99
"Mississippi State",12.6829893904514,6
"Missouri",24.4690832065429,49
"Navy",32.8842096188066,100
"Nebraska",32.2545078393248,95
"Nevada",29.2627242056717,78
"Nevada-Las Vegas",42.7319423585428,126
"New Mexico",34.6125466336487,107
"New Mexico State",44.8674823782363,129
"Non-Major",44.9314081249115,130
"North Carolina",30.9942970269371,88
"North Carolina State",23.7144432761119,44
"North Texas",25.1554091859604,53
"Northern Illinois",22.0276178278694,34
"Northwestern",20.9804949694825,30
"Notre Dame",19.814206619597,24
"Ohio",33.9181090747055,104
"Ohio State",21.926940964145,33
"Oklahoma",26.2066568864125,59
"Oklahoma State",29.8262005697988,83
"Old Dominion",44.0131557040049,128
"Oregon",31.6764891969928,91
"Oregon State",42.4771156080488,125
"Penn State",19.7588803932433,23
"Pittsburgh",28.1338381151912,72
"Purdue",18.5575078797056,22
"Rice",38.7731350382606,119
"Rutgers",31.8375095605523,92
"San Diego State",21.1479659504947,31
"San Jose State",37.6024773357346,115
"South Alabama",39.3101278507843,120
"South Carolina",20.9540536772164,29
"South Florida",33.3515089086303,102
"Southern California",26.6696607519945,61
"Southern Methodist",32.109984105948,94
"Southern Mississippi",25.5139360318981,54
"Stanford",22.6224544220614,38
"Syracuse",29.5862193598089,80
"Temple",24.2328325540477,48
"Tennessee",25.6199418731682,55
"Texas",22.6608839549695,39
"Texas A&M",17.8581023302522,15
"Texas Christian",18.2639245993521,18
"Texas State",30.9399101926791,87
"Texas Tech",22.6768842895359,40
"Texas-El Paso",32.7983821344873,98
"Texas-San Antonio",35.6638395966852,112
"Toledo",32.7896611787339,97
"Troy",24.5332412928637,51
"Tulane",27.4575333887082,68
"Tulsa",25.8933464503308,57
"UCLA",30.4027702945856,85
"Utah",17.8877774884315,17
"Utah State",27.2372500618865,66
"Vanderbilt",23.8193633875922,45
"Virginia",18.2938646501815,19
"Virginia Tech",28.1997032394942,73
"Wake Forest",39.5830956044766,121
"Washington",16.5763981092157,13
"Washington State",28.9397564516806,77
"West Virginia",20.3977382191714,27
"Western Kentucky",34.3101538099171,105
"Western Michigan",31.2408039314603,89
"Wisconsin",22.213712355547,36
"Wyoming",22.1108402307549,35
