"Team","Value","Rank"
"Air Force",22.6640971083665,46
"Akron",24.3938753212226,58
"Alabama",9.29167687302656,1
"Alabama-Birmingham",19.7688603855339,29
"Appalachian State",16.5480888003943,19
"Arizona",29.6508361836012,89
"Arizona State",23.9351837389353,53
"Arkansas",28.4640758935991,82
"Arkansas State",28.9942954856446,84
"Army",15.7265919499737,14
"Auburn",13.8978421181042,9
"Ball State",31.6088694095278,95
"Baylor",31.3285469803414,94
"Boise State",24.5837545951011,60
"Boston College",25.8252444535738,68
"Bowling Green State",44.3054601471803,128
"Brigham Young",23.2639763688054,48
"Buffalo",24.6410161526211,61
"California",20.2950533288084,33
"Central Florida",21.3452790527031,40
"Central Michigan",28.4333066529281,81
"Charlotte",29.2139727645754,85
"Cincinnati",17.5604934997198,22
"Clemson",12.0709491758297,6
"Coastal Carolina",33.7130836952023,104
"Colorado",19.7234121350226,28
"Colorado State",38.202634861454,120
"Connecticut",48.7010501545823,131
"Duke",17.8914092647519,23
"East Carolina",30.8899346998088,92
"Eastern Michigan",24.2514046140867,56
"Florida",15.5883082917053,13
"Florida Atlantic",36.2210479367634,114
"Florida International",25.4297055384029,64
"Florida State",24.3874017950885,57
"Fresno State",11.7955031989362,5
"Georgia",12.1638415002387,7
"Georgia Southern",23.735837425976,52
"Georgia State",36.9714910879508,116
"Georgia Tech",27.687988502414,75
"Hawaii",40.073325548202,123
"Houston",33.9177191935159,106
"Illinois",35.0652167676785,112
"Indiana",25.7276677284804,65
"Iowa",15.5115523446229,12
"Iowa State",13.9463414091681,10
"Kansas",25.7832728549182,66
"Kansas State",23.1369259274322,47
"Kent State",34.6233040578088,110
"Kentucky",10.048033447451,4
"Liberty",38.4404688393841,121
"Louisiana",35.5905390476607,113
"Louisiana State",9.94316489953182,3
"Louisiana Tech",27.9130937662064,77
"Louisiana-Monroe",38.0771201407703,119
"Louisville",31.9676754248025,97
"Marshall",26.2253222632619,72
"Maryland",19.2340480492275,27
"Massachusetts",41.246595131174,124
"Memphis",31.1337550785284,93
"Miami (FL)",15.9751251954828,16
"Miami (OH)",26.3898796839341,73
"Michigan",9.82674574098457,2
"Michigan State",15.9264692300376,15
"Middle Tennessee State",29.5272214869191,87
"Minnesota",25.235248397144,62
"Mississippi",30.8761496942,91
"Mississippi State",12.640998591202,8
"Missouri",24.2470726802176,55
"Navy",33.0746463769928,102
"Nebraska",33.4750489735135,103
"Nevada",28.2063829779191,79
"Nevada-Las Vegas",41.7575861845794,125
"New Mexico",32.1163003536804,99
"New Mexico State",43.657281577758,126
"Non-Major",44.6822385286727,129
"North Carolina",32.6807393380821,101
"North Carolina State",20.6183973155306,35
"North Texas",22.4781481257525,45
"Northern Illinois",23.4505968715651,50
"Northwestern",20.6621153797864,36
"Notre Dame",18.4643066711493,24
"Ohio",34.8995146140702,111
"Ohio State",20.0556245393426,31
"Oklahoma",26.1050568702025,71
"Oklahoma State",29.2364361682035,86
"Old Dominion",43.8482203605612,127
"Oregon",27.9424925775616,78
"Oregon State",45.5764923392546,130
"Penn State",20.8730556870027,38
"Pittsburgh",25.846934617829,69
"Purdue",17.1252504761221,20
"Rice",39.4727380560603,122
"Rutgers",31.7864408362945,96
"San Diego State",21.5453476446657,43
"San Jose State",36.7857778962638,115
"South Alabama",37.6148454183333,117
"South Carolina",18.6046025771478,25
"South Florida",31.9727197141241,98
"Southern California",23.3151182037693,49
"Southern Methodist",33.9928316351424,107
"Southern Mississippi",24.5761718479841,59
"Stanford",20.2291276557168,32
"Syracuse",28.3467879055722,80
"Temple",21.1963299868588,39
"Tennessee",23.4703259767376,51
"Texas",21.6918452281696,44
"Texas A&M",16.0782796326141,17
"Texas Christian",13.9725329102903,11
"Texas State",30.871432413569,90
"Texas Tech",21.5418273767771,42
"Texas-El Paso",33.7140879271501,105
"Texas-San Antonio",34.0368751297916,108
"Toledo",34.3827783805465,109
"Troy",24.1009067596484,54
"Tulane",26.954985122131,74
"Tulsa",25.3953323390786,63
"UCLA",27.7429472650533,76
"Utah",17.3016037836443,21
"Utah State",26.0696959369194,70
"Vanderbilt",21.4733368940184,41
"Virginia",18.6468468491523,26
"Virginia Tech",25.8175254162198,67
"Wake Forest",37.9011375800881,118
"Washington",16.4483151424063,18
"Washington State",28.6623879776842,83
"West Virginia",19.873735838664,30
"Western Kentucky",32.1791509912999,100
"Western Michigan",29.5275779535061,88
"Wisconsin",20.4996663506941,34
"Wyoming",20.7840200202745,37
