"Team","Value","Rank"
"Air Force",2.98405148680966,87
"Akron",1.82914147044936,117
"Alabama",6.34549274619678,2
"Alabama-Birmingham",3.00267974596552,83
"Appalachian State",4.46179256301536,19
"Arizona",3.03141617123466,80
"Arizona State",3.7905311794054,43
"Arkansas",2.854477900098,90
"Arkansas State",2.99475591949696,86
"Army",3.60582913664035,52
"Auburn",3.54707502151758,55
"Ball State",2.4015576590949,104
"Baylor",3.511470519627,57
"Boise State",4.53976202032236,16
"Boston College",4.53422273117555,17
"Bowling Green State",2.59456199588476,100
"Brigham Young",2.67903124861426,96
"Buffalo",4.18471052892241,26
"California",1.43605186209278,121
"Central Florida",4.22275564550503,25
"Central Michigan",1.69164937787398,119
"Charlotte",1.38673709994245,122
"Cincinnati",3.62204414518128,50
"Clemson",5.44985399368587,4
"Coastal Carolina",3.2260309140753,70
"Colorado",2.82772724356193,93
"Colorado State",2.56420825456416,102
"Connecticut",2.3796828538088,106
"Duke",3.91544812206278,39
"East Carolina",0.877811436206321,129
"Eastern Michigan",3.5959118531782,53
"Florida",4.27257491348406,23
"Florida Atlantic",3.18343378188897,71
"Florida International",3.33907830220347,66
"Florida State",2.52778483934738,103
"Fresno State",4.02585837323344,34
"Georgia",5.18869758497398,7
"Georgia Southern",3.03966898913405,79
"Georgia State",2.21463470551855,110
"Georgia Tech",4.31836782141991,22
"Hawaii",3.6578108141369,48
"Houston",5.89507608690058,3
"Illinois",2.63716445298203,98
"Indiana",3.60655324339434,51
"Iowa",3.52981167119919,56
"Iowa State",3.22793352636492,69
"Kansas",2.57432446508671,101
"Kansas State",2.3192345551274,108
"Kent State",2.00185957289246,115
"Kentucky",3.75994574648972,45
"Liberty",3.90552012901348,40
"Louisiana",4.51706786380185,18
"Louisiana State",3.78543386149018,44
"Louisiana Tech",2.87372383935762,89
"Louisiana-Monroe",2.39134329636088,105
"Louisville",2.17666214212708,112
"Marshall",2.37413800071036,107
"Maryland",3.63737282278588,49
"Massachusetts",2.83564756879819,92
"Memphis",4.1772222424557,27
"Miami (FL)",3.92381218985717,38
"Miami (OH)",3.10407574656038,77
"Michigan",4.57346352043959,15
"Michigan State",3.1761556529317,72
"Middle Tennessee State",2.85168122805498,91
"Minnesota",3.4804464700208,60
"Mississippi",4.40003217390625,20
"Mississippi State",4.16491211903237,28
"Missouri",4.66736601808919,14
"Navy",3.03131905612557,81
"Nebraska",4.25143730074719,24
"Nevada",3.1604163370964,74
"Nevada-Las Vegas",3.6873258026335,47
"New Mexico",2.99938329335595,85
"New Mexico State",2.2020175545902,111
"Non-Major",1.76695211280378,118
"North Carolina",2.29359146562915,109
"North Carolina State",3.2604106922409,68
"North Texas",3.73148582716841,46
"Northern Illinois",2.12801881823565,113
"Northwestern",3.45520486254686,61
"Notre Dame",4.07204407772556,32
"Ohio",4.09306382736665,30
"Ohio State",5.20395086903363,6
"Oklahoma",6.83365492034257,1
"Oklahoma State",4.76338014599763,13
"Old Dominion",2.64855123157937,97
"Oregon",4.03947625620153,33
"Oregon State",3.31316687520254,67
"Penn State",5.35312738841704,5
"Pittsburgh",3.39354345026273,63
"Purdue",4.08880304400268,31
"Rice",1.14112898969345,127
"Rutgers",1.14830722698624,126
"San Diego State",1.84893989196196,116
"San Jose State",1.59823669506308,120
"South Alabama",2.62597689298421,99
"South Carolina",3.93707639824135,37
"South Florida",3.07653609968211,78
"Southern California",3.12766978341169,75
"Southern Methodist",3.02946717095826,82
"Southern Mississippi",2.11031349357795,114
"Stanford",3.00192974660682,84
"Syracuse",4.32688786097754,21
"Temple",3.17240714194917,73
"Tennessee",3.79960070948993,42
"Texas",3.98813596512273,36
"Texas A&M",3.86112096956536,41
"Texas Christian",3.11920975051789,76
"Texas State",0.75803866411092,131
"Texas Tech",4.96634222438515,9
"Texas-El Paso",0.83230553366199,130
"Texas-San Antonio",1.04380831319138,128
"Toledo",4.84277648971795,12
"Troy",2.68478523931792,95
"Tulane",2.686919988937,94
"Tulsa",1.30413421333616,124
"UCLA",3.36191503644695,64
"Utah",3.48852873838006,59
"Utah State",4.90138982528133,10
"Vanderbilt",3.57952968228943,54
"Virginia",2.95784548768414,88
"Virginia Tech",3.35769434516302,65
"Wake Forest",3.5002644590347,58
"Washington",3.41917654921735,62
"Washington State",5.08209093695783,8
"West Virginia",4.89279406371198,11
"Western Kentucky",1.35909383791903,123
"Western Michigan",4.00990989199311,35
"Wisconsin",4.10979657760085,29
"Wyoming",1.17367521163875,125
