"Team","Value","Rank"
"Air Force",23.4705786180715,94
"Akron",18.6399409380999,115
"Alabama",48.3253969076175,2
"Alabama-Birmingham",24.3479220982187,90
"Appalachian State",34.8620800052246,20
"Arizona",25.0724562156888,85
"Arizona State",29.861191394211,48
"Arkansas",25.9260579494713,76
"Arkansas State",24.7069440448535,87
"Army",28.6081886630222,58
"Auburn",29.4391420307119,52
"Ball State",20.6245869155663,106
"Baylor",30.0950927656633,46
"Boise State",35.6606262384417,18
"Boston College",33.1100138936991,28
"Bowling Green State",21.3787984515444,101
"Brigham Young",21.5226742342209,100
"Buffalo",31.0159873954723,38
"California",18.7396304994809,114
"Central Florida",34.5630109312591,22
"Central Michigan",16.5112443473624,120
"Charlotte",15.9421646780062,123
"Cincinnati",27.7584668606234,64
"Clemson",41.5913776470669,5
"Coastal Carolina",26.4925874739908,73
"Colorado",25.3128557903398,84
"Colorado State",19.7259137827242,110
"Connecticut",17.2314929092594,119
"Duke",30.6044977422341,43
"East Carolina",14.7215930792363,124
"Eastern Michigan",28.9169842517884,56
"Florida",35.5206896764245,19
"Florida Atlantic",24.7749388756379,86
"Florida International",27.664586027722,65
"Florida State",20.9666439252821,105
"Fresno State",30.7392192622958,40
"Georgia",39.5399106126852,11
"Georgia Southern",24.3821014456277,89
"Georgia State",19.2856955789489,111
"Georgia Tech",33.1531607295713,27
"Hawaii",30.6484400799361,41
"Houston",43.5911135957281,3
"Illinois",24.420636703055,88
"Indiana",30.2827382387656,45
"Iowa",29.4806349600224,50
"Iowa State",29.5587961701329,49
"Kansas",22.281982431915,99
"Kansas State",21.055322489899,104
"Kent State",18.3188353570503,116
"Kentucky",27.2402309186753,67
"Liberty",27.2991573958227,66
"Louisiana",32.4255780318632,32
"Louisiana State",33.5412641178547,24
"Louisiana Tech",24.1210801476093,91
"Louisiana-Monroe",19.9432653326659,108
"Louisville",20.3254252646098,107
"Marshall",21.1609559040508,103
"Maryland",30.6408564581059,42
"Massachusetts",25.3974940428442,83
"Memphis",34.595817469897,21
"Miami (FL)",32.2381717024723,33
"Miami (OH)",25.46462106717,81
"Michigan",35.8914277518358,17
"Michigan State",26.9701259503483,70
"Middle Tennessee State",23.0296724418619,97
"Minnesota",28.1175651836077,61
"Mississippi",37.2617515487427,15
"Mississippi State",31.6644793973742,35
"Missouri",39.8192597688938,10
"Navy",23.5800831439933,93
"Nebraska",32.7607657827754,30
"Nevada",26.9813218273291,69
"Nevada-Las Vegas",25.8407451537314,78
"New Mexico",23.329969313754,96
"New Mexico State",19.8532607167893,109
"Non-Major",16.2323641451712,122
"North Carolina",26.324474384465,75
"North Carolina State",29.0144633379065,55
"North Texas",31.3964326880948,36
"Northern Illinois",19.0133968306344,113
"Northwestern",28.7098280021688,57
"Notre Dame",32.6368045239315,31
"Ohio",33.56959482516,23
"Ohio State",41.1220828615467,7
"Oklahoma",51.3800439360268,1
"Oklahoma State",37.0203672890931,16
"Old Dominion",23.4698314007976,95
"Oregon",30.953135632293,39
"Oregon State",29.1871664429619,53
"Penn State",42.4835474581905,4
"Pittsburgh",26.7600577805842,72
"Purdue",33.5106164880492,25
"Rice",13.4700711631514,125
"Rutgers",13.331950997987,127
"San Diego State",17.6717304952493,117
"San Jose State",17.5372845366347,118
"South Alabama",22.3843407636917,98
"South Carolina",32.8907853863726,29
"South Florida",25.7856819368774,79
"Southern California",26.468529391708,74
"Southern Methodist",29.0250217970761,54
"Southern Mississippi",19.1616840947716,112
"Stanford",25.4566541583563,82
"Syracuse",40.2349674842704,8
"Temple",25.6673455260923,80
"Tennessee",28.1913713646256,60
"Texas",31.1842871967705,37
"Texas A&M",33.4082068200388,26
"Texas Christian",26.9869570315011,68
"Texas State",11.1283269670316,130
"Texas Tech",40.0143265926829,9
"Texas-El Paso",9.44405079707613,131
"Texas-San Antonio",13.2985542370336,128
"Toledo",38.5806745721099,12
"Troy",23.7483520752293,92
"Tulane",21.3372695113619,102
"Tulsa",16.3823587971869,121
"UCLA",26.7707286027497,71
"Utah",30.0544330119519,47
"Utah State",41.5435835565474,6
"Vanderbilt",27.8360702678736,63
"Virginia",25.867831185543,77
"Virginia Tech",28.5415093113372,59
"Wake Forest",29.4570232236626,51
"Washington",28.0251651497696,62
"Washington State",37.4512559199861,14
"West Virginia",37.6103106327783,13
"Western Kentucky",13.4674114596039,126
"Western Michigan",30.4783584295225,44
"Wisconsin",31.7330751743808,34
"Wyoming",11.1848684171975,129
