"Team","Value","Rank"
"Air Force",24.2945716463921,89
"Akron",18.8342043145543,113
"Alabama",47.9892373355104,2
"Alabama-Birmingham",24.5684627727829,88
"Appalachian State",35.0799437960644,19
"Arizona",25.3440699540687,86
"Arizona State",30.1641767511538,46
"Arkansas",26.0085108158114,76
"Arkansas State",24.9491832444438,87
"Army",28.2737073880637,60
"Auburn",29.6131223961726,50
"Ball State",20.8771871160242,106
"Baylor",30.5793176474508,41
"Boise State",35.8900121011143,18
"Boston College",32.6728112671256,30
"Bowling Green State",21.3010980391318,101
"Brigham Young",21.5782724190663,99
"Buffalo",30.1680231353984,45
"California",18.6336977628423,114
"Central Florida",33.6363424843966,23
"Central Michigan",16.4305844787291,120
"Charlotte",16.0102670518618,123
"Cincinnati",28.0868390592192,62
"Clemson",41.4728779239737,5
"Coastal Carolina",27.259275593622,69
"Colorado",25.4466341656617,83
"Colorado State",20.2738258060493,110
"Connecticut",17.309833811691,119
"Duke",30.7452292625147,39
"East Carolina",15.8391181623533,124
"Eastern Michigan",28.608057920382,57
"Florida",34.996749007414,20
"Florida Atlantic",25.3467882981849,85
"Florida International",27.5640950997814,65
"Florida State",21.2491027313207,102
"Fresno State",29.9748376374941,47
"Georgia",39.5970508412725,11
"Georgia Southern",23.0147968179996,96
"Georgia State",19.5719029262568,111
"Georgia Tech",32.6912625547705,29
"Hawaii",31.2638746207816,36
"Houston",43.7351548365314,3
"Illinois",23.9977423694849,91
"Indiana",29.4331131053137,52
"Iowa",29.1034079258117,55
"Iowa State",29.5189720127105,51
"Kansas",21.5574027940731,100
"Kansas State",20.9533200544511,105
"Kent State",17.7595174425908,117
"Kentucky",27.3259023009677,68
"Liberty",27.388926245911,67
"Louisiana",32.9464958548883,26
"Louisiana State",32.565928869647,31
"Louisiana Tech",23.8404635017014,92
"Louisiana-Monroe",20.4853955898358,108
"Louisville",21.0123542875882,104
"Marshall",20.8184599729107,107
"Maryland",30.2799952567393,42
"Massachusetts",25.5536360104063,82
"Memphis",34.7786354893154,21
"Miami (FL)",31.7125230918008,34
"Miami (OH)",25.6714665202752,79
"Michigan",36.2549672398909,17
"Michigan State",26.4182909593969,74
"Middle Tennessee State",23.2931682074717,95
"Minnesota",27.7433075897685,63
"Mississippi",37.478839139687,14
"Mississippi State",31.7677408693434,33
"Missouri",40.1808789770202,8
"Navy",22.56476548533,97
"Nebraska",32.8844977298174,28
"Nevada",26.5826409758504,71
"Nevada-Las Vegas",25.9124615907883,77
"New Mexico",23.4244409406841,94
"New Mexico State",20.3210613408582,109
"Non-Major",16.3786245412779,121
"North Carolina",26.4417460395638,73
"North Carolina State",29.1673113068712,53
"North Texas",31.4728383711611,35
"Northern Illinois",18.5766019394178,115
"Northwestern",29.1312520853239,54
"Notre Dame",32.2735619186834,32
"Ohio",32.8903888530407,27
"Ohio State",41.3201940664928,6
"Oklahoma",51.6740809975548,1
"Oklahoma State",37.434322842697,15
"Old Dominion",24.075606606871,90
"Oregon",31.1701070352474,37
"Oregon State",29.7046148773876,49
"Penn State",42.3560181472686,4
"Pittsburgh",26.3409766893448,75
"Purdue",33.5507074932093,24
"Rice",13.8459783454529,126
"Rutgers",13.2637061753171,127
"San Diego State",18.0116332975168,116
"San Jose State",17.5460993848091,118
"South Alabama",22.2383368563742,98
"South Carolina",33.2328075578876,25
"South Florida",25.7128263233481,78
"Southern California",27.150457466949,70
"Southern Methodist",28.3826374626068,59
"Southern Mississippi",19.2890337038172,112
"Stanford",25.5953481162365,80
"Syracuse",39.8623690285481,10
"Temple",25.5809677329491,81
"Tennessee",28.7872015906138,56
"Texas",31.1683711085392,38
"Texas A&M",34.4944932723063,22
"Texas Christian",27.5344721992128,66
"Texas State",11.0603523209832,130
"Texas Tech",40.1722885164326,9
"Texas-El Paso",10.0173173500822,131
"Texas-San Antonio",12.9428401071412,128
"Toledo",38.7524827285784,12
"Troy",23.502203575652,93
"Tulane",21.1298227939158,103
"Tulsa",16.1473041811519,122
"UCLA",26.4802294420437,72
"Utah",29.9370398287603,48
"Utah State",41.2142613188571,7
"Vanderbilt",27.7379635465114,64
"Virginia",25.4363531367982,84
"Virginia Tech",28.4972681203454,58
"Wake Forest",30.2386809483539,43
"Washington",28.1877038387731,61
"Washington State",37.8151712786132,13
"West Virginia",37.244318140041,16
"Western Kentucky",13.9779843814896,125
"Western Michigan",30.2016182415329,44
"Wisconsin",30.7249477518218,40
"Wyoming",11.3021509226327,129
