"Team","Value","Rank"
"Air Force",21.786561320171,92
"Akron",18.6493046989127,111
"Alabama",48.2651225779233,2
"Alabama-Birmingham",25.5283896016386,67
"Appalachian State",37.4385673710464,11
"Arizona",23.2665384855652,88
"Arizona State",28.2563391441488,49
"Arkansas",24.0956787910234,85
"Arkansas State",22.7575077727468,89
"Army",26.5778934593594,61
"Auburn",29.0569901217268,46
"Ball State",22.2466546868898,91
"Baylor",31.157960773291,36
"Boise State",32.9571174564809,24
"Boston College",32.0840168019539,28
"Bowling Green State",19.7884449393054,105
"Brigham Young",21.3061034090456,95
"Buffalo",29.4687040080932,44
"California",12.6993816734633,125
"Central Florida",32.0410759015396,29
"Central Michigan",16.0428136619292,118
"Charlotte",14.126997025649,121
"Cincinnati",28.8558331035664,47
"Clemson",38.7757463760427,10
"Coastal Carolina",26.6345141312777,60
"Colorado",25.6861772525842,66
"Colorado State",20.6351418789345,101
"Connecticut",19.8657550412413,104
"Duke",27.4953003280649,56
"East Carolina",12.9122861821168,123
"Eastern Michigan",27.2630698644971,58
"Florida",34.9369586537589,19
"Florida Atlantic",26.1714599759611,64
"Florida International",25.3596002950089,71
"Florida State",21.0194951708159,98
"Fresno State",29.8159680883488,43
"Georgia",39.3071336747499,9
"Georgia Southern",20.7254749455728,100
"Georgia State",18.1544355228237,115
"Georgia Tech",29.8653487816793,41
"Hawaii",29.9273694757164,40
"Houston",41.6758986831082,4
"Illinois",21.2523338792979,96
"Indiana",27.6801495625498,52
"Iowa",30.0854452551094,39
"Iowa State",26.8429587353664,59
"Kansas",18.5062334673296,112
"Kansas State",20.3265793978448,103
"Kent State",17.6815822988361,117
"Kentucky",27.8157346958382,51
"Liberty",27.4919363553372,57
"Louisiana",32.0318363373007,30
"Louisiana State",31.988278465782,31
"Louisiana Tech",25.166958149068,74
"Louisiana-Monroe",19.4669320737465,107
"Louisville",19.2265597673154,109
"Marshall",19.5534940796958,106
"Maryland",24.523297495086,82
"Massachusetts",24.8361750899647,78
"Memphis",32.2742517336066,26
"Miami (FL)",32.1708054516592,27
"Miami (OH)",24.803881930525,79
"Michigan",35.8812710976706,17
"Michigan State",25.1578612193012,75
"Middle Tennessee State",22.6485447599404,90
"Minnesota",26.334407192453,63
"Mississippi",36.3796325500837,15
"Mississippi State",31.321747672682,35
"Missouri",40.5517493628039,5
"Navy",20.8268840678885,99
"Nebraska",33.5300642819812,22
"Nevada",24.950156643344,77
"Nevada-Las Vegas",26.4841742378974,62
"New Mexico",23.6063581938857,86
"New Mexico State",19.2492916476158,108
"Non-Major",14.7550952361577,119
"North Carolina",21.7488697138648,93
"North Carolina State",25.2491162134621,73
"North Texas",30.8885047947551,38
"Northern Illinois",18.4962349177796,113
"Northwestern",26.1632239866438,65
"Notre Dame",32.6528726360693,25
"Ohio",29.1372837590342,45
"Ohio State",40.1260829765576,6
"Oklahoma",51.8537878888897,1
"Oklahoma State",37.4271274535499,12
"Old Dominion",25.1473062347721,76
"Oregon",31.8946710200753,32
"Oregon State",24.255561805835,84
"Penn State",43.5524190247567,3
"Pittsburgh",21.3918749719601,94
"Purdue",34.4755848170963,21
"Rice",11.5155364803076,127
"Rutgers",11.8520400872579,126
"San Diego State",18.4748181447339,114
"San Jose State",14.3348391899638,120
"South Alabama",20.4006436592717,102
"South Carolina",33.4672338975721,23
"South Florida",24.5480011914385,81
"Southern California",25.2518989930235,72
"Southern Methodist",24.7166673715209,80
"Southern Mississippi",17.878488301317,116
"Stanford",23.5597611085285,87
"Syracuse",36.2683198414376,16
"Temple",24.2941417515044,83
"Tennessee",28.5652090979379,48
"Texas",31.6547359840184,33
"Texas A&M",34.6360435413608,20
"Texas Christian",25.5212556358864,68
"Texas State",8.33754265912689,131
"Texas Tech",39.8454652479863,8
"Texas-El Paso",9.03820893875085,130
"Texas-San Antonio",11.4569990959833,128
"Toledo",36.7364970558574,13
"Troy",21.2274041052565,97
"Tulane",18.9573973366553,110
"Tulsa",13.4595046146036,122
"UCLA",27.6187158900641,53
"Utah",27.5039373520911,54
"Utah State",39.9369264773901,7
"Vanderbilt",25.4000166220639,69
"Virginia",25.3693827251101,70
"Virginia Tech",27.8468128009492,50
"Wake Forest",27.4975704337726,55
"Washington",29.8431926088726,42
"Washington State",36.3823222670691,14
"West Virginia",35.5355503840388,18
"Western Kentucky",12.7158976563733,124
"Western Michigan",31.5094852219268,34
"Wisconsin",31.1025166107101,37
"Wyoming",10.4697526081433,129
