"Team","Value","Rank"
"Air Force",25.1889152618895,74
"Akron",14.0388392385914,125
"Alabama",44.8004278160606,2
"Alabama-Birmingham",25.2702734341139,73
"Appalachian State",31.1365107917459,35
"Arizona",27.8711748080911,56
"Arizona State",31.076628581552,36
"Arkansas",22.5548442017807,92
"Arkansas State",23.7827275368252,85
"Army",23.9555497904839,84
"Auburn",32.2648897374608,30
"Ball State",20.9807085969698,101
"Baylor",30.0396058530244,41
"Boise State",34.0983807762859,23
"Boston College",28.5573426527628,49
"Bowling Green State",18.6899636707425,111
"Brigham Young",24.0342416263006,83
"Buffalo",31.4413478302297,33
"California",15.3717384494975,121
"Central Florida",36.494867083572,15
"Central Michigan",10.2370875439458,130
"Charlotte",16.4031914481594,118
"Cincinnati",27.6846107663251,58
"Clemson",44.1824726725903,3
"Coastal Carolina",22.2282996883187,96
"Colorado",22.3662165268072,95
"Colorado State",19.2456783001256,108
"Connecticut",18.4580709173876,113
"Duke",29.4613696403531,46
"East Carolina",15.0970998635027,122
"Eastern Michigan",23.2518214113266,89
"Florida",34.997984809728,19
"Florida Atlantic",27.641230569967,59
"Florida International",26.3268115766941,65
"Florida State",23.1976861617484,90
"Fresno State",28.2700169550187,51
"Georgia",40.386709516823,5
"Georgia Southern",24.9799423603159,78
"Georgia State",18.9424094467694,109
"Georgia Tech",30.9112204394498,38
"Hawaii",28.1084402201037,53
"Houston",37.4935550748049,12
"Illinois",25.6150964709645,69
"Indiana",29.948461399707,43
"Iowa",31.0743047541265,37
"Iowa State",24.958338925003,79
"Kansas",22.532382100473,93
"Kansas State",22.4851236159772,94
"Kent State",18.2012367975242,114
"Kentucky",27.8444236539362,57
"Liberty",25.1166240634393,77
"Louisiana",30.1745385036711,40
"Louisiana State",34.4625994172508,21
"Louisiana Tech",20.3010069905427,103
"Louisiana-Monroe",19.982067277866,104
"Louisville",20.5409892195029,102
"Marshall",21.5451036711738,99
"Maryland",27.9168195248584,55
"Massachusetts",25.7818089047013,68
"Memphis",33.9786097082507,24
"Miami (FL)",26.4070311642849,63
"Miami (OH)",25.9057841983597,67
"Michigan",35.8719851088197,17
"Michigan State",19.9664851563638,105
"Middle Tennessee State",25.2867530358784,72
"Minnesota",28.8014709197612,47
"Mississippi",34.2612233604465,22
"Mississippi State",32.3757142912664,29
"Missouri",37.5274237211073,11
"Navy",23.4310304191692,87
"Nebraska",31.9444667950244,31
"Nevada",24.5758890191744,82
"Nevada-Las Vegas",25.4292280226127,70
"New Mexico",19.757100380117,106
"New Mexico State",17.5209857865709,116
"Non-Major",14.6892469628916,123
"North Carolina",25.3928827385495,71
"North Carolina State",30.6048685020097,39
"North Texas",27.9297107591722,54
"Northern Illinois",18.6797115643017,112
"Northwestern",26.066618227319,66
"Notre Dame",32.8667176806682,27
"Ohio",35.8727682127288,16
"Ohio State",42.58106546414,4
"Oklahoma",51.1491324530963,1
"Oklahoma State",38.29035055666,8
"Old Dominion",23.6820962858948,86
"Oregon",31.3649830202399,34
"Oregon State",24.9015743281553,80
"Penn State",36.5695979581992,14
"Pittsburgh",27.2552477401342,61
"Purdue",33.250278773525,25
"Rice",12.9458303525264,127
"Rutgers",13.4940790924833,126
"San Diego State",17.1632384301697,117
"San Jose State",18.0825944571576,115
"South Alabama",19.4890927380891,107
"South Carolina",32.6830323995419,28
"South Florida",21.5571067163132,98
"Southern California",25.1341340545909,76
"Southern Methodist",23.3601858040521,88
"Southern Mississippi",18.9407775980815,110
"Stanford",28.7384585276405,48
"Syracuse",37.2002227405152,13
"Temple",26.3992715287069,64
"Tennessee",25.1819399232158,75
"Texas",32.8913096215638,26
"Texas A&M",38.2073692734535,9
"Texas Christian",21.8553604985694,97
"Texas State",11.2321386144447,128
"Texas Tech",34.5342951894918,20
"Texas-El Paso",10.1270619920822,131
"Texas-San Antonio",10.6819966472398,129
"Toledo",35.5751936456934,18
"Troy",23.192563708672,91
"Tulane",21.0328297433893,100
"Tulsa",15.5836980736566,120
"UCLA",28.2490428106583,52
"Utah",27.4162727505066,60
"Utah State",39.4069202063153,6
"Vanderbilt",29.9907078255897,42
"Virginia",24.8542444444919,81
"Virginia Tech",29.7172621279566,45
"Wake Forest",29.8430412566977,44
"Washington",27.0928269508086,62
"Washington State",37.672153219975,10
"West Virginia",38.9964975293967,7
"Western Kentucky",14.3001631261285,124
"Western Michigan",28.5263937824343,50
"Wisconsin",31.4723449163764,32
"Wyoming",16.3821441561405,119
