"Team","Value","Rank"
"Air Force",422.717604131207,95
"Akron",318.091464585582,129
"Alabama",603.927899038391,3
"Alabama-Birmingham",461.274843827263,65
"Appalachian State",479.337903137237,54
"Arizona",529.128833376879,19
"Arizona State",501.78305307945,35
"Arkansas",408.710092200249,105
"Arkansas State",511.027231275207,30
"Army",347.080610376655,126
"Auburn",487.028261046461,49
"Ball State",429.482191464546,91
"Baylor",512.124438827223,29
"Boise State",517.147392426902,26
"Boston College",509.055000220284,32
"Bowling Green State",373.424177728757,116
"Brigham Young",387.616857775278,111
"Buffalo",456.752745669113,70
"California",424.133615739453,93
"Central Florida",545.413369976571,13
"Central Michigan",300.643117918317,131
"Charlotte",380.330333698677,114
"Cincinnati",455.287473428476,73
"Clemson",583.826176785302,4
"Coastal Carolina",409.15260668528,104
"Colorado",446.35459119116,78
"Colorado State",456.4164841602,71
"Connecticut",418.928738880689,99
"Duke",495.863322332764,38
"East Carolina",420.755616399399,97
"Eastern Michigan",376.859691315532,115
"Florida",492.472656495836,41
"Florida Atlantic",522.717359455854,25
"Florida International",444.236683818662,81
"Florida State",444.870803585634,80
"Fresno State",434.048167931663,89
"Georgia",551.975966545991,10
"Georgia Southern",361.707526887417,120
"Georgia State",398.686234655304,108
"Georgia Tech",486.676079781788,50
"Hawaii",480.16966430383,53
"Houston",541.261694204324,15
"Illinois",465.419066531825,61
"Indiana",495.506267371338,39
"Iowa",462.030598286087,64
"Iowa State",453.117583727186,74
"Kansas",405.510974128006,106
"Kansas State",437.666599440671,86
"Kent State",398.525533838131,109
"Kentucky",447.456307291303,77
"Liberty",440.23285392557,84
"Louisiana",510.237067893837,31
"Louisiana State",481.960907204625,51
"Louisiana Tech",425.010440808117,92
"Louisiana-Monroe",457.759065128685,68
"Louisville",468.12415563659,60
"Marshall",457.457155631993,69
"Maryland",489.52876402012,48
"Massachusetts",490.310513249813,47
"Memphis",542.841202958526,14
"Miami (FL)",450.604687915311,75
"Miami (OH)",436.244729028296,88
"Michigan",498.670507269069,36
"Michigan State",387.424532716913,112
"Middle Tennessee State",422.412906555924,96
"Minnesota",441.505704987222,82
"Mississippi",580.212319726415,5
"Mississippi State",474.468406379469,57
"Missouri",538.479201914755,16
"Navy",356.557976272217,123
"Nebraska",537.162733127135,17
"Nevada",419.486189568341,98
"Nevada-Las Vegas",416.951605008762,100
"New Mexico",356.517416822112,124
"New Mexico State",413.866486642921,102
"Non-Major",371.539961756774,117
"North Carolina",560.510376823998,8
"North Carolina State",495.0304679105,40
"North Texas",490.661711858954,46
"Northern Illinois",359.425547799185,122
"Northwestern",423.833829541906,94
"Notre Dame",491.267270722754,45
"Ohio",529.329144564296,18
"Ohio State",608.181170725161,2
"Oklahoma",681.143593596779,1
"Oklahoma State",559.361599371194,9
"Old Dominion",480.433125214634,52
"Oregon",498.106922667451,37
"Oregon State",492.327338497419,43
"Penn State",528.154039430372,21
"Pittsburgh",441.358012878056,83
"Purdue",528.517515721697,20
"Rice",365.081545969066,118
"Rutgers",335.861541362698,127
"San Diego State",361.833171526904,119
"San Jose State",389.808121556981,110
"South Alabama",415.177675181937,101
"South Carolina",524.603821587992,24
"South Florida",474.673143605968,56
"Southern California",469.585304953676,58
"Southern Methodist",460.111254728847,66
"Southern Mississippi",437.640704882131,87
"Stanford",468.911667199884,59
"Syracuse",508.524073529738,33
"Temple",463.072034520969,63
"Tennessee",409.408953665637,103
"Texas",476.71140746346,55
"Texas A&M",574.051273224625,6
"Texas Christian",455.845509944175,72
"Texas State",360.306219511406,121
"Texas Tech",550.645727113971,11
"Texas-El Paso",350.972484587633,125
"Texas-San Antonio",324.382497325883,128
"Toledo",516.101118480897,28
"Troy",431.056351834298,90
"Tulane",439.152786902631,85
"Tulsa",385.30917348599,113
"UCLA",458.124839360321,67
"Utah",447.914891462181,76
"Utah State",547.64974055188,12
"Vanderbilt",491.894778231203,44
"Virginia",444.914583375095,79
"Virginia Tech",526.358476235863,22
"Wake Forest",516.328895095046,27
"Washington",463.386846423444,62
"Washington State",524.737812925716,23
"West Virginia",564.165688737635,7
"Western Kentucky",405.151282918529,107
"Western Michigan",492.366897531866,42
"Wisconsin",503.465947157211,34
"Wyoming",309.941011815259,130
