"Team","Value","Rank"
"Air Force",3.27720505535785,68
"Akron",1.31400547478381,127
"Alabama",6.0219736527817,2
"Alabama-Birmingham",3.15991437428391,74
"Appalachian State",3.9841206812737,34
"Arizona",3.41771943251929,60
"Arizona State",3.83375701576588,43
"Arkansas",2.57942332829883,102
"Arkansas State",2.98910237145701,79
"Army",2.95631671472883,83
"Auburn",4.1020461631522,29
"Ball State",2.55929916338155,104
"Baylor",3.85076989908914,39
"Boise State",4.43085889597705,19
"Boston College",3.8420852027051,41
"Bowling Green State",2.34986083628741,110
"Brigham Young",3.15927324525249,75
"Buffalo",4.12129634350345,27
"California",1.66751494191698,122
"Central Florida",4.63924041228774,13
"Central Michigan",0.9345257023851,131
"Charlotte",1.75377599861103,120
"Cincinnati",3.81483554907409,44
"Clemson",5.89314379350298,3
"Coastal Carolina",2.83792064018588,89
"Colorado",2.80926123487415,90
"Colorado State",2.50042532809521,106
"Connecticut",2.59368691241244,97
"Duke",3.9147979981992,37
"East Carolina",1.52417172383636,125
"Eastern Michigan",2.79107269070418,91
"Florida",4.36918082802591,20
"Florida Atlantic",3.70181052005587,46
"Florida International",3.20784129579196,72
"Florida State",2.97533073609649,80
"Fresno State",3.61313782545748,49
"Georgia",5.24326738886899,5
"Georgia Southern",2.84824277793391,88
"Georgia State",2.47466068321183,107
"Georgia Tech",3.93607653119989,36
"Hawaii",3.5932585953654,52
"Houston",5.0302532955637,7
"Illinois",2.91204722706669,86
"Indiana",3.58457964525921,54
"Iowa",3.84289171674686,40
"Iowa State",2.96556430532667,82
"Kansas",2.59141632141752,98
"Kansas State",2.58243252168053,101
"Kent State",1.9742484405664,116
"Kentucky",3.68705578588741,47
"Liberty",3.36264614499756,64
"Louisiana",3.9427253320387,35
"Louisiana State",3.91328071596799,38
"Louisiana Tech",2.41564144629101,109
"Louisiana-Monroe",2.58866310771628,100
"Louisville",2.58987906580984,99
"Marshall",2.52375719772883,105
"Maryland",3.39674849100232,61
"Massachusetts",3.17766231094202,73
"Memphis",4.43845104666932,18
"Miami (FL)",3.37112701271586,63
"Miami (OH)",3.31972977102433,65
"Michigan",4.46029009589184,17
"Michigan State",2.20698274631896,111
"Middle Tennessee State",3.074661796652,77
"Minnesota",3.47891845166398,57
"Mississippi",4.11622727627258,28
"Mississippi State",4.16734474901642,26
"Missouri",4.56931283042029,14
"Navy",2.9229051018724,85
"Nebraska",4.01569958021343,33
"Nevada",3.02626788522863,78
"Nevada-Las Vegas",3.45199961798876,58
"New Mexico",2.66034834914322,93
"New Mexico State",2.13121147674384,115
"Non-Major",1.78530391492671,119
"North Carolina",2.85071002016447,87
"North Carolina State",3.56339259279055,55
"North Texas",3.43678900911992,59
"Northern Illinois",2.1696429823001,112
"Northwestern",3.31547560966676,66
"Notre Dame",4.04055636000187,32
"Ohio",4.48438888842483,16
"Ohio State",5.63542324981455,4
"Oklahoma",6.77187835409151,1
"Oklahoma State",5.02992004226481,8
"Old Dominion",2.96940906925936,81
"Oregon",4.25769703707071,22
"Oregon State",3.2503999257642,69
"Penn State",4.66436443214799,12
"Pittsburgh",3.51129216813028,56
"Purdue",4.20353807490623,24
"Rice",1.28568033043351,128
"Rutgers",1.54365070186425,124
"San Diego State",1.94403112069024,117
"San Jose State",2.1365722775684,114
"South Alabama",2.42039855339189,108
"South Carolina",4.23017663984977,23
"South Florida",2.60600988994032,96
"Southern California",3.23066892044264,71
"Southern Methodist",2.78706021797933,92
"Southern Mississippi",2.15253896520879,113
"Stanford",3.60257797584446,51
"Syracuse",4.17081478148026,25
"Temple",3.23643951433744,70
"Tennessee",3.3001582239027,67
"Texas",4.09233999044422,30
"Texas A&M",4.72729309590505,11
"Texas Christian",2.64045591757492,95
"Texas State",1.42438140113304,126
"Texas Tech",4.28515996178114,21
"Texas-El Paso",1.27202000716953,129
"Texas-San Antonio",1.02100591143297,130
"Toledo",4.55201710073152,15
"Troy",2.57614179804486,103
"Tulane",2.65956305878064,94
"Tulsa",1.64859995528515,123
"UCLA",3.58472202872061,53
"Utah",3.10580896822215,76
"Utah State",4.85479787059418,9
"Vanderbilt",3.84120048251648,42
"Virginia",2.94413402929522,84
"Virginia Tech",3.78183976720544,45
"Wake Forest",3.60598621063856,50
"Washington",3.3844747284205,62
"Washington State",5.06909726837902,6
"West Virginia",4.82049057053878,10
"Western Kentucky",1.69027204816909,121
"Western Michigan",3.614039747785,48
"Wisconsin",4.08862527980196,31
"Wyoming",1.86470101914961,118
