"Team","Value","Rank"
"Air Force",2.5,38
"Akron",3.875,103.5
"Alabama",1.375,9
"Alabama-Birmingham",2,17
"Appalachian State",2.28571428571429,29
"Arizona",4.125,111
"Arizona State",2.75,48.5
"Arkansas",3.625,87
"Arkansas State",4.25,116.5
"Army",2.875,52
"Auburn",2.125,20
"Ball State",3.375,71.5
"Baylor",2.14285714285714,22
"Boise State",2.71428571428571,45.5
"Boston College",3.625,87
"Bowling Green State",4.75,127
"Brigham Young",3.14285714285714,62.5
"Buffalo",2.375,33.5
"California",2.375,33.5
"Central Florida",2.25,25.5
"Central Michigan",3.44444444444444,75
"Charlotte",5,129
"Cincinnati",2.14285714285714,22
"Clemson",1,5
"Coastal Carolina",3.57142857142857,80.5
"Colorado",4.5,122.5
"Colorado State",3.75,96.5
"Connecticut",4.625,125
"Duke",3,56
"East Carolina",3.625,87
"Eastern Michigan",4.25,116.5
"Florida",1.875,14
"Florida Atlantic",3.375,71.5
"Florida International",3.125,60
"Florida State",3,56
"Fresno State",3.57142857142857,80.5
"Georgia",0.571428571428571,1
"Georgia Southern",3.14285714285714,62.5
"Georgia State",4.375,120
"Georgia Tech",3.57142857142857,80.5
"Hawaii",4.25,116.5
"Houston",3.875,103.5
"Illinois",2.75,48.5
"Indiana",2.375,33.5
"Iowa",1.125,7
"Iowa State",2,17
"Kansas",4.14285714285714,112.5
"Kansas State",2.28571428571429,29
"Kent State",3.75,96.5
"Kentucky",2.5,38
"Liberty",3.125,60
"Louisiana",2.28571428571429,29
"Louisiana State",2.25,25.5
"Louisiana Tech",2.625,43
"Louisiana-Monroe",4.42857142857143,121
"Louisville",4.25,116.5
"Marshall",3.375,71.5
"Maryland",3.625,87
"Massachusetts",6.375,131
"Memphis",2.375,33.5
"Miami (FL)",2,17
"Miami (OH)",4,108
"Michigan",2.5,38
"Michigan State",2.375,33.5
"Middle Tennessee State",3.625,87
"Minnesota",1.625,11.5
"Mississippi",3.125,60
"Mississippi State",3.875,103.5
"Missouri",1.625,11.5
"Navy",2,17
"Nebraska",3.85714285714286,100.5
"Nevada",4.625,125
"Nevada-Las Vegas",4,108
"New Mexico",4.5,122.5
"New Mexico State",4.875,128
"Non-Major",5.27184466019417,130
"North Carolina",3,56
"North Carolina State",2.57142857142857,40.5
"North Texas",4.25,116.5
"Northern Illinois",2.75,48.5
"Northwestern",2.57142857142857,40.5
"Notre Dame",2.14285714285714,22
"Ohio",3.75,96.5
"Ohio State",0.625,2
"Oklahoma",2.75,48.5
"Oklahoma State",3.25,66.5
"Old Dominion",3.625,87
"Oregon",1.25,8
"Oregon State",4,108
"Penn State",1,5
"Pittsburgh",2.375,33.5
"Purdue",3.25,66.5
"Rice",3.625,87
"Rutgers",4.625,125
"San Diego State",1.5,10
"San Jose State",3.5,77
"South Alabama",3.25,66.5
"South Carolina",2.875,52
"South Florida",3.625,87
"Southern California",2.625,43
"Southern Methodist",3.25,66.5
"Southern Mississippi",3.75,96.5
"Stanford",3.375,71.5
"Syracuse",3.5,77
"Temple",3.25,66.5
"Tennessee",3,56
"Texas",3.75,96.5
"Texas A&M",2.625,43
"Texas Christian",3,56
"Texas State",3.42857142857143,74
"Texas Tech",3.875,103.5
"Texas-El Paso",4.14285714285714,112.5
"Texas-San Antonio",3.85714285714286,100.5
"Toledo",3.5,77
"Troy",3.71428571428571,92.5
"Tulane",2.875,52
"Tulsa",3.75,96.5
"UCLA",4.25,116.5
"Utah",0.75,3
"Utah State",2.71428571428571,45.5
"Vanderbilt",4,108
"Virginia",2.25,25.5
"Virginia Tech",3.71428571428571,92.5
"Wake Forest",3.57142857142857,80.5
"Washington",2.25,25.5
"Washington State",3.625,87
"West Virginia",4,108
"Western Kentucky",2,17
"Western Michigan",3.25,66.5
"Wisconsin",1,5
"Wyoming",1.75,13
