"Team","Value","Rank"
"Air Force",358.375,21
"Akron",424,49
"Alabama",347.375,15
"Alabama-Birmingham",298.285714285714,6
"Appalachian State",405.428571428571,35
"Arizona",508.25,108
"Arizona State",435.25,57
"Arkansas",448.125,68
"Arkansas State",566.5,129
"Army",407.375,37
"Auburn",385.25,29
"Ball State",504.5,104
"Baylor",411.857142857143,40
"Boise State",373.857142857143,25
"Boston College",536.75,121
"Bowling Green State",540.5,124
"Brigham Young",488.714285714286,91
"Buffalo",352.125,18
"California",434.75,56
"Central Florida",401.875,34
"Central Michigan",432,54
"Charlotte",498.5,96.5
"Cincinnati",420.857142857143,46
"Clemson",282.625,4
"Coastal Carolina",415.714285714286,43
"Colorado",528.875,119
"Colorado State",454.375,71
"Connecticut",508.375,109
"Duke",417.625,44
"East Carolina",459.875,74
"Eastern Michigan",494.125,93
"Florida",353.5,19
"Florida Atlantic",467,78
"Florida International",433.375,55
"Florida State",466.125,76
"Fresno State",463.142857142857,75
"Georgia",291.142857142857,5
"Georgia Southern",362,22
"Georgia State",513.875,112
"Georgia Tech",476.571428571429,85
"Hawaii",503.875,102
"Houston",531.625,120
"Illinois",453,69
"Indiana",368.75,24
"Iowa",311.625,8
"Iowa State",436.125,58
"Kansas",548.875,125
"Kansas State",421,47
"Kent State",516.75,115
"Kentucky",374.75,26
"Liberty",472.375,83
"Louisiana",411.714285714286,39
"Louisiana State",336,14
"Louisiana Tech",519.5,116
"Louisiana-Monroe",555.142857142857,127
"Louisville",537.125,122
"Marshall",474.5,84
"Maryland",509.5,110
"Massachusetts",630.125,131
"Memphis",411.125,38
"Miami (FL)",354.625,20
"Miami (OH)",442.875,63
"Michigan",320.625,12
"Michigan State",378.75,27
"Middle Tennessee State",557.625,128
"Minnesota",348.625,16
"Mississippi",493.875,92
"Mississippi State",477.25,86
"Missouri",312.875,9
"Navy",390.428571428571,30
"Nebraska",468.375,80
"Nevada",478.75,89
"Nevada-Las Vegas",528.625,118
"New Mexico",553.25,126
"New Mexico State",523.625,117
"Non-Major",572.330097087379,130
"North Carolina",444.75,66
"North Carolina State",418.714285714286,45
"North Texas",494.375,95
"Northern Illinois",429.5,52
"Northwestern",392.857142857143,31
"Notre Dame",407,36
"Ohio",494.25,94
"Ohio State",272.625,2
"Oklahoma",398.75,33
"Oklahoma State",499.5,98
"Old Dominion",415.5,42
"Oregon",396.75,32
"Oregon State",515.428571428571,114
"Penn State",307.625,7
"Pittsburgh",349.25,17
"Purdue",438.625,61
"Rice",443.875,64
"Rutgers",511.375,111
"San Diego State",317.25,11
"San Jose State",515.375,113
"South Alabama",471.375,82
"South Carolina",448,67
"South Florida",478.125,88
"Southern California",502.125,100
"Southern Methodist",477.75,87
"Southern Mississippi",444.625,65
"Stanford",453.875,70
"Syracuse",457.625,72
"Temple",437,59
"Tennessee",381,28
"Texas",505.125,105
"Texas A&M",430.375,53
"Texas Christian",368.428571428571,23
"Texas State",468,79
"Texas Tech",507.75,107
"Texas-El Paso",458.857142857143,73
"Texas-San Antonio",442.571428571429,62
"Toledo",539.625,123
"Troy",466.142857142857,77
"Tulane",412.625,41
"Tulsa",498.5,96.5
"UCLA",486.25,90
"Utah",281.125,3
"Utah State",470.285714285714,81
"Vanderbilt",502.571428571429,101
"Virginia",315.375,10
"Virginia Tech",426.571428571429,51
"Wake Forest",504,103
"Washington",421.125,48
"Washington State",507,106
"West Virginia",437.142857142857,60
"Western Kentucky",335.5,13
"Western Michigan",501.111111111111,99
"Wisconsin",257.25,1
"Wyoming",424.25,50
