"Team","Value","Rank"
"Air Force",338.05822020056,15
"Akron",459.16931082358,69
"Alabama",322.422007645432,8
"Alabama-Birmingham",446.716278865206,61
"Appalachian State",424.163410058002,47
"Arizona",467.445001364099,76
"Arizona State",438.337331042707,55
"Arkansas",431.713607589055,53
"Arkansas State",549.632567548398,120
"Army",462.72059677007,70
"Auburn",337.92805071064,14
"Ball State",525.702744717589,117
"Baylor",411.915189021803,41
"Boise State",373.795960267934,28
"Boston College",531.480494749006,118
"Bowling Green State",554.31740000149,123
"Brigham Young",457.61253312373,68
"Buffalo",391.79715692262,31
"California",432.183321834859,54
"Central Florida",407.733161213983,39
"Central Michigan",498.118191546654,95
"Charlotte",509.998036107511,102
"Cincinnati",351.981662843095,19
"Clemson",224.746861283939,2
"Coastal Carolina",487.935384276682,93
"Colorado",474.719421950861,84
"Colorado State",469.592122739535,77
"Connecticut",498.608148443318,97
"Duke",423.139320127914,45
"East Carolina",483.180458308475,90
"Eastern Michigan",514.719443615312,106
"Florida",346.591139666694,17
"Florida Atlantic",451.625137123891,63
"Florida International",477.770193639153,86
"Florida State",428.631243333107,52
"Fresno State",470.415310456033,78
"Georgia",302.666100877346,6
"Georgia Southern",406.325144686241,37
"Georgia State",538.941260965825,119
"Georgia Tech",464.927779517208,73
"Hawaii",496.075509031065,94
"Houston",475.292550593625,85
"Illinois",486.558810092799,91
"Indiana",362.149523206164,22
"Iowa",335.071158620766,11
"Iowa State",407.123035687767,38
"Kansas",523.067223092674,115
"Kansas State",394.966021519198,33
"Kent State",564.26806782316,127
"Kentucky",369.067510932863,26
"Liberty",516.253111546715,107
"Louisiana",423.900084469901,46
"Louisiana State",331.013543104485,9
"Louisiana Tech",571.315062179799,129
"Louisiana-Monroe",563.766099460126,126
"Louisville",520.722848358005,111
"Marshall",511.168024965792,104
"Maryland",517.262975794999,108
"Massachusetts",723.740243101043,131
"Memphis",403.622441533236,36
"Miami (FL)",362.275965623244,23
"Miami (OH)",442.656905818496,56
"Michigan",348.789360238499,18
"Michigan State",340.52365930993,16
"Middle Tennessee State",553.37649182527,122
"Minnesota",368.184658196176,25
"Mississippi",498.499001315714,96
"Mississippi State",426.39575028956,49
"Missouri",310.952814905631,7
"Navy",388.048128135446,30
"Nebraska",471.759347583438,80
"Nevada",501.962974572758,99
"Nevada-Las Vegas",573.196619234596,130
"New Mexico",569.777465454734,128
"New Mexico State",522.49944398338,113
"Non-Major",559.164856602542,124
"North Carolina",416.747781989467,43
"North Carolina State",445.653769521514,58
"North Texas",522.683808963532,114
"Northern Illinois",447.662353218806,62
"Northwestern",384.173745080514,29
"Notre Dame",369.748357390497,27
"Ohio",502.322816891813,100
"Ohio State",236.857021680734,3
"Oklahoma",355.177918148208,21
"Oklahoma State",446.497793372327,59
"Old Dominion",455.778681949694,66
"Oregon",393.19873909368,32
"Oregon State",522.0304334289,112
"Penn State",301.789311425057,5
"Pittsburgh",337.38952829413,13
"Purdue",443.030657733814,57
"Rice",451.727845606486,64
"Rutgers",519.808279804355,110
"San Diego State",352.274810347444,20
"San Jose State",562.151976126399,125
"South Alabama",480.020708035819,88
"South Carolina",428.071800295089,51
"South Florida",466.105713553018,75
"Southern California",481.418703548473,89
"Southern Methodist",470.453504907626,79
"Southern Mississippi",446.651723444122,60
"Stanford",410.094410140383,40
"Syracuse",454.860610151874,65
"Temple",425.119288267298,48
"Tennessee",365.247192699074,24
"Texas",462.741921190076,71
"Texas A&M",426.542113388469,50
"Texas Christian",336.483977704084,12
"Texas State",472.316897796603,81
"Texas Tech",464.603046425021,72
"Texas-El Paso",510.081076884782,103
"Texas-San Antonio",514.647202288482,105
"Toledo",553.209361678483,121
"Troy",525.382441262469,116
"Tulane",419.891014091217,44
"Tulsa",474.380031882315,83
"UCLA",456.103081599801,67
"Utah",251.982532485639,4
"Utah State",465.265292427359,74
"Vanderbilt",487.685270150236,92
"Virginia",331.982667077421,10
"Virginia Tech",479.315616292104,87
"Wake Forest",502.635069423082,101
"Washington",402.00584613526,35
"Washington State",500.715926126269,98
"West Virginia",412.597135924893,42
"Western Kentucky",396.953624533843,34
"Western Michigan",518.17513226,109
"Wisconsin",222.122090588253,1
"Wyoming",474.30673342596,82
