"Team","Value","Rank"
"Air Force",2.97016993512154,49
"Akron",4.26209860444052,104
"Alabama",1.85930175171308,12
"Alabama-Birmingham",3.86791163259358,82
"Appalachian State",3.10614108777902,53
"Arizona",3.86030347066055,81
"Arizona State",2.6576213841086,36
"Arkansas",3.91371962469713,91
"Arkansas State",4.33961131264346,107
"Army",3.4572030088573,66
"Auburn",1.59499502615379,8
"Ball State",4.09382304844922,98
"Baylor",2.65896011733422,37
"Boise State",2.7571727292075,42
"Boston College",3.87060245442465,84
"Bowling Green State",4.95860970080298,126
"Brigham Young",3.19611562777738,56
"Buffalo",3.34819688168945,63
"California",1.95654966619146,14
"Central Florida",3.32880001792756,61
"Central Michigan",4.05772373086048,96
"Charlotte",5.66589532951958,130
"Cincinnati",1.63983045135121,9
"Clemson",1.10225633521727,2
"Coastal Carolina",4.10742769673401,100
"Colorado",4.06592163827574,97
"Colorado State",4.82082350713256,121
"Connecticut",4.45917642077822,110
"Duke",3.13952383840348,54
"East Carolina",3.58632382722144,71
"Eastern Michigan",4.39371045232925,108
"Florida",1.70651454086382,10
"Florida Atlantic",3.38878870127548,64
"Florida International",3.87258383031996,85
"Florida State",2.71015987548594,39
"Fresno State",3.71635844292668,76
"Georgia",1.37120719503469,5
"Georgia Southern",3.90125953276453,89
"Georgia State",5.07418846813742,127
"Georgia Tech",3.60357658096816,72
"Hawaii",4.5296550091472,115
"Houston",3.53441389342745,69
"Illinois",3.86837004729699,83
"Indiana",2.49812929763927,28
"Iowa",1.30283445549323,3
"Iowa State",2.27435042827445,22
"Kansas",3.65711592890383,74
"Kansas State",2.13942628607106,20
"Kent State",4.51274082743292,114
"Kentucky",2.8099682058301,44
"Liberty",3.90058106317436,88
"Louisiana",2.54568314563014,32
"Louisiana State",2.65181559260488,35
"Louisiana Tech",3.88141886956333,86
"Louisiana-Monroe",4.76670783504949,120
"Louisville",4.48820573782752,111
"Marshall",4.00878288733147,94
"Maryland",3.61149319218594,73
"Massachusetts",7.48189039278073,131
"Memphis",2.44023559797805,25
"Miami (FL)",2.57992808026514,33
"Miami (OH)",4.89049077995283,124
"Michigan",2.64038662814312,34
"Michigan State",2.04774952169309,17
"Middle Tennessee State",4.01726581318879,95
"Minnesota",2.96574016512385,48
"Mississippi",3.29255965353039,60
"Mississippi State",2.83206510156888,46
"Missouri",2.53227910568561,31
"Navy",2.04195249351793,16
"Nebraska",3.54355379609884,70
"Nevada",5.19176030614977,128
"Nevada-Las Vegas",4.84582314351517,122
"New Mexico",4.85255782463164,123
"New Mexico State",4.52974160727354,116
"Non-Major",5.24087988791851,129
"North Carolina",2.74425844150264,41
"North Carolina State",3.08389499113988,51
"North Texas",4.42994358067448,109
"Northern Illinois",3.94417907032821,92
"Northwestern",1.97865215578615,15
"Notre Dame",1.90764478455604,13
"Ohio",4.49568413131693,112
"Ohio State",1.04019850791446,1
"Oklahoma",2.49260081052167,27
"Oklahoma State",3.14356406121371,55
"Old Dominion",4.13937975569164,101
"Oregon",1.81844218308153,11
"Oregon State",4.32767548169791,106
"Penn State",1.53006502524841,7
"Pittsburgh",2.09914394353851,19
"Purdue",3.40240221484337,65
"Rice",3.71371606737445,75
"Rutgers",4.53638566795622,117
"San Diego State",2.06670229262276,18
"San Jose State",4.51246368233613,113
"South Alabama",3.46957698296067,68
"South Carolina",2.33730794988386,23
"South Florida",3.73511013017437,78
"Southern California",2.20109935609252,21
"Southern Methodist",3.83981703835346,80
"Southern Mississippi",4.22523700650463,103
"Stanford",2.81260708237569,45
"Syracuse",3.3447108369761,62
"Temple",2.4993984622717,29
"Tennessee",2.4464869441015,26
"Texas",3.23409050736423,57
"Texas A&M",2.37609121643997,24
"Texas Christian",2.73695991902778,40
"Texas State",3.03258076286326,50
"Texas Tech",3.2781161992195,58
"Texas-El Paso",4.948645238558,125
"Texas-San Antonio",4.63990637361105,119
"Toledo",3.90054141101605,87
"Troy",4.58730230006156,118
"Tulane",3.29160657074863,59
"Tulsa",2.94303849514952,47
"UCLA",3.94879333136569,93
"Utah",1.44528792211426,6
"Utah State",3.08473028889472,52
"Vanderbilt",4.10461599360424,99
"Virginia",2.53035309757366,30
"Virginia Tech",4.31232337933923,105
"Wake Forest",3.91067469940678,90
"Washington",2.78889807301812,43
"Washington State",4.19156355265884,102
"West Virginia",3.72691374962922,77
"Western Kentucky",2.69005566701577,38
"Western Michigan",3.81754321673626,79
"Wisconsin",1.31194334808613,4
"Wyoming",3.46461134999428,67
