"Team","Value","Rank"
"Air Force",1.23076923076923,38
"Akron",3.33333333333333,121
"Alabama",-0.307692307692308,3
"Alabama-Birmingham",1.14285714285714,34
"Appalachian State",0.714285714285714,21
"Arizona",3.16666666666667,115
"Arizona State",0.846153846153846,22.5
"Arkansas",3.16666666666667,115
"Arkansas State",2.84615384615385,106
"Army",1.53846153846154,51.5
"Auburn",0.692307692307692,19.5
"Ball State",1.91666666666667,65.5
"Baylor",0.142857142857143,10.5
"Boise State",1.42857142857143,45
"Boston College",2.38461538461538,88.5
"Bowling Green State",3.75,125
"Brigham Young",1.15384615384615,35
"Buffalo",0.923076923076923,25.5
"California",1.23076923076923,38
"Central Florida",0.923076923076923,25.5
"Central Michigan",1.85714285714286,64
"Charlotte",3.07692307692308,111.5
"Cincinnati",0.5,16
"Clemson",-0.4,2
"Coastal Carolina",2.58333333333333,97
"Colorado",2.75,102.5
"Colorado State",2.5,92.5
"Connecticut",4,128
"Duke",2,71.5
"East Carolina",2.83333333333333,104.5
"Eastern Michigan",2.38461538461538,88.5
"Florida",-0.25,4
"Florida Atlantic",0.5,16
"Florida International",1.92307692307692,68
"Florida State",1.46153846153846,47
"Fresno State",1.91666666666667,65.5
"Georgia",0.142857142857143,10.5
"Georgia Southern",2.15384615384615,79.5
"Georgia State",3.30769230769231,119
"Georgia Tech",2.5,92.5
"Hawaii",2.73333333333333,101
"Houston",3.25,117.5
"Illinois",0.923076923076923,25.5
"Indiana",1.53846153846154,51.5
"Iowa",-0.0769230769230769,8
"Iowa State",1.76923076923077,60
"Kansas",4.09090909090909,129
"Kansas State",1.23076923076923,38
"Kent State",2.61538461538462,98
"Kentucky",0.846153846153846,22.5
"Liberty",2.07692307692308,74.5
"Louisiana",0.928571428571429,28
"Louisiana State",1.2,36
"Louisiana Tech",0.615384615384615,18
"Louisiana-Monroe",3.33333333333333,121
"Louisville",3.07692307692308,111.5
"Marshall",1.76923076923077,60
"Maryland",2.91666666666667,108.5
"Massachusetts",5.16666666666667,131
"Memphis",1.71428571428571,57
"Miami (FL)",0.692307692307692,19.5
"Miami (OH)",2.14285714285714,78
"Michigan",1.30769230769231,40.5
"Michigan State",1,30.5
"Middle Tennessee State",2.16666666666667,81.5
"Minnesota",1.07692307692308,33
"Mississippi",1.75,58
"Mississippi State",1.84615384615385,63
"Missouri",1,30.5
"Navy",1,30.5
"Nebraska",2,71.5
"Nevada",2.46153846153846,90
"Nevada-Las Vegas",2.66666666666667,99.5
"New Mexico",3.75,125
"New Mexico State",3.83333333333333,127
"Non-Major",4.32456140350877,130
"North Carolina",1.30769230769231,40.5
"North Carolina State",3.08333333333333,113
"North Texas",2.91666666666667,108.5
"Northern Illinois",2.5,92.5
"Northwestern",1.41666666666667,43.5
"Notre Dame",-0.230769230769231,5
"Ohio",2.15384615384615,79.5
"Ohio State",-0.142857142857143,7
"Oklahoma",2.57142857142857,96
"Oklahoma State",1.69230769230769,56
"Old Dominion",2.08333333333333,76.5
"Oregon",-0.214285714285714,6
"Oregon State",2.91666666666667,108.5
"Penn State",0.0769230769230769,9
"Pittsburgh",1.38461538461538,42
"Purdue",2.5,92.5
"Rice",2.25,84.5
"Rutgers",3.75,125
"San Diego State",-0.692307692307692,1
"San Jose State",2.08333333333333,76.5
"South Alabama",2,71.5
"South Carolina",1.41666666666667,43.5
"South Florida",1.58333333333333,54
"Southern California",2.23076923076923,83
"Southern Methodist",2.30769230769231,86
"Southern Mississippi",2.07692307692308,74.5
"Stanford",2.66666666666667,99.5
"Syracuse",1.83333333333333,62
"Temple",1.53846153846154,51.5
"Tennessee",0.923076923076923,25.5
"Texas",1.76923076923077,60
"Texas A&M",1.46153846153846,47
"Texas Christian",1.5,49
"Texas State",2.83333333333333,104.5
"Texas Tech",2.25,84.5
"Texas-El Paso",3.5,123
"Texas-San Antonio",2.75,102.5
"Toledo",3.25,117.5
"Troy",2.91666666666667,108.5
"Tulane",1.92307692307692,68
"Tulsa",2.16666666666667,81.5
"UCLA",3.33333333333333,121
"Utah",0.214285714285714,12
"Utah State",2,71.5
"Vanderbilt",3.16666666666667,115
"Virginia",1.92307692307692,68
"Virginia Tech",1.53846153846154,51.5
"Wake Forest",1.46153846153846,47
"Washington",0.461538461538462,14
"Washington State",2.53846153846154,95
"West Virginia",2.33333333333333,87
"Western Kentucky",1,30.5
"Western Michigan",1.66666666666667,55
"Wisconsin",0.5,16
"Wyoming",0.384615384615385,13
