"Team","Value","Rank"
"Air Force",368.546110347237,22
"Akron",472.252457346628,83
"Alabama",342.084451316886,13
"Alabama-Birmingham",392.096254623309,32
"Appalachian State",419.861097434503,44
"Arizona",480.85795169737,87
"Arizona State",450.25116016988,66
"Arkansas",447.726488035319,65
"Arkansas State",563.953421182846,128
"Army",423.165058805578,47
"Auburn",332.220500015039,7
"Ball State",559.89262368821,127
"Baylor",378.64227522328,25
"Boise State",404.376376343325,39
"Boston College",523.735674323755,112
"Bowling Green State",551.427569843196,123
"Brigham Young",470.82825733549,81
"Buffalo",383.695937179358,30
"California",434.113822727087,57
"Central Florida",413.553789909976,42
"Central Michigan",491.866577797969,91
"Charlotte",475.535948509714,86
"Cincinnati",393.486295058553,34
"Clemson",273.280363558789,2
"Coastal Carolina",507.908650263612,99
"Colorado",461.891556734746,75
"Colorado State",456.519752062304,70
"Connecticut",526.846773915966,113
"Duke",435.370026771027,59
"East Carolina",533.477952614055,116
"Eastern Michigan",518.616882269347,107
"Florida",341.725492244629,12
"Florida Atlantic",432.544415254352,54
"Florida International",465.285257787529,78
"Florida State",434.627311284883,58
"Fresno State",503.909462475695,97
"Georgia",291.753022801352,4
"Georgia Southern",388.302141941973,31
"Georgia State",536.290074736266,118
"Georgia Tech",496.024898801569,93
"Hawaii",498.653826425861,95
"Houston",468.345383212369,79
"Illinois",458.846064267012,71
"Indiana",382.416060913857,29
"Iowa",335.297163917614,9
"Iowa State",433.600938925709,55
"Kansas",514.87102521624,105
"Kansas State",396.415025581075,37
"Kent State",554.749698168388,125
"Kentucky",355.39720383749,19
"Liberty",495.64453971508,92
"Louisiana",454.550986253463,68
"Louisiana State",346.098591222378,15
"Louisiana Tech",512.492322151256,103
"Louisiana-Monroe",550.581197009931,122
"Louisville",530.747296613319,114
"Marshall",461.764401204128,74
"Maryland",501.915369395157,96
"Massachusetts",687.282521396619,131
"Memphis",423.789015116366,48
"Miami (FL)",364.616237087594,20
"Miami (OH)",429.714051152502,51
"Michigan",326.032175483614,6
"Michigan State",376.228846609244,24
"Middle Tennessee State",567.398173754452,129
"Minnesota",380.610795095464,26
"Mississippi",473.223036325178,85
"Mississippi State",427.560205418822,50
"Missouri",342.086650523722,14
"Navy",394.647536419885,35
"Nebraska",454.744639796961,69
"Nevada",468.898818786451,80
"Nevada-Las Vegas",570.373718273084,130
"New Mexico",547.487917186032,121
"New Mexico State",537.73734596378,119
"Non-Major",557.751616528995,126
"North Carolina",446.031590627155,63
"North Carolina State",435.698120972195,60
"North Texas",521.705001817602,111
"Northern Illinois",472.788328628824,84
"Northwestern",364.914007944076,21
"Notre Dame",341.458437792029,11
"Ohio",505.605730481027,98
"Ohio State",284.997537681914,3
"Oklahoma",381.849338310381,28
"Oklahoma State",433.924366873926,56
"Old Dominion",446.623874538714,64
"Oregon",400.535295931402,38
"Oregon State",530.790522416589,115
"Penn State",350.329223112395,16
"Pittsburgh",353.271021554256,18
"Purdue",460.135003761146,72
"Rice",441.859928894134,62
"Rutgers",464.321000255965,77
"San Diego State",333.51069428225,8
"San Jose State",547.426082848936,120
"South Alabama",489.172566466727,90
"South Carolina",425.148577016028,49
"South Florida",441.138245290156,61
"Southern California",497.0127644447,94
"Southern Methodist",519.361585326971,109
"Southern Mississippi",419.880497179582,45
"Stanford",461.355241243567,73
"Syracuse",481.119198797894,88
"Temple",395.049951364663,36
"Tennessee",350.409576984857,17
"Texas",431.394051543136,53
"Texas A&M",380.687262612195,27
"Texas Christian",339.327816595071,10
"Texas State",483.306843282011,89
"Texas Tech",510.22619920279,101
"Texas-El Paso",512.6079163395,104
"Texas-San Antonio",518.690096800216,108
"Toledo",553.197122767119,124
"Troy",536.08079344656,117
"Tulane",413.299931307164,41
"Tulsa",451.879349702188,67
"UCLA",463.953534530829,76
"Utah",304.236281177059,5
"Utah State",508.67668674952,100
"Vanderbilt",471.999456749892,82
"Virginia",392.910174555948,33
"Virginia Tech",419.314508609877,43
"Wake Forest",517.445409411486,106
"Washington",376.208376502909,23
"Washington State",520.876204874046,110
"West Virginia",405.834343983599,40
"Western Kentucky",420.316611874128,46
"Western Michigan",511.894360536379,102
"Wisconsin",270.108492003575,1
"Wyoming",430.636218987076,52
