"Team","Value","Rank"
"Air Force",19.9337619611242,25
"Akron",38.3794793534292,123
"Alabama",16.0113729788759,14
"Alabama-Birmingham",28.2737286063271,72
"Appalachian State",22.1903062833705,37
"Arizona",34.1620774796268,107
"Arizona State",21.3874162920266,33
"Arkansas",32.2729347315243,95
"Arkansas State",36.5204360759383,119
"Army",25.4949542780015,56
"Auburn",14.1179542820705,8
"Ball State",34.3138328625563,108
"Baylor",17.7779721577463,18
"Boise State",24.1893259120589,48
"Boston College",32.245286249302,93
"Bowling Green State",41.4488308139026,129
"Brigham Young",26.5333592090904,61
"Buffalo",25.1862857194309,55
"California",20.384184896753,26
"Central Florida",24.7468721557018,52
"Central Michigan",33.074277120769,102
"Charlotte",35.9746732077294,115
"Cincinnati",17.1954113924573,16
"Clemson",10.3004101179376,2
"Coastal Carolina",32.3204205838592,96
"Colorado",29.3357840833312,80
"Colorado State",33.898637134472,106
"Connecticut",38.35079257541,122
"Duke",27.3443848105518,66
"East Carolina",35.6279845107492,113
"Eastern Michigan",35.8188007330338,114
"Florida",14.4505947218519,9
"Florida Atlantic",23.2286817091662,44
"Florida International",32.4510399663064,98
"Florida State",25.185888372817,54
"Fresno State",32.264167818772,94
"Georgia",9.60344595449796,1
"Georgia Southern",27.6754619563327,68
"Georgia State",39.3531891042317,126
"Georgia Tech",31.8072397521521,90
"Hawaii",34.4261311119033,109
"Houston",28.2633424871008,71
"Illinois",28.2129412528494,70
"Indiana",22.6804960549336,42
"Iowa",11.2803900505228,4
"Iowa State",21.546703190647,34
"Kansas",32.7618039981864,99
"Kansas State",19.163869900198,21
"Kent State",35.4037380139499,111
"Kentucky",19.3407283357091,22
"Liberty",33.7152084718536,105
"Louisiana",22.0429256200126,36
"Louisiana State",16.6727857906958,15
"Louisiana Tech",28.391284445634,73
"Louisiana-Monroe",38.6609918990165,124
"Louisville",33.066991728164,101
"Marshall",26.8567052038797,64
"Maryland",30.7679343331689,83
"Massachusetts",59.2144105543,131
"Memphis",25.0575103220463,53
"Miami (FL)",20.7053149814741,28
"Miami (OH)",29.2709112066255,79
"Michigan",15.9946198948402,13
"Michigan State",18.5320315242344,20
"Middle Tennessee State",33.5639206509326,104
"Minnesota",21.0290337832209,29
"Mississippi",22.5670074201442,39
"Mississippi State",24.3319334908333,50
"Missouri",20.6647287896233,27
"Navy",21.2603841886065,32
"Nebraska",26.3152201196003,60
"Nevada",34.8270292247171,110
"Nevada-Las Vegas",36.2666476281352,116
"New Mexico",38.0032361183649,120
"New Mexico State",41.6931041603115,130
"Non-Major",40.8646617783284,127
"North Carolina",24.3031510600613,49
"North Carolina State",29.1229688132708,77
"North Texas",36.3207848623822,118
"Northern Illinois",32.2033908492536,92
"Northwestern",19.7262166318609,23
"Notre Dame",15.6177838450897,10
"Ohio",33.3736595840908,103
"Ohio State",10.5175138974291,3
"Oklahoma",22.8299433990784,43
"Oklahoma State",22.6696543642703,40
"Old Dominion",32.4440413384131,97
"Oregon",15.8887881772503,12
"Oregon State",31.1512274051567,87
"Penn State",13.8828165315213,6
"Pittsburgh",21.0443878488266,30
"Purdue",28.9260839845154,76
"Rice",27.2922164993502,65
"Rutgers",30.8940560012451,84
"San Diego State",15.8423935770119,11
"San Jose State",35.5132809712607,112
"South Alabama",29.2545656805094,78
"South Carolina",21.1916684358124,31
"South Florida",26.2589715343133,59
"Southern California",27.997531584168,69
"Southern Methodist",31.4709186918544,88
"Southern Mississippi",27.5093559411502,67
"Stanford",25.8421423848215,58
"Syracuse",30.9301212929585,85
"Temple",23.4628233598946,45
"Tennessee",19.7969864273154,24
"Texas",23.8078384751679,46
"Texas A&M",17.9398999394117,19
"Texas Christian",21.7836270670988,35
"Texas State",31.7881373290121,89
"Texas Tech",28.7354387941276,75
"Texas-El Paso",40.9545300130957,128
"Texas-San Antonio",38.0765422717366,121
"Toledo",36.2977555415967,117
"Troy",39.1685231746989,125
"Tulane",23.8477303580465,47
"Tulsa",24.6307519577858,51
"UCLA",32.7976036670329,100
"Utah",13.9355192330749,7
"Utah State",31.1245322943606,86
"Vanderbilt",30.3851073096215,82
"Virginia",26.5450900292823,62
"Virginia Tech",26.7373060663923,63
"Wake Forest",28.6481186484008,74
"Washington",17.4393147885924,17
"Washington State",32.0587031544701,91
"West Virginia",25.652703068419,57
"Western Kentucky",22.200993793146,38
"Western Michigan",30.3065629985279,81
"Wisconsin",12.0294131362328,5
"Wyoming",22.6722935907098,41
