"Team","Value","Rank"
"Air Force",19.9442699182105,25
"Akron",38.3842984089448,123
"Alabama",15.9986576883762,13
"Alabama-Birmingham",28.2712734255885,70
"Appalachian State",21.8420084434551,35
"Arizona",34.2176449636216,106
"Arizona State",21.4330675725251,33
"Arkansas",32.2641674527027,93
"Arkansas State",36.1633205125775,116
"Army",25.3759152850739,56
"Auburn",14.1138528213793,8
"Ball State",34.3425981411134,108
"Baylor",17.9212684608679,18
"Boise State",24.1846383278541,48
"Boston College",32.2879723451561,95
"Bowling Green State",41.5286912457382,129
"Brigham Young",26.5545572748531,60
"Buffalo",25.2669641137345,55
"California",20.4211378320526,26
"Central Florida",24.7695280753266,52
"Central Michigan",33.0995291721703,100
"Charlotte",35.9841456408121,115
"Cincinnati",17.2404462057306,16
"Clemson",10.329918077966,2
"Coastal Carolina",32.0747636104445,91
"Colorado",29.361592482198,80
"Colorado State",33.9152376989737,105
"Connecticut",38.3873891350135,124
"Duke",27.3740895996119,67
"East Carolina",35.6502287054649,113
"Eastern Michigan",35.7021819600123,114
"Florida",14.4338804872981,9
"Florida Atlantic",23.2588651095345,44
"Florida International",32.456526393406,97
"Florida State",25.208565665952,54
"Fresno State",32.2720854414257,94
"Georgia",9.58727858222337,1
"Georgia Southern",27.3313604936968,65
"Georgia State",39.1314866164091,126
"Georgia Tech",31.8182429550825,89
"Hawaii",34.4272909863212,109
"Houston",28.2957938577573,72
"Illinois",28.2944398515185,71
"Indiana",22.7624047758868,41
"Iowa",11.3668069677948,4
"Iowa State",21.6845779866336,34
"Kansas",34.2520070028627,107
"Kansas State",19.3147040826324,21
"Kent State",35.4992299383516,111
"Kentucky",19.3446420836166,22
"Liberty",33.7069272013228,104
"Louisiana",21.847939898276,36
"Louisiana State",16.6794888432046,15
"Louisiana Tech",28.4280565355715,73
"Louisiana-Monroe",38.2980765792035,122
"Louisville",33.111582548027,101
"Marshall",26.8887562885825,63
"Maryland",30.8591449591351,82
"Massachusetts",59.0962838594595,131
"Memphis",25.0492876074492,53
"Miami (FL)",20.7235931400817,28
"Miami (OH)",29.2845713805708,79
"Michigan",16.0722349726136,14
"Michigan State",18.6002768572523,20
"Middle Tennessee State",33.6009749473536,103
"Minnesota",21.0844036099831,29
"Mississippi",22.5519184757172,40
"Mississippi State",24.3181787010251,50
"Missouri",20.6449587880113,27
"Navy",21.2839130222481,32
"Nebraska",27.1816727554274,64
"Nevada",34.8520646178573,110
"Nevada-Las Vegas",36.2598136017259,117
"New Mexico",38.0005149925125,120
"New Mexico State",41.6964817900056,130
"Non-Major",40.8771840213235,127
"North Carolina",24.3017988400468,49
"North Carolina State",29.191364535818,78
"North Texas",36.3322402508855,119
"Northern Illinois",32.2953388538842,96
"Northwestern",19.808696164597,24
"Notre Dame",15.6680935876936,10
"Ohio",33.3531161494225,102
"Ohio State",10.600482592199,3
"Oklahoma",22.9783640792766,43
"Oklahoma State",22.8130455153806,42
"Old Dominion",32.4647177240286,98
"Oregon",15.9248305230312,12
"Oregon State",31.1988527614626,86
"Penn State",13.9588262151814,7
"Pittsburgh",21.1078055382431,30
"Purdue",29.0155218338462,77
"Rice",27.332114471225,66
"Rutgers",30.982305535042,84
"San Diego State",15.8522955755348,11
"San Jose State",35.5130133738802,112
"South Alabama",28.9874769996708,76
"South Carolina",21.1536012203032,31
"South Florida",26.2762409403328,59
"Southern California",28.0399472999388,69
"Southern Methodist",31.4696925897126,88
"Southern Mississippi",27.5170564110705,68
"Stanford",25.883661982685,58
"Syracuse",30.9658448904373,83
"Temple",23.4801082004432,45
"Tennessee",19.6321653819715,23
"Texas",23.9477775649647,47
"Texas A&M",17.9271588452786,19
"Texas Christian",21.9435497660424,37
"Texas State",31.4051214669054,87
"Texas Tech",28.8926764432494,75
"Texas-El Paso",40.9755717100479,128
"Texas-San Antonio",38.1009929477461,121
"Toledo",36.2997980896193,118
"Troy",38.7851391536516,125
"Tulane",23.8541850367118,46
"Tulsa",24.6681246495116,51
"UCLA",32.8501192676069,99
"Utah",13.9327500393131,6
"Utah State",31.1246851935314,85
"Vanderbilt",30.3164020988776,81
"Virginia",26.5555084786591,61
"Virginia Tech",26.7619440418826,62
"Wake Forest",28.6992907486638,74
"Washington",17.4671600481302,17
"Washington State",32.0897473532322,92
"West Virginia",25.8018265134722,57
"Western Kentucky",22.2019249120425,38
"Western Michigan",32.0016804480041,90
"Wisconsin",12.1195253467324,5
"Wyoming",22.5068928327299,39
