"Team","Value","Rank"
"Air Force",31.8301003665469,32
"Akron",-1.08073481295029,131
"Alabama",46.1338523157577,2
"Alabama-Birmingham",24.1049542511166,84
"Appalachian State",34.1858729511044,22
"Arizona",29.3451011501993,45
"Arizona State",23.683235923462,89
"Arkansas",20.2963502023291,107
"Arkansas State",27.2809329655341,59
"Army",21.8189693372361,100
"Auburn",38.5640242032161,10
"Ball State",29.058366588797,47
"Baylor",36.6711282470323,12
"Boise State",31.2518068651507,37
"Boston College",25.8831380780995,69
"Bowling Green State",9.76830664816118,128
"Brigham Young",24.3469563649617,82
"Buffalo",18.0606526217728,112
"California",19.2738739065738,109
"Central Florida",45.4982326377743,5
"Central Michigan",22.2918909679635,97
"Charlotte",26.6148280468657,63
"Cincinnati",28.3512887415358,55
"Clemson",37.3501989746503,11
"Coastal Carolina",24.8582015281654,78
"Colorado",26.6386851995666,62
"Colorado State",25.0163435589309,76
"Connecticut",13.4755540090226,121
"Duke",29.0050822042797,48
"East Carolina",18.7873324404095,110
"Eastern Michigan",24.17254019204,83
"Florida",34.4820864070151,21
"Florida Atlantic",28.9717973078604,49
"Florida International",17.9125697674941,113
"Florida State",28.3607678712453,54
"Fresno State",26.2948315713152,65
"Georgia",31.515418734935,35
"Georgia Southern",21.0517593813267,105
"Georgia State",35.2984767215726,16
"Georgia Tech",18.4456195455504,111
"Hawaii",30.135704637455,40
"Houston",28.9249413467218,50
"Illinois",26.6968017398973,61
"Indiana",29.8147456691452,41
"Iowa",27.0214344697581,60
"Iowa State",31.6232224066987,33
"Kansas",23.4700365779852,92
"Kansas State",30.4272552124137,39
"Kent State",24.015818793947,86
"Kentucky",23.4501863034913,93
"Liberty",21.318980099185,103
"Louisiana",33.8730265661575,24
"Louisiana State",46.0358169851563,3
"Louisiana Tech",23.707135632874,88
"Louisiana-Monroe",25.0798859245678,74
"Louisville",33.1072839662049,27
"Marshall",25.8427572710147,70
"Maryland",31.3445446799886,36
"Massachusetts",11.7514723329937,124
"Memphis",35.8315936080335,14
"Miami (FL)",24.9807315211441,77
"Miami (OH)",23.4858583645732,91
"Michigan",36.1604176865851,13
"Michigan State",27.9893155977096,57
"Middle Tennessee State",25.0472881397972,75
"Minnesota",28.2828991711436,56
"Mississippi",25.9736255047552,68
"Mississippi State",30.7553536456226,38
"Missouri",24.3662304660455,81
"Navy",34.5132727638778,20
"Nebraska",29.0805390482716,46
"Nevada",14.532932226686,117
"Nevada-Las Vegas",22.2474810183266,98
"New Mexico",16.4528789788676,114
"New Mexico State",14.0869208690307,118
"Non-Major",13.7111131209473,119
"North Carolina",28.4918549488228,52
"North Carolina State",21.3485327378766,102
"North Texas",27.7732425254288,58
"Northern Illinois",21.5770735561404,101
"Northwestern",16.2336200941594,115
"Notre Dame",34.8578171820625,19
"Ohio",28.3665978253254,53
"Ohio State",54.3681623348249,1
"Oklahoma",45.6605537107286,4
"Oklahoma State",35.0057100571458,17
"Old Dominion",10.9272534321787,126
"Oregon",33.6190089657058,25
"Oregon State",29.4884524310884,44
"Penn State",41.2785594919732,6
"Pittsburgh",20.8948662373646,106
"Purdue",24.7630409258042,79
"Rice",11.7194049046657,125
"Rutgers",12.2979296322694,123
"San Diego State",14.6782527254767,116
"San Jose State",25.0859002549221,73
"South Alabama",6.50910313649155,130
"South Carolina",31.6144939698117,34
"South Florida",25.5731260206161,71
"Southern California",32.9089915252412,28
"Southern Methodist",40.2010754650915,8
"Southern Mississippi",23.7757974943541,87
"Stanford",22.7869300175879,96
"Syracuse",23.5346677152953,90
"Temple",22.8750769357904,95
"Tennessee",24.0312747230169,85
"Texas",39.6439383739309,9
"Texas A&M",34.9155605568195,18
"Texas Christian",32.4195051462208,30
"Texas State",10.8907797671926,127
"Texas Tech",28.5742162675482,51
"Texas-El Paso",9.65693696334893,129
"Texas-San Antonio",12.7425371721111,122
"Toledo",22.1883140359432,99
"Troy",26.1460169462157,66
"Tulane",33.1499344124099,26
"Tulsa",26.1356321758918,67
"UCLA",32.0894272225894,31
"Utah",29.5878642577449,43
"Utah State",24.3876912461088,80
"Vanderbilt",19.3101864663039,108
"Virginia",26.55728364543,64
"Virginia Tech",25.4203036309384,72
"Wake Forest",34.1101556983806,23
"Washington",32.828091336844,29
"Washington State",40.9625143942603,7
"West Virginia",21.1283496552169,104
"Western Kentucky",13.7070700846886,120
"Western Michigan",29.6561933775592,42
"Wisconsin",35.7894621928051,15
"Wyoming",23.3842939119393,94
