"Team","Value","Rank"
"Air Force",33.9002613075411,27
"Akron",6.62568200246013,131
"Alabama",47.8265268104194,3
"Alabama-Birmingham",22.2489432734871,100
"Appalachian State",34.9163364787957,21
"Arizona",27.7776746283018,59
"Arizona State",24.5312934073982,85
"Arkansas",22.2697876165482,99
"Arkansas State",26.0932400037313,75
"Army",23.274072790528,89
"Auburn",37.7566450756064,10
"Ball State",27.655058703524,61
"Baylor",35.8606021293691,17
"Boise State",29.4123730554494,46
"Boston College",27.1906715271716,63
"Bowling Green State",11.8153110225335,127
"Brigham Young",30.6674974815901,41
"Buffalo",19.9776524142505,109
"California",19.1984322058788,113
"Central Florida",45.4165247495509,5
"Central Michigan",22.4183459436984,96
"Charlotte",26.6026812804713,70
"Cincinnati",27.0856023677489,66
"Clemson",39.0057281996149,8
"Coastal Carolina",27.6825865627605,60
"Colorado",23.6536511148963,87
"Colorado State",26.7455125597513,68
"Connecticut",15.9420312090053,118
"Duke",28.9385197033169,49
"East Carolina",19.808395491033,110
"Eastern Michigan",24.1844439494767,86
"Florida",34.6824145884754,23
"Florida Atlantic",28.2675867219795,55
"Florida International",19.7400875469804,111
"Florida State",30.4148459326194,44
"Fresno State",24.9149642960695,82
"Georgia",35.6651402657361,19
"Georgia Southern",21.6654536956278,104
"Georgia State",34.848166582448,22
"Georgia Tech",22.9509515144003,93
"Hawaii",28.3513314286415,54
"Houston",28.3712066584632,53
"Illinois",27.944995867573,56
"Indiana",33.0507864628506,34
"Iowa",29.3623891067394,47
"Iowa State",36.094839688344,15
"Kansas",27.041940586362,67
"Kansas State",31.7251760690885,35
"Kent State",25.2747912465477,79
"Kentucky",25.6505727338078,78
"Liberty",21.945833859234,103
"Louisiana",34.5652659248734,24
"Louisiana State",46.9106264598672,4
"Louisiana Tech",23.4327147019181,88
"Louisiana-Monroe",25.1395328707687,80
"Louisville",31.0870048886511,40
"Marshall",24.6985374349858,84
"Maryland",33.3460977988781,31
"Massachusetts",10.0493881123911,130
"Memphis",37.5682536115524,11
"Miami (FL)",26.2093140678229,73
"Miami (OH)",22.3521341880043,98
"Michigan",36.3193642604574,14
"Michigan State",28.8727439328856,51
"Middle Tennessee State",25.7374955626241,77
"Minnesota",31.4816892056807,38
"Mississippi",26.2531621185867,72
"Mississippi State",30.5723600020055,42
"Missouri",27.5923033672202,62
"Navy",33.1041421492799,33
"Nebraska",27.9120035585302,57
"Nevada",12.3535462181186,125
"Nevada-Las Vegas",23.1099328617849,90
"New Mexico",17.141194160381,117
"New Mexico State",17.4353019167333,115
"Non-Major",13.6040419528275,122
"North Carolina",29.8972937215886,45
"North Carolina State",21.3638150493313,105
"North Texas",27.1506582179509,65
"Northern Illinois",22.9138678805712,94
"Northwestern",20.7691022987506,107
"Notre Dame",35.8850878164503,16
"Ohio",27.8708588582534,58
"Ohio State",54.1427778145654,1
"Oklahoma",47.8517794303749,2
"Oklahoma State",37.5193529236878,12
"Old Dominion",11.9333947559797,126
"Oregon",33.634161566639,29
"Oregon State",31.6004664969716,37
"Penn State",41.8360328493011,6
"Pittsburgh",18.7357780054292,114
"Purdue",26.5403387048226,71
"Rice",14.8892556342643,120
"Rutgers",14.0594321026594,121
"San Diego State",15.5509097859541,119
"San Jose State",24.8488938291735,83
"South Alabama",11.7996691145405,128
"South Carolina",31.678558791159,36
"South Florida",24.918491516424,81
"Southern California",33.2050057464319,32
"Southern Methodist",36.8814494895728,13
"Southern Mississippi",22.96926472372,92
"Stanford",22.1813474503307,101
"Syracuse",21.0614279100895,106
"Temple",22.6367878641974,95
"Tennessee",26.1755730993253,74
"Texas",38.3376896189586,9
"Texas A&M",35.2251629818208,20
"Texas Christian",33.8086125260391,28
"Texas State",13.5671805006778,123
"Texas Tech",28.4995972709545,52
"Texas-El Paso",11.2629026370689,129
"Texas-San Antonio",12.5809577513231,124
"Toledo",22.3583729863139,97
"Troy",26.7360734676756,69
"Tulane",34.0117422949543,26
"Tulsa",27.166880978166,64
"UCLA",30.4633678390156,43
"Utah",31.44004265562,39
"Utah State",25.8231689133811,76
"Vanderbilt",19.4108302373988,112
"Virginia",29.1779743780279,48
"Virginia Tech",22.1394140550976,102
"Wake Forest",33.6206071196386,30
"Washington",34.5638439407905,25
"Washington State",40.7846728842444,7
"West Virginia",23.0447622414809,91
"Western Kentucky",17.2433202019223,116
"Western Michigan",28.9120279629268,50
"Wisconsin",35.7552914895847,18
"Wyoming",20.733479254875,108
