"Team","Value","Rank"
"Air Force",435.714285714286,78
"Akron",334.714285714286,125
"Alabama",595.428571428571,3
"Alabama-Birmingham",457,62
"Appalachian State",503.5,35
"Arizona",540.857142857143,16
"Arizona State",408.428571428571,97
"Arkansas",426.285714285714,87
"Arkansas State",518.142857142857,30
"Army",340.285714285714,122
"Auburn",479.142857142857,46
"Ball State",522.571428571429,27
"Baylor",540.857142857143,16
"Boise State",540.857142857143,16
"Boston College",597,2
"Bowling Green State",405.428571428571,100
"Brigham Young",414.285714285714,95
"Buffalo",361.857142857143,117
"California",370.428571428571,114
"Central Florida",595,5
"Central Michigan",487.5,43
"Charlotte",441.571428571429,75
"Cincinnati",432.428571428571,81
"Clemson",530.428571428571,21
"Coastal Carolina",418.857142857143,93
"Colorado",451.714285714286,68.5
"Colorado State",516.714285714286,32
"Connecticut",345.714285714286,120
"Duke",423.285714285714,90
"East Carolina",415.142857142857,94
"Eastern Michigan",422.428571428571,91
"Florida",428.125,85
"Florida Atlantic",452.571428571429,65.5
"Florida International",478.285714285714,47.5
"Florida State",450.857142857143,70
"Fresno State",453,63.5
"Georgia",496.142857142857,40
"Georgia Southern",321.833333333333,128
"Georgia State",478.285714285714,47.5
"Georgia Tech",370.857142857143,113
"Hawaii",546.857142857143,13
"Houston",453,63.5
"Illinois",394.428571428571,106
"Indiana",515.142857142857,33
"Iowa",441,76
"Iowa State",502.857142857143,36
"Kansas",473.833333333333,54
"Kansas State",461.833333333333,61
"Kent State",427.571428571429,86
"Kentucky",401.285714285714,102
"Liberty",477.285714285714,49
"Louisiana",575,8
"Louisiana State",590,6
"Louisiana Tech",538.571428571429,18
"Louisiana-Monroe",473.857142857143,53
"Louisville",532.857142857143,20
"Marshall",497.428571428571,38
"Maryland",497.142857142857,39
"Massachusetts",420,92
"Memphis",553.285714285714,11
"Miami (FL)",448,72
"Miami (OH)",338.714285714286,123
"Michigan",444.428571428571,74
"Michigan State",395.571428571429,105
"Middle Tennessee State",400.857142857143,103
"Minnesota",434.857142857143,79
"Mississippi",464.125,59
"Mississippi State",386.571428571429,108
"Missouri",483.857142857143,44
"Navy",475.666666666667,50
"Nebraska",426,88
"Nevada",404.285714285714,101
"Nevada-Las Vegas",413.285714285714,96
"New Mexico",449.142857142857,71
"New Mexico State",357,118
"Non-Major",316.04854368932,129
"North Carolina",473.428571428571,55
"North Carolina State",462.714285714286,60
"North Texas",546.142857142857,14
"Northern Illinois",398,104
"Northwestern",306.5,131
"Notre Dame",482.833333333333,45
"Ohio",475,52
"Ohio State",570.714285714286,10
"Oklahoma",642,1
"Oklahoma State",549.857142857143,12
"Old Dominion",311,130
"Oregon",526,23
"Oregon State",475.571428571429,51
"Penn State",488.428571428571,42
"Pittsburgh",429.428571428571,83
"Purdue",432.857142857143,80
"Rice",344,121
"Rutgers",323.285714285714,127
"San Diego State",383.142857142857,109
"San Jose State",429.142857142857,84
"South Alabama",337.285714285714,124
"South Carolina",437,77
"South Florida",406,99
"Southern California",527.428571428571,22
"Southern Methodist",595.285714285714,4
"Southern Mississippi",525.285714285714,24
"Stanford",407.428571428571,98
"Syracuse",430.857142857143,82
"Temple",473.142857142857,56
"Tennessee",382.142857142857,110
"Texas",523.714285714286,25
"Texas A&M",452.571428571429,65.5
"Texas Christian",518.333333333333,29
"Texas State",354.5,119
"Texas Tech",523.428571428571,26
"Texas-El Paso",330,126
"Texas-San Antonio",369,115
"Toledo",508,34
"Troy",516.833333333333,31
"Tulane",536.714285714286,19
"Tulsa",425.571428571429,89
"UCLA",451.714285714286,68.5
"Utah",470.285714285714,58
"Utah State",522.5,28
"Vanderbilt",372.714285714286,111
"Virginia",446.285714285714,73
"Virginia Tech",452.428571428571,67
"Wake Forest",572.428571428571,9
"Washington",471.25,57
"Washington State",579,7
"West Virginia",363.571428571429,116
"Western Kentucky",371,112
"Western Michigan",489.428571428571,41
"Wisconsin",501.571428571429,37
"Wyoming",393.857142857143,107
