"Team","Value","Rank"
"Air Force",417.230769230769,94
"Akron",292.083333333333,131
"Alabama",583.846153846154,2
"Alabama-Birmingham",380.214285714286,118
"Appalachian State",483.357142857143,40
"Arizona",499.916666666667,30
"Arizona State",437.153846153846,78
"Arkansas",384.75,113
"Arkansas State",524.461538461538,18
"Army",390,108
"Auburn",461.769230769231,55.5
"Ball State",550.083333333333,11
"Baylor",461.928571428571,54
"Boise State",501.285714285714,28
"Boston College",514.230769230769,19
"Bowling Green State",378,119
"Brigham Young",484.076923076923,39
"Buffalo",401.153846153846,101
"California",365.230769230769,122
"Central Florida",572.384615384615,6
"Central Michigan",495.928571428571,35
"Charlotte",442.846153846154,72
"Cincinnati",439.285714285714,76
"Clemson",567.933333333333,8
"Coastal Carolina",422.083333333333,91
"Colorado",423.083333333333,89
"Colorado State",488.583333333333,37
"Connecticut",392.916666666667,107
"Duke",408.083333333333,98
"East Carolina",473.75,49
"Eastern Michigan",433.076923076923,81
"Florida",431.833333333333,83
"Florida Atlantic",481,44
"Florida International",432.230769230769,82
"Florida State",440.769230769231,74
"Fresno State",444.166666666667,71
"Georgia",439.857142857143,75
"Georgia Southern",366.384615384615,120
"Georgia State",445.230769230769,69
"Georgia Tech",338,125
"Hawaii",536.2,13
"Houston",451.5,62
"Illinois",387,111
"Indiana",482.846153846154,41
"Iowa",410.769230769231,96
"Iowa State",482.384615384615,43
"Kansas",456.090909090909,59
"Kansas State",448.846153846154,67
"Kent State",496.769230769231,34
"Kentucky",423.615384615385,88
"Liberty",506.769230769231,24
"Louisiana",573.214285714286,5
"Louisiana State",599.466666666667,1
"Louisiana Tech",492.692307692308,36
"Louisiana-Monroe",497.083333333333,32.5
"Louisville",528.461538461538,15
"Marshall",449.769230769231,64
"Maryland",424.583333333333,87
"Massachusetts",414.166666666667,95
"Memphis",567.5,9
"Miami (FL)",422.461538461538,90
"Miami (OH)",382.785714285714,115
"Michigan",472.692307692308,50
"Michigan State",407.923076923077,99
"Middle Tennessee State",418,93
"Minnesota",449.076923076923,66
"Mississippi",475,47
"Mississippi State",426.769230769231,85
"Missouri",396.916666666667,105
"Navy",478.153846153846,45
"Nebraska",448.090909090909,68
"Nevada",421.153846153846,92
"Nevada-Las Vegas",400.166666666667,102
"New Mexico",453.75,61
"New Mexico State",385.916666666667,112
"Non-Major",311.771929824561,130
"North Carolina",513.307692307692,20
"North Carolina State",430.083333333333,84
"North Texas",507.416666666667,23
"Northern Illinois",356.25,123
"Northwestern",330.333333333333,128
"Notre Dame",476.615384615385,46
"Ohio",512.307692307692,22
"Ohio State",563.142857142857,10
"Oklahoma",576.285714285714,4
"Oklahoma State",498.692307692308,31
"Old Dominion",334.666666666667,127
"Oregon",500.785714285714,29
"Oregon State",468.333333333333,52
"Penn State",465.538461538462,53
"Pittsburgh",410,97
"Purdue",438.75,77
"Rice",348.166666666667,124
"Rutgers",323.916666666667,129
"San Diego State",389.615384615385,109
"San Jose State",468.75,51
"South Alabama",381,116
"South Carolina",405.5,100
"South Florida",383.083333333333,114
"Southern California",513.076923076923,21
"Southern Methodist",578.846153846154,3
"Southern Mississippi",461.769230769231,55.5
"Stanford",435.416666666667,79
"Syracuse",458.25,57
"Temple",449.461538461538,65
"Tennessee",398.692307692308,104
"Texas",504.769230769231,26
"Texas A&M",442.384615384615,73
"Texas Christian",473.833333333333,48
"Texas State",380.916666666667,117
"Texas Tech",540.583333333333,12
"Texas-El Paso",388.916666666667,110
"Texas-San Antonio",399.166666666667,103
"Toledo",526.416666666667,16
"Troy",525.833333333333,17
"Tulane",535.846153846154,14
"Tulsa",455.75,60
"UCLA",450.666666666667,63
"Utah",457.571428571429,58
"Utah State",487.230769230769,38
"Vanderbilt",335.416666666667,126
"Virginia",482.615384615385,42
"Virginia Tech",444.307692307692,70
"Wake Forest",505.307692307692,25
"Washington",433.461538461538,80
"Washington State",570.384615384615,7
"West Virginia",366.083333333333,121
"Western Kentucky",425.461538461538,86
"Western Michigan",497.083333333333,32.5
"Wisconsin",504.642857142857,27
"Wyoming",395.230769230769,106
