"Team","Value","Rank"
"Air Force",32.6923076923077,22.5
"Akron",10,131
"Alabama",45.8461538461538,3
"Alabama-Birmingham",22.5714285714286,102
"Appalachian State",36.2142857142857,12
"Arizona",26.75,73.5
"Arizona State",24.3076923076923,93
"Arkansas",19.9166666666667,116
"Arkansas State",32,34
"Army",28,67.5
"Auburn",32.3076923076923,28.5
"Ball State",34.1666666666667,18
"Baylor",33.2142857142857,21
"Boise State",33.8571428571429,19
"Boston College",28.0769230769231,66
"Bowling Green State",15.3333333333333,127
"Brigham Young",28,67.5
"Buffalo",29.4615384615385,56.5
"California",21.2307692307692,106
"Central Florida",41.8461538461538,5
"Central Michigan",30.2857142857143,49
"Charlotte",29.3846153846154,58
"Cincinnati",28.3571428571429,64
"Clemson",42.7333333333333,4
"Coastal Carolina",30.3333333333333,48
"Colorado",23,98.5
"Colorado State",27.0833333333333,72
"Connecticut",18.4166666666667,120
"Duke",25.25,88
"East Carolina",26.75,73.5
"Eastern Michigan",29.1538461538462,60.5
"Florida",32.5,26
"Florida Atlantic",35.5714285714286,13
"Florida International",25.8461538461538,83
"Florida State",27.4615384615385,69
"Fresno State",28.8333333333333,63
"Georgia",29.5,55
"Georgia Southern",26.1538461538462,79.5
"Georgia State",30.7692307692308,43
"Georgia Tech",16,125
"Hawaii",32.1333333333333,33
"Houston",30.1666666666667,50
"Illinois",23.9230769230769,97
"Indiana",30.3846153846154,47
"Iowa",25.3076923076923,87
"Iowa State",31.2307692307692,39
"Kansas",23,98.5
"Kansas State",29.1538461538462,60.5
"Kent State",29.2307692307692,59
"Kentucky",26.0769230769231,81
"Liberty",32.3846153846154,27
"Louisiana",37.7857142857143,9
"Louisiana State",48.2666666666667,1
"Louisiana Tech",30.1538461538462,51
"Louisiana-Monroe",31.0833333333333,40
"Louisville",32.1538461538462,31.5
"Marshall",25.1538461538462,89
"Maryland",24.75,91
"Massachusetts",19.25,117
"Memphis",39.4285714285714,8
"Miami (FL)",25.6923076923077,85
"Miami (OH)",22.7142857142857,101
"Michigan",31.6923076923077,36.5
"Michigan State",20.8461538461538,109.5
"Middle Tennessee State",25.8333333333333,84
"Minnesota",32.6923076923077,22.5
"Mississippi",26.5833333333333,77
"Mississippi State",26.6923076923077,75
"Missouri",22.8333333333333,100
"Navy",36.2307692307692,11
"Nebraska",26.5,78
"Nevada",20.8461538461538,109.5
"Nevada-Las Vegas",24.1666666666667,94
"New Mexico",21.75,105
"New Mexico State",21.1666666666667,107.5
"Non-Major",13.2894736842105,129
"North Carolina",32.6153846153846,25
"North Carolina State",22.0833333333333,103
"North Texas",30.5833333333333,45
"Northern Illinois",21.1666666666667,107.5
"Northwestern",15.5,126
"Notre Dame",34.9230769230769,15
"Ohio",34.3076923076923,17
"Ohio State",46.2857142857143,2
"Oklahoma",41.7142857142857,6
"Oklahoma State",31.5384615384615,38
"Old Dominion",16.25,124
"Oregon",33.6428571428571,20
"Oregon State",30.6666666666667,44
"Penn State",34.8461538461538,16
"Pittsburgh",20.6923076923077,113
"Purdue",25.3333333333333,86
"Rice",17.9166666666667,122.5
"Rutgers",13.25,130
"San Diego State",20.7692307692308,112
"San Jose State",30.0833333333333,53
"South Alabama",18.25,121
"South Carolina",21.9166666666667,104
"South Florida",20.8333333333333,111
"Southern California",32.3076923076923,28.5
"Southern Methodist",41.3846153846154,7
"Southern Mississippi",26.1538461538462,79.5
"Stanford",20.6666666666667,114
"Syracuse",27.25,70.5
"Temple",24.9230769230769,90
"Tennessee",24.1538461538462,95
"Texas",35.2307692307692,14
"Texas A&M",29.0769230769231,62
"Texas Christian",29.8333333333333,54
"Texas State",17.9166666666667,122.5
"Texas Tech",30.5,46
"Texas-El Paso",19.0833333333333,118
"Texas-San Antonio",18.8333333333333,119
"Toledo",27.25,70.5
"Troy",32.6666666666667,24
"Tulane",31.6923076923077,36.5
"Tulsa",25.9166666666667,82
"UCLA",26.6666666666667,76
"Utah",30.1428571428571,52
"Utah State",28.1538461538462,65
"Vanderbilt",15,128
"Virginia",31,41
"Virginia Tech",29.4615384615385,56.5
"Wake Forest",31.8461538461538,35
"Washington",30.9230769230769,42
"Washington State",37.7692307692308,10
"West Virginia",20.0833333333333,115
"Western Kentucky",24.4615384615385,92
"Western Michigan",32.1538461538462,31.5
"Wisconsin",32.2142857142857,30
"Wyoming",24,96
