"Team","Value","Rank"
"Air Force",29.216454516157,43
"Akron",3.32861923100507,131
"Alabama",47.3014587815871,3
"Alabama-Birmingham",17.3138564540044,114
"Appalachian State",30.492013654693,35
"Arizona",26.9635839631035,60
"Arizona State",23.9128638056704,82
"Arkansas",22.811033023605,91
"Arkansas State",25.7197655800599,73
"Army",23.9330046477375,81
"Auburn",36.7912674168433,12
"Ball State",28.438521032473,50
"Baylor",34.0323118489567,21
"Boise State",29.8810714835394,39
"Boston College",28.8358503837767,47
"Bowling Green State",11.0982867525989,129
"Brigham Young",26.7905009478032,62
"Buffalo",21.8557204844108,98
"California",22.5395370824027,94
"Central Florida",39.8473520226306,6
"Central Michigan",23.4006530956648,87
"Charlotte",24.500196660546,77
"Cincinnati",27.1675581246059,58
"Clemson",43.2138423140386,5
"Coastal Carolina",22.8119039400023,90
"Colorado",24.0975374626276,80
"Colorado State",22.2276399732596,95
"Connecticut",12.4863116099073,127
"Duke",24.1597534405824,79
"East Carolina",22.9800535773082,89
"Eastern Michigan",25.2247446798239,76
"Florida",36.179446803691,13
"Florida Atlantic",30.0342526069053,38
"Florida International",20.8011442068753,103
"Florida State",25.9358158960757,71
"Fresno State",23.612974474035,85
"Georgia",34.5147624589313,18
"Georgia Southern",21.4897093293734,101
"Georgia State",26.9224552938987,61
"Georgia Tech",20.1565672264144,104
"Hawaii",28.5847199836705,49
"Houston",27.0993102193275,59
"Illinois",27.7737592014637,53
"Indiana",31.3146705555331,29
"Iowa",29.0772598235097,44
"Iowa State",33.6581289233882,24
"Kansas",26.1249985259619,68
"Kansas State",31.288282250193,30
"Kent State",28.0232000220341,51
"Kentucky",26.7655149447477,63
"Liberty",23.8204141961519,83
"Louisiana",34.0385563221692,20
"Louisiana State",49.9158331812652,2
"Louisiana Tech",22.192087166095,96
"Louisiana-Monroe",26.7046929861721,64
"Louisville",33.2513291943276,27
"Marshall",21.8320133942834,99
"Maryland",27.6799865269227,54
"Massachusetts",10.1135236191435,130
"Memphis",39.0101264999242,7
"Miami (FL)",23.705973450395,84
"Miami (OH)",19.4983917413881,109
"Michigan",38.8061066672672,8
"Michigan State",23.4090297346656,86
"Middle Tennessee State",25.8171255654413,72
"Minnesota",33.5056709513955,25
"Mississippi",27.8931375030147,52
"Mississippi State",29.0725989051409,45
"Missouri",26.3803193972128,65
"Navy",33.8467417636035,22
"Nebraska",30.260671428407,37
"Nevada",15.4059418957663,121
"Nevada-Las Vegas",19.7390548134803,107
"New Mexico",16.5171777311815,116
"New Mexico State",16.2742251503767,117
"Non-Major",12.91150051777,125
"North Carolina",34.1190436333262,19
"North Carolina State",18.1199799532035,112
"North Texas",24.2478963983387,78
"Northern Illinois",19.137274276414,111
"Northwestern",18.1012793095333,113
"Notre Dame",34.9505989051175,16
"Ohio",28.8225877831197,48
"Ohio State",52.1426775303816,1
"Oklahoma",44.2735397776192,4
"Oklahoma State",33.259654052462,26
"Old Dominion",12.2381018294725,128
"Oregon",34.7782509534309,17
"Oregon State",30.7777127726058,32
"Penn State",38.68408979892,9
"Pittsburgh",16.6348474403899,115
"Purdue",29.736688208837,40
"Rice",16.1294868651256,118
"Rutgers",14.7186026213572,122
"San Diego State",14.2857260100633,124
"San Jose State",27.5614618514347,55
"South Alabama",14.3854398487201,123
"South Carolina",27.2396037547962,57
"South Florida",19.5983023949311,108
"Southern California",33.8285544193427,23
"Southern Methodist",36.0583043707362,14
"Southern Mississippi",22.0878616756961,97
"Stanford",22.5636900987085,93
"Syracuse",22.5865974380933,92
"Temple",19.8478077814979,106
"Tennessee",26.2598569017842,67
"Texas",38.5170481116679,10
"Texas A&M",31.7927159405052,28
"Texas Christian",30.3973223592038,36
"Texas State",15.9869761229445,119
"Texas Tech",30.4966085425693,34
"Texas-El Paso",12.8636922812,126
"Texas-San Antonio",15.9490124287333,120
"Toledo",21.8237079640784,100
"Troy",26.2775666010413,66
"Tulane",29.2520882967853,42
"Tulsa",26.0430492162075,69
"UCLA",27.4915276659958,56
"Utah",30.6521066988147,33
"Utah State",25.6930844223529,74
"Vanderbilt",20.0320405951286,105
"Virginia",29.714329338848,41
"Virginia Tech",25.3090310788188,75
"Wake Forest",28.8677728293225,46
"Washington",30.7812216691865,31
"Washington State",37.4218702895354,11
"West Virginia",23.2288012794691,88
"Western Kentucky",19.4311451237753,110
"Western Michigan",25.9690538794919,70
"Wisconsin",35.9575348322744,15
"Wyoming",20.8471804515521,102
