"Team","Value","Rank"
"Air Force",30.0545096284727,40
"Akron",5.48804629532594,131
"Alabama",48.6560008645699,3
"Alabama-Birmingham",18.2750160756922,114
"Appalachian State",31.4610480997857,31
"Arizona",26.8698510595884,70
"Arizona State",23.6836559204599,89
"Arkansas",24.0973395381161,86
"Arkansas State",26.080989032106,73
"Army",24.1748944321756,85
"Auburn",36.8450496430312,13
"Ball State",28.4415635805338,52
"Baylor",34.3077191214299,26
"Boise State",29.7935730631228,43
"Boston College",29.1853913368172,47
"Bowling Green State",11.6956566579841,129
"Brigham Young",28.0395395093385,57
"Buffalo",23.0559720705076,94
"California",22.230118953989,99
"Central Florida",41.6887006331632,6
"Central Michigan",24.9693666217799,78
"Charlotte",24.8298981934219,80
"Cincinnati",27.9831270719526,58
"Clemson",43.5520650332549,5
"Coastal Carolina",23.6693618558064,90
"Colorado",23.5238551609661,92
"Colorado State",24.2475015986539,84
"Connecticut",14.8027064745223,124
"Duke",25.3531904841707,77
"East Carolina",23.6578506767693,91
"Eastern Michigan",24.8606153143217,79
"Florida",36.1594590721,15
"Florida Atlantic",30.7771715912209,36
"Florida International",20.833946115057,107
"Florida State",27.6295896517473,64
"Fresno State",23.9966347666976,87
"Georgia",35.4287788371626,17
"Georgia Southern",21.5502137717064,104
"Georgia State",27.8327968946518,61
"Georgia Tech",21.6921521166912,102
"Hawaii",29.0690460332362,48
"Houston",27.8049635898012,62
"Illinois",28.1311021743694,54
"Indiana",32.3929292815167,29
"Iowa",29.2643638178429,46
"Iowa State",35.1837753927154,18
"Kansas",26.7853233962863,71
"Kansas State",31.3233262874069,33
"Kent State",27.7866314244985,63
"Kentucky",27.5877520068647,65
"Liberty",24.3203641364234,82
"Louisiana",34.7948306820016,21
"Louisiana State",50.9319967292477,2
"Louisiana Tech",23.0924061529148,93
"Louisiana-Monroe",28.0955308167514,56
"Louisville",33.1166053827694,27
"Marshall",22.96212613205,96
"Maryland",28.3633157353996,53
"Massachusetts",11.5140561977778,130
"Memphis",40.272805821737,7
"Miami (FL)",24.4008014351761,81
"Miami (OH)",20.4697205842452,109
"Michigan",38.5578607384223,9
"Michigan State",24.2830511568514,83
"Middle Tennessee State",26.0537845767567,74
"Minnesota",35.0613758056532,19
"Mississippi",28.7888087592132,49
"Mississippi State",29.6816846904192,45
"Missouri",26.9024386440197,69
"Navy",34.5601412899845,24
"Nebraska",29.8842294787984,41
"Nevada",15.751254269822,123
"Nevada-Las Vegas",21.0469900368589,105
"New Mexico",17.8292088697798,116
"New Mexico State",17.9318060063215,115
"Non-Major",13.5314110174999,127
"North Carolina",34.6224005044303,23
"North Carolina State",18.8810832737405,112
"North Texas",25.4899792017669,76
"Northern Illinois",18.8774391892056,113
"Northwestern",19.059504019398,111
"Notre Dame",35.5396323797157,16
"Ohio",28.6949554944276,50
"Ohio State",52.0679219414816,1
"Oklahoma",44.9069297895907,4
"Oklahoma State",34.3890403921378,25
"Old Dominion",13.158864207383,128
"Oregon",34.7345043811412,22
"Oregon State",31.3583082776709,32
"Penn State",38.834437801689,8
"Pittsburgh",17.646155526909,117
"Purdue",29.7265072477966,44
"Rice",17.1824757172567,118
"Rutgers",16.4479013889117,121
"San Diego State",14.7295213325881,125
"San Jose State",27.9259455335231,59
"South Alabama",16.1537790136762,122
"South Carolina",28.5335349275225,51
"South Florida",20.7145921658016,108
"Southern California",34.941976638711,20
"Southern Methodist",37.5755218811415,11
"Southern Mississippi",22.9378056383937,97
"Stanford",22.7930186254112,98
"Syracuse",23.0113097902773,95
"Temple",21.8180835997592,101
"Tennessee",27.5085038971805,66
"Texas",38.5070642137944,10
"Texas A&M",32.8262496991665,28
"Texas Christian",31.0664935369257,34
"Texas State",16.8885411589578,119
"Texas Tech",30.6185301756017,37
"Texas-El Paso",13.8068428523246,126
"Texas-San Antonio",16.574822340646,120
"Toledo",22.135263926913,100
"Troy",27.1190164036221,68
"Tulane",30.5617915383244,38
"Tulsa",28.1214816305414,55
"UCLA",27.8633092807544,60
"Utah",30.5231999296695,39
"Utah State",27.2734042013672,67
"Vanderbilt",20.3716169735653,110
"Virginia",30.9223996258144,35
"Virginia Tech",26.6093684713331,72
"Wake Forest",29.7944428529721,42
"Washington",31.9236893544326,30
"Washington State",37.4231779736651,12
"West Virginia",23.7825897409298,88
"Western Kentucky",21.5806965272958,103
"Western Michigan",25.9126774230988,75
"Wisconsin",36.4365629380924,14
"Wyoming",20.9740838397257,106
